,Line num,Command,Notes
0,2,\mathcal,N/A
1,2,\mathcal,N/A
2,2,\mathcal,N/A
3,2,\mathcal,N/A
4,2,\mathcal,N/A
5,2,\mathcal,N/A
6,2,\mathcal,N/A
7,2,\mathcal,N/A
8,2,\mathcal,N/A
9,2,\mathcal,N/A
10,3,\emph,N/A
11,3,\emph,N/A
12,3,\cite,N/A
13,4,theorem,Environment
14,5,\geq,Q
15,5,\ell,Q
16,5,\geq,Q
17,5,\geq,Q
18,5,\to,Q
19,5,\mathbb,Q
20,5,\leq,Q
21,5,\ell,Q
22,7,\noindent,N/A
23,7,\ell,N/A
24,7,\geq,N/A
25,7,\in,N/A
26,7,\Nb,N/A
27,7,\to,N/A
28,7,\iff,N/A
29,7,\subseteq,N/A
30,7,\mathbb,N/A
31,7,\mathbb,N/A
32,7,\mathbb,N/A
33,7,\benoit,N/A
34,7,\ell,N/A
35,7,\ell,N/A
36,7,\cite,N/A
37,8,\mathcal,N/A
38,8,\emph,N/A
39,8,\emph,N/A
40,8,\in,N/A
41,8,\in,N/A
42,8,\lnot,N/A
43,8,\notin,N/A
44,8,\mathcal,N/A
45,8,\emph,N/A
46,8,\emph,N/A
47,8,\subseteq,N/A
48,8,\in,N/A
49,8,\in,N/A
50,8,\lnot,N/A
51,8,\in,N/A
52,8,\emph,N/A
53,8,\mathcal,N/A
54,8,\emph,N/A
55,9,theorem,Environment
56,10,\ell,N/A
57,10,\geq,N/A
58,10,\geq,N/A
59,10,\to,N/A
60,10,\mathcal,N/A
61,10,\mathcal,N/A
62,10,\leq,N/A
63,10,\ell,N/A
64,12,\noindent,N/A
65,12,\ell,N/A
66,12,\cite,N/A
67,12,\cite,N/A
68,12,\cite,N/A
69,12,\Cref,N/A
70,13,\cite,N/A
71,13,\cite,N/A
72,13,\emph,N/A
73,13,\ref,N/A
74,13,\emph,N/A
75,13,\cantor,N/A
76,13,\benoit,N/A
77,14,theorem,Environment
78,15,\geq,N/A
79,15,\ell,N/A
80,15,\geq,N/A
81,15,\geq,N/A
82,15,\to,N/A
83,15,\subseteq,N/A
84,15,\preceq,N/A
85,15,\preceq,N/A
86,15,\leq,N/A
87,15,\ell,N/A
88,17,\noindent,th:strong_gen_treeth
89,17,\ref,th:strong_gen_treeth
90,18,\mathcal,N/A
91,18,\mathcal,N/A
92,18,\mathcal,N/A
93,18,\ell,N/A
94,18,\leq,N/A
95,19,\mathcal,N/A
96,19,\to,N/A
97,19,\mathcal,N/A
98,19,\mathcal,N/A
99,19,\mathcal,N/A
100,19,\leq,N/A
101,19,\ell,N/A
102,20,definition,Environment
103,21,\mathcal,B
104,22,itemize,Environment
105,23,\item,N/A
106,23,\mathcal,N/A
107,23,\mathcal,N/A
108,23,\emph,N/A
109,23,\mathcal,N/A
110,23,\mathcal,N/A
111,23,\ell,N/A
112,23,\in,N/A
113,23,\mathcal,N/A
114,23,\to,N/A
115,23,\mathcal,N/A
116,23,\mathcal,N/A
117,23,\ell,N/A
118,23,\in,N/A
119,23,\mathcal,N/A
120,23,\emph,N/A
121,24,\item,N/A
122,24,\emph,N/A
123,24,\mathcal,N/A
124,24,\mathcal,N/A
125,24,\mathcal,N/A
126,27,\noindent,N/A
127,27,\mathbb,N/A
128,27,\mathbb,N/A
129,27,\mathcal,N/A
130,27,\geq,N/A
131,27,\mathcal,N/A
132,27,\preceq,N/A
133,27,\preceq,N/A
134,28,\ell,N/A
135,28,\mathbb,N/A
136,28,\emph,N/A
137,29,\cite,Zucker-2019
138,30,definition,Environment
139,31,\mathcal,N/A
140,31,\mathscr,N/A
141,31,\emph,N/A
142,31,\mathcal,N/A
143,31,\hat,N/A
144,31,\mathcal,N/A
145,31,\hat,N/A
146,31,\mathscr,N/A
147,32,enumerate,Environment
148,33,\item,N/A
149,33,\mathscr,N/A
150,33,\subseteq,N/A
151,33,\hat,N/A
152,33,\mathscr,N/A
153,34,\item,N/A
154,34,\hat,N/A
155,34,\mathcal,N/A
156,34,\mathscr,N/A
157,34,\mathcal,N/A
158,35,\item,N/A
159,35,\mathcal,N/A
160,35,\mathcal,N/A
161,35,\hat,N/A
162,35,\mathcal,N/A
163,35,\mathcal,N/A
164,35,\hat,N/A
165,35,\mathcal,N/A
166,35,\mathcal,N/A
167,35,\hat,N/A
168,35,\mathcal,N/A
169,35,\hat,N/A
170,35,\mathcal,N/A
171,35,\mathscr,N/A
172,35,\mathcal,N/A
173,36,\item,N/A
174,36,\mathcal,N/A
175,36,\mathcal,N/A
176,36,\hat,N/A
177,36,\mathcal,N/A
178,36,\mathcal,N/A
179,37,\item,N/A
180,37,\mathcal,N/A
181,37,\mathcal,N/A
182,37,\hat,N/A
183,37,\mathcal,N/A
184,37,\ldots,N/A
185,37,\hat,N/A
186,37,\mathcal,N/A
187,37,\hat,N/A
188,37,\mathcal,N/A
189,37,\mathcal,N/A
190,37,\hat,N/A
191,37,\mathcal,N/A
192,37,\mathcal,N/A
193,37,\to,N/A
194,37,\hat,N/A
195,37,\mathcal,N/A
196,37,\mathcal,N/A
197,37,\mathcal,N/A
198,37,\mathcal,N/A
199,37,\mathcal,N/A
200,37,\hat,N/A
201,37,\mathcal,N/A
202,37,\mathcal,N/A
203,37,\mathcal,N/A
204,37,\hat,N/A
205,37,\mathcal,N/A
206,37,\hat,N/A
207,37,\mathcal,N/A
208,37,\mathcal,N/A
209,37,\mathcal,N/A
210,37,\hat,N/A
211,37,\mathcal,N/A
212,37,\mathcal,N/A
213,40,\noindent,N/A
214,40,\mathcal,N/A
215,40,\mathcal,N/A
216,40,\hat,N/A
217,40,\mathcal,N/A
218,40,\ldots,N/A
219,40,\hat,N/A
220,40,\mathcal,N/A
221,40,\hat,N/A
222,40,\mathcal,N/A
223,40,\mathcal,N/A
224,40,\hat,N/A
225,40,\mathcal,N/A
226,40,\mathcal,N/A
227,40,\mathcal,N/A
228,40,\hat,N/A
229,40,\mathcal,N/A
230,40,\emph,N/A
231,40,\emph,N/A
232,40,\mathcal,N/A
233,41,\cite,N/A
234,41,\mathbb,N/A
235,41,\leq,N/A
236,41,\preceq,N/A
237,42,\cite,N/A
238,42,\mathbb,N/A
239,42,\leq,N/A
240,42,\cite,N/A
