,Line num,Command,Notes
0,1,\documentclass,amsart
1,2,\usepackage,amssymb
2,3,\usepackage,amsfonts
3,4,\usepackage,amscd
4,5,\usepackage,fontenc
5,6,\addtolength,N/A
6,6,\textheight,N/A
7,6,\addtolength,N/A
8,6,\textwidth,N/A
9,7,\addtolength,N/A
10,7,\voffset,N/A
11,7,\addtolength,N/A
12,7,\hoffset,N/A
13,8,\linespread,1.1
14,9,\usepackage,xy
15,10,\input,N/A
16,11,\xyoption,all
17,12,\usepackage,pdflscape
18,13,\usepackage,hyperref
19,14,\usepackage,babel
20,15,\def,Nested
21,15,\A,Nested
22,15,\mathbb,Nested
23,16,\def,Nested
24,16,\B,Nested
25,16,\mathbb,Nested
26,17,\def,Nested
27,17,\I,Nested
28,17,\mathbb,Nested
29,18,\def,Nested
30,18,\R,Nested
31,18,\mathbb,Nested
32,19,\def,Nested
33,19,\C,Nested
34,19,\mathbb,Nested
35,20,\def,Nested
36,20,\F,Nested
37,20,\mathbb,Nested
38,21,\def,Nested
39,21,\M,Nested
40,21,\mathbb,Nested
41,22,\def,Nested
42,22,\T,Nested
43,22,\mathfrak,Nested
44,23,\def,Nested
45,23,\P,Nested
46,23,\mathbb,Nested
47,24,\def,Nested
48,24,\S,Nested
49,24,\mathcal,Nested
50,25,\def,Nested
51,25,\ns,Nested
52,25,\triangleleft,Nested
53,26,\def,Nested
54,26,\Gal,Nested
55,26,\mathrm,Nested
56,27,\def,Nested
57,27,\Hom,Nested
58,27,\mathrm,Nested
59,28,\def,Nested
60,28,\Char,Nested
61,28,\mathrm,Nested
62,29,\def,Nested
63,29,\lrird,Nested
64,29,\mathrm,Nested
65,30,\def,Nested
66,30,\GF,Nested
67,30,\mathrm,Nested
68,31,\def,Nested
69,31,\PSL,Nested
70,31,\mathrm,Nested
71,32,\def,Nested
72,32,\SL,Nested
73,32,\mathrm,Nested
74,33,\def,Nested
75,33,\PGL,Nested
76,33,\mathrm,Nested
77,34,\def,Nested
78,34,\GL,Nested
79,34,\mathrm,Nested
80,35,\def,Nested
81,35,\cs,Nested
82,35,\mathfrak,Nested
83,36,\def,Nested
84,36,\sort,Nested
85,36,\mathcal,Nested
86,37,\def,Nested
87,37,\cc,Nested
88,37,\mathrm,Nested
89,38,\let,N/A
90,38,\myacute,N/A
91,39,\def,Nested
92,39,\gL,Nested
93,39,\mathrm,Nested
94,40,\def,Nested
95,40,\PgL,Nested
96,40,\mathrm,Nested
97,41,\def,Nested
98,41,\lri,Nested
99,41,\mathcal,Nested
100,42,\def,Nested
101,42,\Aut,Nested
102,42,\mathrm,Nested
103,43,\def,Nested
104,43,\Sp,Nested
105,43,\mathrm,Nested
106,44,\def,Nested
107,44,\Ab,Nested
108,44,\mathrm,Nested
109,45,\def,Nested
110,45,\isom,Nested
111,45,\cong,Nested
112,46,\def,Nested
113,46,\ra,Nested
114,46,\longrightarrow,Nested
115,47,\def,Nested
116,47,\emptyset,Nested
117,47,\varnothing,Nested
118,48,\def,Nested
119,48,\iff,Nested
120,48,\Leftrightarrow,Nested
121,49,\def,Nested
122,49,\langle,Nested
123,50,\def,Nested
124,50,\rangle,Nested
125,51,\def,Nested
126,51,\N,Nested
127,51,\mathbb,Nested
128,52,\def,Nested
129,52,\Z,Nested
130,52,\mathbb,Nested
131,53,\def,Nested
132,53,\boldalpha,Nested
133,53,\ensuremath,Nested
134,53,\boldsymbol,Nested
135,53,\alpha,Nested
136,54,\def,Nested
137,54,\boldbeta,Nested
138,54,\ensuremath,Nested
139,54,\boldsymbol,Nested
140,54,\beta,Nested
141,55,\def,Nested
142,55,\Fq,Nested
143,55,\mathbb,Nested
