,Line num,Command,Notes
0,1,\cite,N/A
1,1,\cite,N/A
2,1,\Cref,N/A
3,1,\NN,N/A
4,1,\Cref,N/A
5,1,\Cref,N/A
6,1,\Cref,N/A
7,1,\Cref,N/A
8,2,\sqcup,N/A
9,2,\index,N/A
10,2,\sqcup,N/A
11,2,\Pc,N/A
12,2,\index,N/A
13,2,\Pc,N/A
14,2,\upharpoonright,N/A
15,2,\index,N/A
16,2,\upharpoonright,N/A
17,2,\subseteq,N/A
18,3,\cdots,N/A
19,3,\index,N/A
20,3,\ldots,N/A
21,3,\ldots,N/A
22,3,\ldots,N/A
23,3,\NN,N/A
24,3,\cdots,N/A
25,3,\NN,N/A
26,3,\cite,N/A
27,3,\ldots,N/A
28,3,\subseteq,N/A
29,3,\NN,N/A
30,3,\ldots,N/A
31,3,\oplus,N/A
32,3,\cdots,N/A
33,3,\oplus,N/A
34,3,\in,N/A
35,3,\subseteq,N/A
36,3,\NN,N/A
37,3,\index,N/A
38,3,\oplus,N/A
39,3,\ldots,N/A
40,3,\ldots,N/A
41,3,\ldots,N/A
42,3,\ldots,N/A
43,4,\ldots,N/A
44,4,\bigcup_n,N/A
45,4,\bigcup_,N/A
46,4,\in,N/A
47,4,\NN,N/A
48,5,\section,N/A
49,5,\NN,N/A
50,5,\label,N/A
51,7,definition,Environment
52,8,enumerate,Environment
53,9,\item,$\baire$
54,9,\baire,$\baire$
55,9,\index,$\baire$
56,9,\baire,$\baire$
57,9,\to,$\baire$
58,9,\in,$\baire$
59,9,\NN,$\baire$
60,10,\item,N/A
61,10,\cantor,N/A
62,10,\index,N/A
63,10,\cantor,N/A
64,10,\baire,N/A
65,11,\item,N/A
66,11,\emph,N/A
67,11,\in,N/A
68,11,\baire,N/A
69,11,\index,N/A
70,11,\lgth,N/A
71,11,\index,N/A
72,11,\lgth,N/A
73,12,\item,$\emptystr$
74,12,\emptystr,$\emptystr$
75,12,\index,$\emptystr$
76,12,\emptystr,$\emptystr$
77,13,\item,N/A
78,13,\in,N/A
79,13,\NN,N/A
80,13,\index,N/A
81,13,\index,N/A
82,13,\in,N/A
83,13,\baire,N/A
84,14,\item,N/A
85,14,\in,N/A
86,14,\NN,N/A
87,14,\index,N/A
88,14,\index,N/A
89,14,\in,N/A
90,14,\cantor,N/A
91,17,\in,N/A
92,17,\emph,N/A
93,17,\in,N/A
94,17,\cantor,N/A
95,17,\seq,N/A
96,17,\cdots,N/A
97,18,definition,Environment
98,19,\tau,<\omega
99,19,\in,<\omega
100,20,enumerate,Environment
101,21,\item,N/A
102,21,\index,N/A
103,21,\emph,N/A
104,21,\tau,N/A
105,21,\tau,N/A
106,21,\emph,N/A
107,21,\index,N/A
108,21,\index,N/A
109,21,\preceq,N/A
110,21,\tau,N/A
111,21,\index,N/A
112,21,\preceq,N/A
113,21,\tau,N/A
114,21,\upharpoonright,N/A
115,21,\leq,N/A
116,21,\tau,N/A
117,22,\item,N/A
118,22,\emph,N/A
119,22,\index,N/A
120,22,\index,N/A
121,22,\tau,N/A
122,22,\emph,N/A
123,22,\index,N/A
124,22,\index,N/A
125,22,\prec,N/A
126,22,\tau,N/A
127,22,\index,N/A
128,22,\prec,N/A
129,22,\tau,N/A
130,22,\upharpoonright,N/A
131,22,\tau,N/A
132,22,\preceq,N/A
133,22,\tau,N/A
134,22,\neq,N/A
135,22,\tau,N/A
136,23,\item,N/A
137,23,\tau,N/A
138,23,\emph,N/A
139,23,\index,N/A
140,23,\index,N/A
141,23,\incomp,N/A
142,23,\tau,N/A
143,23,\npreceq,N/A
144,23,\tau,N/A
145,23,\tau,N/A
146,23,\npreceq,N/A
147,24,\item,N/A
148,24,\emph,N/A
149,24,\index,N/A
150,24,\index,N/A
151,24,\tau,N/A
152,24,\meet,N/A
153,24,\tau,N/A
