,Line num,Command,Notes
0,2,\index,Devlin's theorem
1,3,\index,N/A
2,3,\index,N/A
3,3,\cite,N/A
4,4,\section,A big Ramsey structure for dense linear orders
5,6,\Cref,def:big-ramsey-structure
6,7,\index,N/A
7,7,\index,N/A
8,8,\Cref,N/A
9,8,\index,N/A
10,10,\emph,N/A
11,10,\index,N/A
12,10,\index,N/A
13,10,\index,N/A
14,10,\cite,N/A
15,10,\Cref,N/A
16,11,figure,Environment
17,12,\centering,N/A
18,13,tikzpicture,Environment
19,14,\tikzset,"empty node/.style={circle,inner sep=0,fill=none"
20,18,\tikzset,"snake it/.style={decorate, decoration=snake, line cap=round"
21,19,\tikzset,"gray line/.style={line cap=round,thick,color={rgb:black,1;white,4"
22,20,\tikzset,"thick line/.style={line cap=round,rounded corners=0.1mm,thick"
23,21,\node,
24,22,\node,
25,23,\node,
26,24,\node,
27,25,\node,
28,26,\draw,N/A
29,27,\draw,N/A
30,28,\draw,N/A
31,30,\hspace,5mm
32,31,tikzpicture,Environment
33,32,\tikzset,"empty node/.style={circle,inner sep=0,fill=none"
34,36,\tikzset,"snake it/.style={decorate, decoration=snake, line cap=round"
35,37,\tikzset,"gray line/.style={line cap=round,thick,color={rgb:black,1;white,4"
36,38,\tikzset,"thick line/.style={line cap=round,rounded corners=0.1mm,thick"
37,39,\node,
38,40,\node,
39,41,\node,
40,42,\node,
41,43,\node,
42,44,\draw,N/A
43,45,\draw,N/A
44,46,\draw,N/A
45,48,\hspace,5mm
46,49,tikzpicture,Environment
47,50,\tikzset,"empty node/.style={circle,inner sep=0,fill=none"
48,54,\tikzset,"snake it/.style={decorate, decoration=snake, line cap=round"
49,55,\tikzset,"gray line/.style={line cap=round,thick,color={rgb:black,1;white,4"
50,56,\tikzset,"thick line/.style={line cap=round,rounded corners=0.1mm,thick"
51,57,\node,
52,58,\node,
53,59,\node,
54,60,\node,
55,61,\node,
56,62,\draw,N/A
57,63,\draw,N/A
58,64,\draw,N/A
59,66,\hspace,5mm
60,67,tikzpicture,Environment
61,68,\tikzset,"empty node/.style={circle,inner sep=0,fill=none"
62,72,\tikzset,"snake it/.style={decorate, decoration=snake, line cap=round"
63,73,\tikzset,"gray line/.style={line cap=round,thick,color={rgb:black,1;white,4"
64,74,\tikzset,"thick line/.style={line cap=round,rounded corners=0.1mm,thick"
65,75,\node,
66,76,\node,
67,77,\node,
68,78,\node,
69,79,\node,
70,80,\draw,N/A
71,81,\draw,N/A
72,82,\draw,N/A
73,84,tikzpicture,Environment
74,85,\tikzset,"empty node/.style={circle,inner sep=0,fill=none"
75,89,\tikzset,"snake it/.style={decorate, decoration=snake, line cap=round"
76,90,\tikzset,"gray line/.style={line cap=round,thick,color={rgb:black,1;white,4"
77,91,\tikzset,"thick line/.style={line cap=round,rounded corners=0.1mm,thick"
78,92,\node,
79,93,\node,
80,94,\node,
81,95,\node,
82,96,\node,
83,97,\draw,N/A
84,98,\draw,N/A
85,99,\draw,N/A
86,101,\hspace,5mm
87,102,tikzpicture,Environment
88,103,\tikzset,"empty node/.style={circle,inner sep=0,fill=none"
89,107,\tikzset,"snake it/.style={decorate, decoration=snake, line cap=round"
