,Line num,Command,Notes
0,1,\Cref,Nested
1,1,\Cref,th:strong-hl
2,1,\Cref,thm:halpern-lauchli-computably-true
3,1,\Cref,thm:hl-strong-cone-avoidance
4,1,\Cref,Nested
5,1,\Cref,th:strong-hl
6,1,\Cref,thm:halpern-lauchli-computably-true
7,1,\Cref,thm:hl-strong-cone-avoidance
8,1,\Cref,Nested
9,1,\Cref,th:strong-hl
10,1,\Cref,thm:halpern-lauchli-computably-true
11,1,\Cref,thm:hl-strong-cone-avoidance
12,1,\cite,Nested
13,1,\Cref,th:strong-hl
14,1,\Cref,thm:halpern-lauchli-computably-true
15,1,\Cref,thm:hl-strong-cone-avoidance
16,2,\index,Nested
17,3,\section,Nested
18,4,\cite,Nested
19,4,\cite,Todorcevic2010Ramsey
20,4,\emph,Nested
21,4,\cite,Todorcevic2010Ramsey
22,5,lemma,Environment
23,8,\noindent,N/A
24,9,lemma,Environment
25,12,proof,Environment
26,13,\Cref,lem:HLuneven
27,18,lemma,Environment
28,21,proof,Environment
29,22,\ref,Nested
30,22,\ref,Nested
31,25,theorem,Environment
32,28,proof,Environment
33,30,\ref,Nested
34,30,\emph,Nested
35,32,\subseteq,N/A
36,32,\bigcup_,N/A
37,32,\times,N/A
38,32,\cdots,N/A
39,32,\times,N/A
40,32,\oplus,N/A
41,32,\oplus,N/A
42,32,\cdots,N/A
43,32,\oplus,N/A
44,32,\cdots,N/A
45,32,\ldots,N/A
46,32,\subseteq,N/A
47,32,\sigma_i,N/A
48,32,\tau,N/A
49,32,\succeq,N/A
50,32,\sigma_i,N/A
51,32,\tau,N/A
52,32,\ldots,N/A
53,32,\in,N/A
54,32,\Subtree,N/A
55,32,\ldots,N/A
56,32,\tau_0,N/A
57,32,\ldots,N/A
58,32,\tau_,N/A
59,32,\tau_0,N/A
60,32,\ldots,N/A
61,32,\tau_,N/A
62,32,\in,N/A
63,32,\bigcup_n,N/A
64,32,\times,N/A
65,32,\cdots,N/A
66,32,\times,N/A
67,32,\ldots,N/A
68,35,theorem,Environment
69,37,enumerate,Environment
70,38,\item,N/A
71,39,\item,N/A
72,42,\noindent,N/A
73,43,\Cref,N/A
74,44,theorem,Environment
75,45,\Cref,lem:hl-forest
76,47,proof,Environment
77,49,\Cref,thm:halpern-lauchli-computably-true
78,52,\Cref,thm:halpern-lauchli-computably-true
79,55,\section,N/A
80,55,\label,N/A
81,58,definition,Environment
82,59,\emph,product tree condition
83,60,enumerate,Environment
84,61,\item,N/A
85,62,\item,N/A
86,64,\item,N/A
87,67,\noindent,N/A
88,73,definition,Environment
89,74,\emph,extends
90,77,remark,Environment
91,82,\Cref,N/A
92,84,\cite,Shore-2016
93,86,definition,Environment
94,88,enumerate,Environment
95,89,\item,force:exists
96,89,\label,force:exists
97,90,\item,force:forall
98,90,\label,force:forall
99,93,\noindent,force:forall
100,93,\Cref,force:forall
101,102,lemma,Environment
102,106,\Vdash,Nested
103,106,\oplus,Nested
104,106,\dots,Nested
105,106,\oplus,Nested
106,106,\oplus,Nested
107,106,\neq,Nested
108,110,proof,Environment
109,112,\Cref,def:product-tree-forcing-relation
110,113,\Cref,def:product-tree-forcing-relation
111,115,remark,Environment
112,118,\section,N/A
113,118,\label,N/A
114,120,\emph,Nested
115,120,\cite,Chong2019Strengthb
116,120,\cite,Nested
117,120,\cite,Chong2019Strengthb
118,120,\Cref,Nested
119,120,\cite,Chong2019Strengthb
120,121,theorem,Environment
121,127,\emph,cover
122,130,definition,Environment
123,131,enumerate,Environment
124,132,\item,tree condition
125,132,\emph,tree condition
126,133,\item,extends
127,133,\emph,extends
128,134,\item,cone avoiding
129,134,\emph,cone avoiding
130,137,\noindent,def:product-tree-condition
131,137,\Cref,def:product-tree-condition
132,139,\Cref,def:product-tree-forcing-relation
133,140,definition,Environment
134,142,itemize,Environment
135,143,\item,N/A
136,144,\item,N/A
137,152,\ref,lem:product-tree-genericity-implies-infinity
138,153,lemma,Environment
139,158,definition,Environment
140,159,\emph,compound tree condition
141,160,enumerate,Environment
142,161,\item,N/A
143,162,\item,N/A
144,164,\emph,cone avoiding
145,166,\noindent,N/A
146,167,lemma,Environment
147,168,\item,N/A
148,169,\item,N/A
149,174,proof,Environment
150,177,lemma,Environment
151,181,proof,Environment
152,184,\cite,Dzhafarov2009Ramseys
153,186,lemma,Environment
154,188,itemize,Environment
155,189,\item,N/A
156,191,\item,N/A
157,195,proof,Environment
158,197,itemize,Environment
159,198,\item,N/A
160,199,\item,N/A
161,202,\case,N/A
162,204,\case,N/A
163,205,\cite,Jockusch1972Degrees
164,207,\Cref,thm:halpern-lauchli-computably-true
165,208,\rho,N/A
166,209,\in,N/A
167,209,\rho,N/A
168,209,\in,N/A
169,209,\rho,N/A
170,209,\subseteq,N/A
171,209,\rho,N/A
172,209,\rho,N/A
173,209,\in,N/A
174,209,\in,N/A
175,209,\Fc,N/A
176,214,\case,N/A
177,217,proof,Environment
178,224,\Cref,lem:mtt1-sca-genericity-implies-infinity
179,228,\Cref,lem:mtt1-sca-existence-colored-cover
180,232,enumerate,Environment
181,233,\item,N/A
182,233,\Fc_s,N/A
183,234,\rho,Nested
184,234,\rho,Nested
185,234,\in,Nested
186,235,\item,N/A
187,236,\item,N/A
188,241,\Cref,N/A
189,241,\Cref,N/A
190,244,\rho,Nested
191,245,\setminus,N/A
192,245,\rho,N/A
193,245,\subseteq,N/A
194,245,\Fc_,N/A
195,245,\Cref,N/A
196,248,\Cref,N/A
197,248,\Cref,N/A
198,250,\section,N/A
199,250,\label,N/A
200,251,\Cref,N/A
201,251,\Cref,N/A
202,252,theorem,Environment
203,255,\Cref,N/A
204,256,theorem,Environment
205,259,proof,Environment
206,260,\Cref,N/A
207,267,definition,Environment
208,268,\emph,extends
209,271,definition,Environment
210,272,\emph,N/A
211,272,\emph,N/A
212,274,\noindent,def:strong-product-tree-extension
213,274,\Cref,def:strong-product-tree-extension
214,275,\Cref,def:product-tree-extension
215,278,\rho_0,N/A
216,278,\dots,N/A
217,278,\rho_,N/A
218,279,\dots,d-1
219,281,\Cref,def:strong-product-tree-extension
220,282,\Cref,lem:hl-sca-density-below-a-cone
221,283,lemma,Environment
222,289,proof,Environment
223,292,\Cref,Nested
224,292,\ref,rem:pseudotrees
225,292,\ref,Nested
226,292,\ref,rem:pseudotrees
227,292,\Cref,Nested
228,292,\ref,rem:pseudotrees
229,294,enumerate,Environment
230,295,\item,N/A
231,297,\item,N/A
232,298,\item,N/A
233,304,figure,Environment
234,305,center,Environment
235,306,tikzpicture,Environment
236,307,\tikzset,"empty node/.style={circle,inner sep=0,outer sep=0,fill=none"
237,311,\tikzset,"snake it/.style={decorate, decoration=snake, line cap=round"
238,312,\tikzset,"gray line/.style={line cap=round,thick,color={rgb:black,1;white,4"
239,313,\tikzset,"thick line/.style={line cap=round,rounded corners=0.1mm,thick"
240,314,\tikzset,"thin line/.style={line cap=round,rounded corners=0.1mm"
241,315,\node,
242,316,\node,
243,317,\node,
244,318,\node,
245,319,\node,
246,320,\node,
247,321,\node,
248,322,\node,
249,323,\node,
250,324,\node,
251,325,\node,
252,326,\node,
253,327,\node,
254,328,\draw,N/A
255,329,pgfonlayer,Environment
256,330,\draw,N/A
257,331,\draw,N/A
258,332,\draw,N/A
259,333,\draw,N/A
260,334,\draw,N/A
261,335,\draw,N/A
262,336,\draw,N/A
263,337,\draw,N/A
264,338,\draw,N/A
265,339,\draw,N/A
266,340,\draw,N/A
267,341,\draw,N/A
268,342,\draw,N/A
269,343,\draw,N/A
270,344,\draw,N/A
271,345,\draw,N/A
272,346,\draw,N/A
273,347,\draw,N/A
274,348,\draw,N/A
275,349,\draw,N/A
276,350,\draw,N/A
277,351,\draw,N/A
278,352,\draw,N/A
279,353,\draw,N/A
280,354,\draw,N/A
281,355,\draw,N/A
282,356,\draw,N/A
283,357,\draw,N/A
284,358,\node, 
285,359,\node, 
286,360,\node, 
287,361,\node, 
288,362,\node, 
289,363,\node, 
290,364,\node, 
291,367,\hspace,5mm
292,368,tikzpicture,Environment
293,369,\tikzset,"empty node/.style={circle,inner sep=0,outer sep=0,fill=none"
294,373,\tikzset,"snake it/.style={decorate, decoration=snake, line cap=round"
295,374,\tikzset,"gray line/.style={line cap=round,thick,color={rgb:black,1;white,4"
296,375,\tikzset,"thick line/.style={line cap=round,rounded corners=0.1mm,thick"
297,376,\tikzset,"thin line/.style={line cap=round,rounded corners=0.1mm"
298,377,\node,
299,378,\node,
300,379,\node,
301,380,\node,
302,381,\node,
303,382,\node,
304,383,\node,
305,384,\node,
306,385,\node,
307,386,\node,
308,387,\node,
309,388,\node,
310,389,\node,
311,390,\draw,N/A
312,391,pgfonlayer,Environment
313,392,\draw,N/A
314,393,\draw,N/A
315,394,\draw,N/A
316,395,\draw,N/A
317,396,\draw,N/A
318,397,\draw,N/A
319,398,\draw,N/A
320,399,\draw,N/A
321,400,\draw,N/A
322,401,\draw,N/A
323,402,\draw,N/A
324,403,\draw,N/A
325,404,\draw,N/A
326,405,\draw,N/A
327,406,\draw,N/A
328,407,\draw,N/A
329,408,\draw,N/A
330,409,\draw,N/A
331,410,\draw,N/A
332,411,\draw,N/A
333,412,\draw,N/A
334,413,\draw,N/A
335,414,\draw,N/A
336,415,\draw,N/A
337,416,\draw,N/A
338,417,\draw,N/A
339,418,\draw,N/A
340,419,\draw,N/A
341,420,\node, 
342,421,\node, 
343,422,\node, 
344,423,\node, 
345,424,\node, 
346,425,\node, 
347,426,\node, 
348,429,\caption,N/A
349,429,\label,N/A
350,430,\label,fig:sca-HL
351,433,\construction,N/A
352,446,\rho_0,N/A
353,446,\dots,N/A
354,446,\rho_,N/A
355,446,\dots,N/A
356,450,\Cref,fig:S3Constr
357,451,\verification,N/A
358,452,claim,Environment
359,456,proof,Environment
360,463,\Cref,thm:combinatorial-finite-hapern-lauchli
361,470,itemize,Environment
362,471,\item,N/A
363,472,\item,N/A
364,473,\item,N/A
365,476,\case,N/A
366,478,\Cref,fact:hl-sca-density-below-a-cone-condition-extension
367,482,\Vdash,Nested
368,482,\Phi_e,Nested
369,482,\oplus,Nested
370,482,\dots,Nested
371,482,\oplus,Nested
372,482,\oplus,Nested
373,482,\neq,Nested
374,486,\case,N/A
375,491,\Cref,lem:hl-forest-computably-true
376,495,\bigcup_n,N/A
377,495,\rho_0,N/A
378,495,\times,N/A
379,495,\dots,N/A
380,495,\times,N/A
381,495,\rho_,N/A
382,496,\subseteq,Nested
383,501,claim,Environment
384,505,proof,Environment
