,Line num,Command,Notes
0,2,\cite,Nested
1,2,\cite,Milliken1881
2,2,\cite,Carlson1984dual
3,2,\cite,Chubb2009Reverse
4,2,\Cref,sec:GenCHMTT
5,2,\cite,Nested
6,2,\cite,Milliken1881
7,2,\cite,Carlson1984dual
8,2,\cite,Chubb2009Reverse
9,2,\Cref,sec:GenCHMTT
10,2,\cite,Nested
11,2,\cite,Milliken1881
12,2,\cite,Carlson1984dual
13,2,\cite,Chubb2009Reverse
14,2,\Cref,sec:GenCHMTT
15,2,\cite,Nested
16,2,\cite,Milliken1881
17,2,\cite,Carlson1984dual
18,2,\cite,Chubb2009Reverse
19,2,\Cref,sec:GenCHMTT
20,2,\Cref,Nested
21,2,\cite,Milliken1881
22,2,\cite,Carlson1984dual
23,2,\cite,Chubb2009Reverse
24,2,\Cref,sec:GenCHMTT
25,2,\Cref,Nested
26,2,\cite,Milliken1881
27,2,\cite,Carlson1984dual
28,2,\cite,Chubb2009Reverse
29,2,\Cref,sec:GenCHMTT
30,3,\cite,Dobrinen-2018
31,4,\section,Milliken's tree theorem and Ramsey theory
32,5,\cite,Ramsey1929
33,6,\index,Ramsey's theorem!finite
34,7,theorem,Environment
35,10,\index,Ramsey's theorem!infinite
36,11,theorem,Environment
37,14,\index,homogeneous set!for a coloring
38,15,\noindent,homogeneous sets
39,15,\emph,homogeneous sets
40,16,\cite,Nested
41,16,\cite,"Szemeredi1975,Szemeredi1975b"
42,16,\cite,Tao2007
43,16,\cite,GRS2013
44,16,\cite,Nested
45,16,\cite,"Szemeredi1975,Szemeredi1975b"
46,16,\cite,Tao2007
47,16,\cite,GRS2013
48,16,\cite,Nested
49,16,\cite,"Szemeredi1975,Szemeredi1975b"
50,16,\cite,Tao2007
51,16,\cite,GRS2013
52,16,\cite,Nested
53,16,\cite,"Szemeredi1975,Szemeredi1975b"
54,16,\cite,Tao2007
55,16,\cite,GRS2013
56,17,\emph,N/A
57,17,\Cref,N/A
58,18,figure,Environment
59,19,\centering,N/A
60,20,tikzpicture,Environment
61,21,\tikzset,"empty node/.style={circle,inner sep=0,fill=none"
62,24,\tikzset,"snake it/.style={decorate, decoration=snake, line cap=round"
63,25,\node,
64,26,\node,
65,27,\node,
66,28,\node,
67,29,\node,
68,30,\node,
69,31,\node,
70,32,\draw,N/A
71,33,\draw,N/A
72,34,\draw,N/A
73,35,\draw,N/A
74,36,\draw,N/A
75,37,\draw,N/A
76,38,\node,Nested
77,38,\normalsize,Nested
78,40,tikzpicture,Environment
79,41,\tikzset,"empty node/.style={circle,inner sep=0,fill=none"
80,44,\tikzset,"snake it/.style={decorate, decoration=snake, line cap=round"
81,45,\node,
82,46,\node,
83,47,\node,
84,48,\node,
85,49,\node,
86,50,\node,
87,51,\node,
88,52,\draw,N/A
89,53,\draw,N/A
90,54,\draw,N/A
91,55,\draw,N/A
92,56,\draw,N/A
93,57,\draw,N/A
94,58,\node,N/A
95,58,\normalsize,N/A
96,61,tikzpicture,Environment
97,62,\tikzset,"empty node/.style={circle,inner sep=0,fill=none"
98,65,\tikzset,"snake it/.style={decorate, decoration=snake, line cap=round"
99,66,\node,
100,67,\node,
101,68,\node,
102,69,\node,
103,70,\node,
104,71,\node,
105,72,\node,
106,73,\draw,N/A
107,74,\draw,N/A
108,75,\draw,N/A
109,76,\draw,N/A
110,77,\draw,N/A
111,78,\draw,N/A
112,79,\node,Nested
113,79,\normalsize,Nested
114,81,\caption,N/A
115,81,\label,N/A
116,84,\index,Milliken's tree theorem!for  
117,85,\index,tree theorem!Milliken's tree theorem
118,86,\index,theorem!Milliken's tree theorem
119,87,theorem,Environment
120,92,\cite,Nested
121,92,\cite,HalperbLauchli1966
122,92,\cite,Pincus1974
123,92,\cite,Nested
124,92,\cite,HalperbLauchli1966
125,92,\cite,Pincus1974
126,92,\cite,Nested
127,92,\cite,HalperbLauchli1966
128,92,\cite,Pincus1974
129,92,\cite,Nested
130,92,\cite,HalperbLauchli1966
131,92,\cite,Pincus1974
132,94,\index,Nested
133,95,\index,Nested
134,96,theorem,Environment
135,99,\noindent,N/A
136,100,\section,Computable combinatorics
137,101,\index, 
138,102,\index, 
139,103,\index,computable
140,104,\index,Turing!reduction
141,105,\index,halting problem
142,106,\index,Turing!equivalence
143,107,\emph,N/A
144,107,\emph,N/A
145,107,\emph,N/A
146,108,\emph,Nested
147,108,\emph,halting problem relative to  
148,108,\emph,(Turing) jump of  
149,108,\cite,Soare2016Turing
150,108,\emph,Nested
151,108,\emph,halting problem relative to  
152,108,\emph,(Turing) jump of  
153,108,\cite,Soare2016Turing
154,108,\emph,Nested
155,108,\emph,halting problem relative to  
156,108,\emph,(Turing) jump of  
157,108,\cite,Soare2016Turing
158,108,\cite,Nested
159,108,\emph,halting problem relative to  
160,108,\emph,(Turing) jump of  
161,108,\cite,Soare2016Turing
162,108,\cite,Nested
163,108,\emph,halting problem relative to  
164,108,\emph,(Turing) jump of  
165,108,\cite,Soare2016Turing
166,109,\emph,N/A
167,109,\index,N/A
168,110,equation,Environment
169,111,\forall,N/A
170,113,\emph,N/A
171,113,\emph,N/A
172,114,\emph,Nested
173,114,\index,computably true
174,114,\emph,computable mathematics
175,114,\index,Nested
176,114,\index,computably true
177,114,\emph,computable mathematics
178,114,\emph,Nested
179,114,\index,computably true
180,114,\emph,computable mathematics
181,114,\cite,Nested
182,114,\index,computably true
183,114,\emph,computable mathematics
184,115,\emph,Nested
185,115,\index,reverse mathematics
186,115,\emph,comprehension axioms
187,115,\emph,subsystems
188,115,\cite,Shore1975Splitting
189,115,\index,computable!reducibility
190,115,\index,Nested
191,115,\index,reverse mathematics
192,115,\emph,comprehension axioms
193,115,\emph,subsystems
194,115,\cite,Shore1975Splitting
195,115,\index,computable!reducibility
196,115,\emph,Nested
197,115,\index,reverse mathematics
198,115,\emph,comprehension axioms
199,115,\emph,subsystems
200,115,\cite,Shore1975Splitting
201,115,\index,computable!reducibility
202,115,\emph,Nested
203,115,\index,reverse mathematics
204,115,\emph,comprehension axioms
205,115,\emph,subsystems
206,115,\cite,Shore1975Splitting
207,115,\index,computable!reducibility
208,115,\cite,Nested
209,115,\index,reverse mathematics
210,115,\emph,comprehension axioms
211,115,\emph,subsystems
212,115,\cite,Shore1975Splitting
213,115,\index,computable!reducibility
214,115,\index,Nested
215,115,\index,reverse mathematics
216,115,\emph,comprehension axioms
217,115,\emph,subsystems
218,115,\cite,Shore1975Splitting
219,115,\index,computable!reducibility
220,115,\cite,Nested
221,115,\index,reverse mathematics
222,115,\emph,comprehension axioms
223,115,\emph,subsystems
224,115,\cite,Shore1975Splitting
225,115,\index,computable!reducibility
226,116,\cite,Nested
227,116,\cite,Weihrauch1992
228,116,\cite,Nested
229,116,\cite,Weihrauch1992
230,116,\cite,Nested
231,116,\cite,Weihrauch1992
232,117,\emph,computable combinatorics
233,118,theorem,Environment
234,121,\noindent,Jockusch1972Ramseys
235,121,\cite,Jockusch1972Ramseys
236,123,theorem,Environment
237,126,theorem,Environment
238,129,\noindent,N/A
239,130,\cite,Nested
240,130,\cite,Chubb2009Reverse
241,130,\cite,Chong2019Strengthc
242,130,\cite,Nested
243,130,\cite,Chubb2009Reverse
244,130,\cite,Chong2019Strengthc
245,130,\cite,Nested
246,130,\cite,Chubb2009Reverse
247,130,\cite,Chong2019Strengthc
