,Line num,Command,Notes
0,3,\Cref,N/A
1,3,\Cref,N/A
2,3,\Cref,N/A
3,3,\Cref,N/A
4,4,\section,N/A
5,4,\label,N/A
6,6,\index, 
7,7,definition,Environment
8,10,enumerate,Environment
9,11,\item,prehomogeneous
10,11,\emph,prehomogeneous
11,12,\item,prehomogeneous
12,12,\emph,prehomogeneous
13,17,\noindent,N/A
14,19,definition,Environment
15,20,\emph,N/A
16,20,\emph,N/A
17,21,\index,N/A
18,21,\index,N/A
19,21,\index,N/A
20,23,definition,Environment
21,30,lemma,Environment
22,35,proof,Environment
23,36,\Cref,def:product-tree-condition
24,38,\Cref,remark:product-tree-condition-roots
25,43,\dots,N/A
26,43,\dots,N/A
27,43,\dots,N/A
28,46,enumerate,Environment
29,47,\item,N/A
30,48,\item,N/A
31,49,\item,N/A
32,57,\bigcup_m,N/A
33,58,\left,N/A
34,58,\prod_,N/A
35,58,\rho,N/A
36,58,\in,N/A
37,58,\rho,N/A
38,58,\right,N/A
39,58,\times,N/A
40,58,\dots,N/A
41,58,\times,N/A
42,58,\left,N/A
43,58,\prod_,N/A
44,58,\rho,N/A
45,58,\in,N/A
46,58,\rho,N/A
47,58,\right,N/A
48,60,\rho,N/A
49,60,\in,N/A
50,60,\exists,N/A
51,60,\in,N/A
52,60,\leaves,N/A
53,61,\cup,N/A
54,61,\dots,N/A
55,61,\cup,N/A
56,61,\in,N/A
57,61,\Subtree,N/A
58,61,\dots,N/A
59,61,\sigma_,N/A
60,61,\rho,N/A
61,61,\in,N/A
62,61,\rho,N/A
63,61,\rho,N/A
64,61,\in,N/A
65,73,\Cref,thm:milliken-prehomogeneous-one-step
66,75,lemma,Environment
67,78,proof,Environment
68,79,\Cref,thm:milliken-prehomogeneous-one-step
69,83,\dots,N/A
70,83,\dots,N/A
71,90,theorem,Environment
72,93,proof,Environment
73,94,\Cref,N/A
74,98,\Cref,thm:milliken-prehomogeneous
75,103,\Cref,thm:milliken-arithmetic
76,105,corollary,Environment
77,109,proof,Environment
78,110,\Cref,thm:milliken-arithmetic
79,113,theorem,Environment
80,116,proof,Environment
81,122,corollary,Environment
82,126,proof,Environment
83,127,\Cref,thm:milliken-aca
84,128,\Cref,thm:milliken-rt
85,129,\cite,Nested
86,129,\cite,Nested
87,130,\Cref,thm:milliken-aca
88,131,\Cref,thm:milliken-rt
89,132,\cite,Hirschfeldt2015Slicing
90,134,\section,N/A
91,134,\label,N/A
92,135,\cite,Nested
93,135,\Cref,Nested
94,136,definition,Environment
95,137,\emph,stable
96,141,\emph,N/A
97,144,\Subtree,N/A
98,144,\dots,N/A
99,144,\to,N/A
100,147,\emph,N/A
101,147,\index,N/A
102,149,\emph,N/A
103,151,theorem,Environment
104,156,\Cref,thm:cmtt-admits-strong-cone-avoidance
105,157,definition,Environment
106,160,enumerate,Environment
107,161,\item,cone avoiding
108,161,\emph,cone avoiding
109,162,\item,stable
110,162,\emph,stable
111,166,\Cref,def:subtreeleaves
112,167,restatable,Environment
113,168,\label,thm:main-widget-theorem
114,172,enumerate,Environment
115,173,\item,item:stems-widget
116,173,\label,item:stems-widget
117,174,\item,item:hbound-widget
118,174,\label,item:hbound-widget
119,175,\item,item:monochr-widget
120,175,\label,item:monochr-widget
121,179,\Cref,thm:main-widget-theorem
122,182,\Cref,thm:main-widget-theorem
123,186,\Cref,thm:main-widget-theorem
124,193,\Cref,N/A
125,193,\Cref,N/A
126,194,lemma,Environment
127,198,proof,Environment
128,199,\Cref,remark:product-tree-condition-roots
129,204,\cup,N/A
130,204,\oplus,N/A
131,204,\dots,N/A
132,204,\oplus,N/A
133,204,\cup,N/A
134,204,\oplus,N/A
135,204,\downarrow,N/A
136,207,\case,N/A
137,214,\bigcup_m,N/A
138,214,\prod_,N/A
139,214,\prod_,N/A
140,214,\rho,N/A
141,214,\in,N/A
142,214,\leaves,N/A
143,214,\uh,N/A
144,214,\rho,N/A
145,214,\to,N/A
146,217,\Cref,N/A
147,218,itemize,Environment
148,219,\item,N/A
149,220,\item,Nested
150,220,\uh,Nested
151,220,\cup,Nested
152,220,\rho_j,Nested
153,220,\rho,Nested
154,220,\in,Nested
155,220,\leaves,Nested
156,222,\item,N/A
157,226,\Cref,thm:main-widget-theorem
158,229,\cup,N/A
159,229,\oplus,N/A
160,229,\dots,N/A
161,229,\oplus,N/A
162,229,\cup,N/A
163,229,\oplus,N/A
164,229,\downarrow,N/A
165,234,\Vdash,Nested
166,234,\oplus,Nested
167,234,\dots,Nested
168,234,\oplus,Nested
169,234,\oplus,Nested
170,234,\neq,Nested
171,236,\case,N/A
172,239,\cup,N/A
173,239,\oplus,N/A
174,239,\dots,N/A
175,239,\oplus,N/A
176,239,\cup,N/A
177,239,\oplus,N/A
178,239,\uparrow,N/A
179,239,\text,N/A
180,239,\cup,N/A
181,239,\oplus,N/A
182,239,\dots,N/A
183,239,\oplus,N/A
184,239,\cup,N/A
185,239,\oplus,N/A
186,239,\downarrow,N/A
187,239,\neq,N/A
188,245,\Vdash,Nested
189,245,\oplus,Nested
190,245,\dots,Nested
191,245,\oplus,Nested
192,245,\oplus,Nested
193,245,\neq,Nested
194,247,\case,N/A
195,249,proof,Environment
196,253,\Cref,thm:cmtt-admits-strong-cone-avoidance-req
197,257,\Cref,lem:product-tree-genericity-implies-infinity
198,258,\Cref,thm:cmtt-admits-strong-cone-avoidance
199,261,theorem,Environment
200,264,proof,Environment
201,267,\Cref,thm:cmtt-admits-strong-cone-avoidance
202,271,\Cref,thm:hl-strong-cone-avoidance
203,280,corollary,Environment
204,283,proof,Environment
205,284,\Cref,N/A
206,284,\Cref,N/A
207,286,\section,Nested
208,286,\Cref,Nested
209,288,lemma,Environment
210,295,proof,Environment
211,298,\Cref,N/A
212,306,\Cref,thm:main-widget-theorem
213,307,\widget,N/A
214,309,definition,Environment
215,311,enumerate,Environment
216,312,\item,N/A
217,313,\item,N/A
218,315,itemize,Environment
219,316,\item,N/A
220,318,\item,N/A
221,319,\item,N/A
222,324,\Cref,N/A
223,325,proof,Environment
224,327,\Cref,N/A
225,327,\Cref,N/A
226,330,enumerate,Environment
227,331,\item,lem:finitary-strong-hl-tuple
228,331,\Cref,lem:finitary-strong-hl-tuple
229,333,\item,N/A
230,334,\item,N/A
231,337,\construction,N/A
232,338,\medskip,N/A
233,339,\noindent,Step 1.
234,339,\textbf,Step 1.
235,344,\Cref,lem:finitary-strong-hl-tuple
236,345,\medskip,N/A
237,346,\noindent,Step 2.
238,346,\textbf,Step 2.
239,350,\medskip,N/A
240,351,\noindent,Step 3.
241,351,\textbf,Step 3.
242,353,\verification,item:stems-widget
243,353,\Cref,item:stems-widget
244,354,\Cref,item:hbound-widget
245,355,\Cref,item:monochr-widget
246,356,\case,N/A
247,357,\case,N/A
248,365,figure,Environment
249,366,center,Environment
250,367,tikzpicture,Environment
251,368,\tikzset,"empty node/.style={circle,inner sep=0,outer sep=0,fill=none"
252,372,\tikzset,"snake it/.style={decorate, decoration=snake, line cap=round"
253,373,\tikzset,"gray line/.style={line cap=round,thick,color={rgb:black,1;white,4"
254,374,\tikzset,"gray thin line/.style={line cap=round,color={rgb:black,1;white,4"
255,375,\tikzset,"thick line/.style={line cap=round,rounded corners=0.1mm,thick"
256,376,\tikzset,"thin line/.style={line cap=round,rounded corners=0.1mm"
257,377,\node,
258,378,\node,
259,379,\node,
260,380,\node,
261,381,\node,
262,382,\node,
263,383,\node,
264,384,\node,
265,385,\node,
266,386,\node,
267,387,\node,
268,388,\node,
269,389,\node,
270,390,\node,
271,391,\node,
272,392,\node,
273,393,\node,
274,394,pgfonlayer,Environment
275,395,\draw,N/A
276,396,\draw,N/A
277,397,\draw,N/A
278,398,\draw,N/A
279,399,\draw,N/A
280,400,\draw,N/A
281,401,\draw,N/A
282,402,\draw,N/A
283,403,\draw,N/A
284,404,\draw,N/A
285,405,\draw,N/A
286,406,\draw,N/A
287,407,\draw,N/A
288,408,\draw,N/A
289,409,\draw,N/A
290,410,\draw,N/A
291,411,\draw,N/A
292,412,\draw,N/A
293,413,\draw,N/A
294,414,\draw,N/A
295,415,\draw,N/A
296,416,\node, 
297,417,\node,
298,418,\node,
299,421,\caption,Nested
300,421,\ref,Nested
301,422,\ref,lem:finitary-strong-hl-tuple
302,424,\label,fig:widget
303,427,\section,N/A
304,427,\label,N/A
305,429,\cite,Wang2014Some
306,431,\cite,Cholak2019Thin
307,432,statement,Environment
308,435,\Cref,N/A
309,435,\Cref,N/A
310,436,\Cref,def:strong-subtree
311,437,definition,Environment
312,438,\emph,level-homogeneous
313,439,\emph,level-homogeneous
314,443,\noindent,def:levhom3
315,443,\Cref,def:levhom3
316,448,\emph,N/A
317,448,\index,N/A
318,449,theorem,Environment
319,457,proof,Environment
320,459,\Cref,thm:cmtt-admits-strong-cone-avoidance
321,462,\emph,N/A
322,462,\Cref,N/A
323,464,\Cref,N/A
324,464,\Cref,N/A
325,465,lemma,Environment
326,471,proof,Environment
327,474,\Cref,lem:hl-sca-density-below-a-cone
328,475,itemize,Environment
329,476,\item,N/A
330,478,\item,N/A
331,479,\item,N/A
332,486,\bigskip,N/A
333,487,\noindent,N/A
334,488,\Cref,lem:hl-sca-density-below-a-cone
335,490,fact,Environment
336,494,\Cref,thm:combinatorial-finite-hapern-lauchli
337,501,itemize,Environment
338,502,\item,N/A
339,503,\item,N/A
340,504,\item,N/A
341,507,\case,N/A
342,508,\Cref,fact:pmtt2-level-homogeneous-density-below-a-cone-condition-extension
343,512,\Vdash,Nested
344,512,\Phi_e,Nested
345,512,\oplus,Nested
346,512,\dots,Nested
347,512,\oplus,Nested
348,512,\oplus,Nested
349,512,\neq,Nested
350,516,\case,N/A
351,524,\Subtree,N/A
352,524,\uh,N/A
353,524,\rho_0,N/A
354,524,\dots,N/A
355,524,\uh,N/A
356,524,\rho_,N/A
357,524,\to,N/A
