,Line num,Command,Notes
0,3,\section,Milliken's tree theorem in the arithmetical hierarchy
1,4,\cite,Jockusch1972Ramseys
2,4,\geq,Jockusch1972Ramseys
3,5,\Cref,N/A
4,5,\geq,N/A
5,6,question,Environment
6,10,\cite,N/A
7,10,\emptyset,N/A
8,10,\cite,N/A
9,10,\emptyset,N/A
10,10,\emptyset,N/A
11,11,\Cref,thm:milliken-prehomogeneous
12,12,question,Environment
13,13,\emptyset,N/A
14,13,\emptyset,N/A
15,15,\Cref,quest:mttn-deltanp1
16,16,\section,Larger degrees and cone avoidance
17,17,\ACA_0,N/A
18,18,\cite,N/A
19,18,\geq,N/A
20,18,\cite,N/A
21,18,\forall,N/A
22,18,\RT,N/A
23,18,\forall,N/A
24,18,\RT,N/A
25,18,\ell,N/A
26,18,\to,N/A
27,18,\leq,N/A
28,18,\ell,N/A
29,18,\ell,N/A
30,19,\forall,N/A
31,19,\RT,N/A
32,19,\ell,N/A
33,19,\cite,N/A
34,19,\forall,N/A
35,19,\RT,N/A
36,19,\dots,N/A
37,19,\dots,N/A
38,20,\Cref,N/A
39,20,\forall,N/A
40,20,\PMT,N/A
41,20,\Cref,N/A
42,20,\forall,N/A
43,20,\PMT,N/A
44,20,\ell,N/A
45,20,\forall,N/A
46,20,\PMT,N/A
47,20,\ell,N/A
48,21,\Cref,N/A
49,21,\Subtree,N/A
50,21,\Subtree,N/A
51,22,question,Environment
52,23,\not,N/A
53,23,\leq_T,N/A
54,23,\dots,N/A
55,23,\Subtree,N/A
56,23,\dots,N/A
57,23,\to,N/A
58,23,\dots,N/A
59,23,\in,N/A
60,23,\Subtree,N/A
61,23,\dots,N/A
62,23,\not,N/A
63,23,\leq_T,N/A
64,23,\oplus,N/A
65,23,\oplus,N/A
66,23,\dots,N/A
67,23,\oplus,N/A
68,25,\forall,N/A
69,25,\PMT,N/A
70,26,\section,Comparing the statements for pairs in reverse mathematics
71,27,\ACA_0,N/A
72,27,\RCA_0,N/A
73,27,\cite,N/A
74,27,\ACA_0,N/A
75,27,\cite,N/A
76,29,\Cref,lem:coded-joyce-order-to-strong-subtree
77,31,\RCA_0,N/A
78,31,\cite,N/A
79,31,\Cref,N/A
80,32,question,Environment
81,36,question,Environment
82,37,\MT,N/A
83,37,\forall,N/A
84,37,\RG,N/A
85,37,\RCA_0,N/A
86,37,\mathrm,N/A
87,39,\Cref,N/A
88,39,\Cref,N/A
89,39,\cite,N/A
90,39,\COH,N/A
91,39,\RCA_0,N/A
92,40,question,Environment
93,41,\forall,"k, 4"
94,41,\RG,"k, 4"
95,41,\RT,"k, 4"
96,41,\RCA_0,"k, 4"
97,42,\forall,"k, 4"
98,42,\RG,"k, 4"
99,42,\COH,"k, 4"
100,42,\RCA_0,"k, 4"
101,45,\DT,N/A
102,45,\infty,N/A
103,46,\Cref,N/A
104,46,\DT,N/A
105,46,\mathrm,N/A
106,46,\RCA_0,N/A
107,46,\mathrm,N/A
108,46,\DT,N/A
109,46,\mathrm,N/A
110,46,\DT,N/A
111,46,\infty,N/A
112,46,\Cref,N/A
113,47,question,Environment
114,48,\DT,N/A
115,48,\infty,N/A
116,48,\mathrm,N/A
117,48,\RCA_0,N/A
118,50,\Cref,N/A
119,50,\mathrm,N/A
120,50,\cite,N/A
121,50,\DT,N/A
122,50,\infty,N/A
123,50,\RCA_0,N/A
