,Line num,Command,Notes
0,1,\section,A big Ramsey structure for the Rado Graph
1,2,\index,Rado Graph theorem
2,3,definition,Environment
3,4,\emph,Joyce graph
4,5,itemize,Environment
5,6,\item,N/A
6,9,\Jo4,N/A
7,9,\Jo2,N/A
8,10,definition,Environment
9,11,\emph,Joyce Rado graph
10,13,\index, 
11,14,theorem,Environment
12,17,proof,Environment
13,23,\Jo,N/A
14,23,\Jo,N/A
15,23,\Jo3,N/A
16,23,\Jo,N/A
17,25,\Jo,1
18,27,\Jo,2
19,29,\Jo,3
20,30,\Jo,4
21,34,corollary,Environment
22,37,proof,Environment
23,38,\Cref,thm:joyce-rado-graph-exists
24,45,definition,Environment
25,46,\emph,Joyce (Rado) graph structure
26,50,statement,Environment
27,53,\Cref,fig:graph-representation
28,54,theorem,Environment
29,59,definition,Environment
30,60,\emph,coded Joyce graph
31,65,figure,Environment
32,66,center,Environment
33,67,tikzpicture,Environment
34,68,\tikzset,"empty node/.style={circle,inner sep=0,fill=none"
35,72,\tikzset,"snake it/.style={decorate, decoration=snake, line cap=round"
36,73,\tikzset,"gray line/.style={line cap=round,thick,color={rgb:black,1;white,4"
37,74,\tikzset,"thick line/.style={line cap=round,rounded corners=0.1mm,thick"
38,75,\tikzset,"thin line/.style={line cap=round,rounded corners=0.1mm"
39,76,\node,
40,77,\node,
41,78,\node,
42,79,\node,
43,80,\draw,N/A
44,82,\hspace,5mm
45,83,tikzpicture,Environment
46,84,\tikzset,"empty node/.style={circle,inner sep=0,fill=none"
47,88,\tikzset,"snake it/.style={decorate, decoration=snake, line cap=round"
48,89,\tikzset,"gray line/.style={line cap=round,thick,color={rgb:black,1;white,4"
49,90,\tikzset,"thick line/.style={line cap=round,rounded corners=0.1mm,thick"
50,91,\tikzset,"thin line/.style={line cap=round,rounded corners=0.1mm"
51,92,\node,
52,93,\node,
53,94,\node,
54,95,\node,
55,96,\node,
56,97,\node,
57,98,\node,
58,99,\node,
59,100,\node,
60,101,\draw,N/A
61,102,\draw,N/A
62,103,\draw,N/A
63,104,\draw,N/A
64,105,\draw,N/A
65,106,\draw,N/A
66,107,\draw,N/A
67,108,\draw,N/A
68,109,\draw,N/A
69,110,\draw,N/A
70,111,\draw,N/A
71,112,\node,
72,114,\hspace,5mm
73,115,tikzpicture,Environment
74,116,\tikzset,"empty node/.style={circle,inner sep=0,fill=none"
75,120,\tikzset,"snake it/.style={decorate, decoration=snake, line cap=round"
76,121,\tikzset,"gray line/.style={line cap=round,thick,color={rgb:black,1;white,4"
77,122,\tikzset,"thick line/.style={line cap=round,rounded corners=0.1mm,thick"
78,123,\tikzset,"thin line/.style={line cap=round,rounded corners=0.1mm"
79,124,\node,
80,125,\node,
81,126,\node,
82,127,\node,
83,128,\node,
84,129,\node,
85,130,\node,
86,131,\node,
87,132,\node,
88,133,\draw,N/A
89,134,\draw,N/A
90,135,\draw,N/A
91,136,\draw,N/A
92,137,\draw,N/A
93,138,\draw,N/A
94,139,\draw,N/A
95,140,\draw,N/A
96,141,\draw,N/A
97,142,\draw,N/A
98,143,\node,
99,145,\smallskip,N/A
100,146,tikzpicture,Environment
101,147,\tikzset,"empty node/.style={circle,inner sep=0,fill=none"
102,151,\tikzset,"snake it/.style={decorate, decoration=snake, line cap=round"
103,152,\tikzset,"gray line/.style={line cap=round,thick,color={rgb:black,1;white,4"
104,153,\tikzset,"thick line/.style={line cap=round,rounded corners=0.1mm,thick"
105,154,\node,
106,155,\node,
107,156,\node,
108,157,\node,
109,158,\node,
110,159,\draw,N/A
111,160,\draw,N/A
112,161,\draw,N/A
113,162,\node,
114,164,\hspace,5mm
115,165,\hspace,5mm
116,166,tikzpicture,Environment
117,167,\tikzset,"empty node/.style={circle,inner sep=0,fill=none"
118,171,\tikzset,"snake it/.style={decorate, decoration=snake, line cap=round"
119,172,\tikzset,"gray line/.style={line cap=round,thick,color={rgb:black,1;white,4"
120,173,\tikzset,"thick line/.style={line cap=round,rounded corners=0.1mm,thick"
121,174,\node,
122,175,\node,
123,176,\node,
124,177,\node,
125,178,\node,
126,179,\draw,N/A
127,180,\draw,N/A
128,181,\draw,N/A
129,182,\node,
130,184,\hspace,5mm
131,185,\hspace,5mm
132,186,tikzpicture,Environment
133,187,\tikzset,"empty node/.style={circle,inner sep=0,fill=none"
134,191,\tikzset,"snake it/.style={decorate, decoration=snake, line cap=round"
135,192,\tikzset,"gray line/.style={line cap=round,thick,color={rgb:black,1;white,4"
136,193,\tikzset,"thick line/.style={line cap=round,rounded corners=0.1mm,thick"
137,194,\node,
138,195,\node,
139,196,\node,
140,197,\node,
141,198,\node,
142,199,\draw,N/A
143,200,\draw,N/A
144,201,\draw,N/A
145,202,\node,
146,205,\caption,"In (a), a finite graph  . In (b) and (c), two coded Joyce graphs isomorphic to  . The trees (e) and (f) are Joyce trees corresponding the coded Joyce graphs (b) and (c), respectively. In (d), a Joyce tree which cannot represent the graph  . Indeed, since there is an edge between   and   but not between   and  , then for any coded Joyce graph   representing  ,  ."
147,206,\label,fig:graph-representation
148,208,theorem,Environment
149,211,proof,Environment
150,214,enumerate,Environment
151,215,\item,it:jctc1
152,215,\label,it:jctc1
153,216,\item,it:jctc2
154,216,\label,it:jctc2
155,217,\item,it:jctc3
156,217,\label,it:jctc3
157,219,\Jo3,N/A
158,219,\Cref,N/A
159,219,\Cref,N/A
160,219,\Cref,N/A
161,219,\Jo3,N/A
162,219,\Cref,N/A
163,219,\Jo3,N/A
164,219,\Jo1,N/A
165,222,\Cref,it:jctc2
166,223,\Cref,thm:joyce-orders-can-be-coded
167,224,\Jo1,it:jctc1
168,224,\Jo4,it:jctc1
169,224,\Cref,it:jctc1
170,225,\Cref,it:jctc2
171,227,corollary,Environment
172,230,proof,Environment
173,231,\Cref,N/A
174,231,\Cref,N/A
175,233,\section,Joyce blossom graphs and an embedding theorem
176,234,definition,Environment
177,235,\emph,blossom tree
178,237,enumerate,Environment
179,238,\item,N/A
180,239,\item,N/A
181,240,\item,it:blossom-rado
182,240,\label,it:blossom-rado
183,243,\emph,Joyce blossom graph
184,246,\Cref,it:blossom-rado
185,250,\Cref,def:blossom-tree
186,251,\Cref,def:blossom-tree
187,252,comment,Environment
188,253,definition,Environment
189,254,\emph,Joyce blossom graph
190,257,\forall,", "
191,257,\rho,", "
192,257,\in,", "
193,257,\ell,", "
194,257,\mbox,", "
195,257,\rho,", "
196,257,\neq,", "
197,257,\rho,", "
198,260,\pelliot,Make figures for these definitions
199,262,lemma,Environment
200,265,proof,Environment
201,266,\Cref,N/A
202,266,\Cref,N/A
203,271,lemma,Environment
204,275,proof,Environment
205,278,theorem,Environment
206,282,proof,Environment
207,284,\Cref,thm:graph-embedding-cantor-exists
208,285,\emph,large above  
209,290,claim,Environment
210,294,proof,Environment
211,306,\Cref,thm:blossom-to-joyce-rado
212,307,\Cref,claim:blossom-to-joyce-rado-combi
213,308,enumerate,Environment
214,309,\item,N/A
215,310,\item,N/A
216,314,\emph,N/A
217,314,\Cref,N/A
218,317,\emph,Defining  
219,318,\Cref,claim:blossom-to-joyce-rado-combi
220,319,\emph,Defining  
221,322,enumerate,Environment
222,323,\item,N/A
223,324,\item,it:f-g-are-rado
224,324,\label,it:f-g-are-rado
225,328,theorem,Environment
226,333,proof,Environment
227,336,enumerate,Environment
228,337,\item,it:jtrb0
229,337,\label,it:jtrb0
230,338,\item,it:jtrb1
231,338,\label,it:jtrb1
232,339,\item,it:jtrb2
233,339,\label,it:jtrb2
234,341,\Cref,N/A
235,341,\Cref,N/A
236,341,\Cref,N/A
237,341,\Cref,N/A
238,341,\Cref,N/A
239,343,\Cref,N/A
240,343,\Cref,N/A
241,344,\Cref,def:blossom-tree
242,347,\Cref,it:jtrb2
243,349,corollary,Environment
244,352,proof,Environment
245,353,\Cref,thm:joyce-graph-to-coded
246,354,\Cref,N/A
247,354,\Cref,N/A
248,357,\emph,age
249,358,corollary,Environment
250,361,theorem,Environment
251,365,proof,Environment
252,368,enumerate,Environment
253,369,\item,N/A
254,370,\item,N/A
255,371,enumerate,Environment
256,372,\item,N/A
257,373,\item,N/A
258,374,\item,N/A
259,375,\item,N/A
260,384,corollary,Environment
261,385,\Cref,th:4.1LaflammeRado
262,387,\section,N/A
263,387,\label,N/A
264,388,definition,Environment
265,389,\emph,Joyce graph diagonalization
266,390,\meetlevel,N/A
267,390,\cdot,N/A
268,390,\cdot,N/A
269,390,\to,N/A
270,393,theorem,Environment
271,398,proof,Environment
272,399,\Cref,thm:joyce-rado-graph-exists
273,401,\Epn,<\omega
274,402,\meetlevel,N/A
275,402,\cdot,N/A
276,402,\cdot,N/A
277,413,corollary,Environment
278,416,proof,Environment
279,417,\Cref,N/A
280,417,\Cref,N/A
281,417,\Cref,N/A
282,420,corollary,Environment
283,423,proof,Environment
284,424,\Cref,cor:joyce-diagonalization-exists-Rado
285,425,\Cref,N/A
286,425,\Cref,N/A
287,427,lemma,Environment
288,432,proof,Environment
289,433,\Cref,N/A
290,433,\emph,N/A
291,435,theorem,Environment
292,438,proof,Environment
293,440,\Cref,N/A
294,440,\Cref,N/A
295,441,\Cref,lem:coded-joyce-order-to-strong-subtree-Rado
296,444,\Cref,thm:strong-rado-one-type
297,446,corollary,Environment
298,449,proof,Environment
299,452,\Cref,thm:strong-devlin-one-type
300,453,enumerate,Environment
301,454,\item,s+1
302,455,\JRel,N/A
303,455,\JRel,N/A
304,456,\item,s+1
305,457,\JRel,N/A
306,463,\Cref,th:4.1LaflammeRado
307,465,theorem,Environment
308,468,proof,Environment
309,469,\Cref,th:4.1LaflammeRado
310,471,\Cref,N/A
311,471,\Cref,N/A
312,472,corollary,Environment
313,475,corollary,Environment
314,478,proof,Environment
315,481,\Cref,cor:rado-can-be-enriched
316,485,\Cref,thm:subgraph-to-subjoyce-Rado
317,486,\Cref,cor:strong-devlin-tight-joyce-orders
318,488,\section,Cone avoidance of the Rado Graph theorem for pairs
319,489,theorem,Environment
320,494,\forall,N/A
321,494,\ell_0,N/A
322,494,\forall,N/A
323,494,\infty,N/A
324,494,\ell_1,N/A
325,494,\forall,N/A
326,494,\infty,N/A
327,494,\ell_2,N/A
328,494,\subseteq,N/A
329,499,proof,Environment
330,500,\Cref,cor:joyce-diagonalization-exists-blossom
331,502,\Cref,lem:coded-joyce-order-to-strong-subtree
332,503,\Cref,thm:cmtt-admits-strong-cone-avoidance
333,505,\Cref,thm:cmtt-admits-strong-cone-avoidance
334,507,\Cref,thm:hl-strong-cone-avoidance
335,510,\Cref,lem:coded-joyce-order-to-strong-subtree-Rado
336,511,\Cref,thm:joyce-graph-to-coded
337,514,\emph,preimage
338,519,\Cref,thm:blossom-limit-cone-avoidance
339,521,theorem,Environment
340,524,proof,Environment
341,529,\Cref,thm:blossom-limit-cone-avoidance
342,530,equation,Environment
343,531,\forall,N/A
344,531,\ell_0,N/A
345,531,\forall,N/A
346,531,\infty,N/A
347,531,\ell_1,N/A
348,531,\forall,N/A
349,531,\infty,N/A
350,531,\ell_2,N/A
351,531,\subseteq,N/A
352,535,\Cref,eqn:weak-rado-pairs-ca-1
353,536,equation,Environment
354,537,\forall,N/A
355,537,\rho,N/A
356,537,\in,N/A
357,537,\cantor,N/A
358,537,\forall,N/A
359,537,\infty,N/A
360,537,\sigma_0,N/A
361,537,\in,N/A
362,537,\forall,N/A
363,537,\infty,N/A
364,537,\sigma_1,N/A
365,537,\in,N/A
366,540,definition,Environment
367,541,\emph,witnesses
368,547,lemma,Environment
369,550,proof,Environment
370,557,definition,Environment
371,558,\emph,condition
372,560,enumerate,Environment
373,561,\item,N/A
374,562,\item,N/A
375,564,\emph,extends
376,569,lemma,Environment
377,572,proof,Environment
378,579,lemma,Environment
379,583,proof,Environment
380,586,equation,Environment
381,587,\forall,N/A
382,587,\rho,N/A
383,587,\in,N/A
384,587,\leq,N/A
385,587,\ell_0,N/A
386,587,\forall,N/A
387,587,\sigma_0,N/A
388,587,\in,N/A
389,587,\geq,N/A
390,587,\ell_1,N/A
391,587,\forall,N/A
392,587,\infty,N/A
393,587,\sigma_1,N/A
394,587,\in,N/A
395,589,\Cref,eqn:weak-rado-pairs-ca-2
396,592,\Cref,lem:weak-rado-cone-avoidance-condition-is-rado
397,594,\Cref,eqn:weak-rado-pairs-ca-3
398,595,equation,Environment
399,596,\forall,N/A
