,line num,Command
0,1,\documentclass
1,2,\documentclass
2,3,\usepackage
3,4,\usepackage
4,5,\usepackage
5,6,\usepackage
6,10,\documentclass
7,11,\usepackage
8,12,\usepackage
9,13,\usepackage
10,14,\usepackage
11,15,\usepackage
12,17,\addtolength
13,17,\textheight
14,17,\addtolength
15,17,\textwidth
16,18,\addtolength
17,18,\voffset
18,18,\addtolength
19,18,\hoffset
20,20,\linespread
21,21,\usepackage
22,22,\input
23,23,\xyoption
24,24,\usepackage
25,25,\usepackage
26,28,\usepackage
27,31,\def
28,31,\A
29,31,\mathbb
30,34,\def
31,34,\B
32,34,\mathbb
33,36,\def
34,36,\I
35,36,\mathbb
36,38,\def
37,38,\R
38,38,\mathbb
39,39,\def
40,39,\C
41,39,\mathbb
42,40,\def
43,40,\F
44,40,\mathbb
45,42,\def
46,42,\M
47,42,\mathbb
48,43,\def
49,43,\T
50,43,\mathfrak
51,44,\def
52,44,\P
53,44,\mathbb
54,45,\def
55,45,\S
56,45,\mathcal
57,46,\def
58,46,\ns
59,46,\triangleleft
60,47,\def
61,47,\Gal
62,47,\mathrm
63,48,\def
64,48,\Hom
65,48,\mathrm
66,49,\def
67,49,\Char
68,49,\mathrm
69,50,\def
70,50,\lrird
71,50,\mathrm
72,51,\def
73,51,\GF
74,51,\mathrm
75,52,\def
76,52,\PSL
77,52,\mathrm
78,53,\def
79,53,\SL
80,53,\mathrm
81,54,\def
82,54,\PGL
83,54,\mathrm
84,55,\def
85,55,\GL
86,55,\mathrm
87,56,\def
88,56,\cs
89,56,\mathfrak
90,57,\def
91,57,\sort
92,57,\mathcal
93,59,\def
94,59,\cc
95,59,\mathrm
96,61,\let
97,61,\myacute
98,63,\def
99,63,\gL
100,63,\mathrm
101,63,\Gamma
102,64,\def
103,64,\PgL
104,64,\mathrm
105,64,\Gamma
106,65,\def
107,65,\lri
108,65,\mathcal
109,66,\def
110,66,\Aut
111,66,\mathrm
112,68,\def
113,68,\Sp
114,68,\mathrm
115,69,\def
116,69,\Ab
117,69,\mathrm
118,71,\def
119,71,\isom
120,71,\cong
121,73,\def
122,73,\ra
123,73,\longrightarrow
124,74,\def
125,74,\emptyset
126,74,\varnothing
127,75,\def
128,75,\iff
129,75,\Leftrightarrow
130,76,\def
131,76,\langle
132,77,\def
133,77,\rangle
134,78,\def
135,78,\N
136,78,\mathbb
137,79,\def
138,79,\Z
139,79,\mathbb
140,81,\def
141,81,\boldalpha
142,81,\ensuremath
143,81,\boldsymbol
144,81,\alpha
145,82,\def
146,82,\boldbeta
147,82,\ensuremath
148,82,\boldsymbol
149,82,\beta
150,83,\def
151,83,\Fq
152,83,\mathbb
153,84,\def
154,84,\lfi
155,85,\def
156,85,\lri
157,85,\mathfrak
158,86,\def
159,86,\gri
160,86,\mathcal
161,87,\def
162,87,\maxideal
163,87,\mathfrak
164,88,\def
165,88,\unif
166,88,\pi
167,89,\def
168,89,\muplus
169,89,\mu
170,89,\mathrm
171,90,\def
172,90,\mugroup
173,90,\mu_G
174,91,\def
175,91,\resfield
176,91,\mathfrak
177,92,\def
178,92,\congGL
179,92,\GL_n
180,93,\def
181,93,\congsubgp
182,93,\G
183,93,\cap
184,93,\GL_n
185,94,\def
186,94,\cczeta
187,94,\zeta_
188,94,\lri
189,95,\def
190,95,\ccintegral
191,95,\Z_
192,95,\lri
193,96,\def
194,96,\Mat
195,96,\mathrm
196,97,\def
197,97,\ac
198,97,\overline
199,97,\mathrm
200,98,\def
201,98,\Qp
202,98,\mathbb
203,99,\def
204,99,\Fp
205,99,\mathbb
206,101,\def
207,101,\pp
208,101,\mathrm
209,102,\def
210,102,\rings
211,102,\mathrm
212,103,\def
213,103,\pd
214,103,\mathrm
215,104,\def
216,104,\vf
217,104,\mathrm
218,104,\text
219,104,\mathrm
220,105,\def
221,105,\vfp
222,105,\mathrm
223,105,\text
224,105,\mathrm
225,105,\mathrm
226,106,\def
227,106,\hvf
228,106,\mathrm
229,107,\def
230,107,\mac
231,107,\mathrm
232,108,\def
233,108,\pres
234,108,\mathrm
235,109,\def
236,109,\hac
237,109,\mathrm
238,110,\def
239,110,\cL
240,110,\mathcal
241,111,\def
242,111,\cre
243,111,\color
244,113,\setlength
245,113,\unitlength
246,116,\newcommand
247,116,\kGq
248,117,\newcommand
249,117,\tqalpha
250,119,\newtheorem
251,120,\renewcommand
252,120,\thethmABC
