,Line num,Command,Notes
0,2,\parbf,N/A
1,2,\ref,N/A
2,2,\ref,N/A
3,3,\z,N/A
4,3,\subset,N/A
5,3,\RR,N/A
6,7,\parit,\ref{SHORT.ex:Hausdorff-bry:bry
7,7,\ref,\ref{SHORT.ex:Hausdorff-bry:bry
8,9,\eps,N/A
9,10,\Haus,\Haus\RR^2
10,10,\RR,\Haus\RR^2
11,10,\eps,\Haus\RR^2
12,12,\partial,\Haus\RR^2
13,12,\partial,\Haus\RR^2
14,12,\Haus,\Haus\RR^2
15,12,\RR,\Haus\RR^2
16,12,\approx,\Haus\RR^2
17,13,\partial,N/A
18,14,\partial,N/A
19,14,\partial,N/A
20,14,\dist,N/A
21,14,\partial,N/A
22,14,\partial,N/A
23,14,\Haus,N/A
24,14,\RR,N/A
25,14,\dist,N/A
26,14,\Haus,N/A
27,14,\RR,N/A
28,15,\parit,Remark.
29,16,\emph,N/A
30,17,\parbf,\ref{ex:Huas-perimeter-area
31,17,\ref,\ref{ex:Huas-perimeter-area
32,23,\RR,N/A
33,23,\to,N/A
34,23,\partial,N/A
35,23,\partial,N/A
36,24,\to,N/A
37,24,\infty,N/A
38,26,\parbf,\ref{ex:GH-inj
39,26,\ref,\ref{ex:GH-inj
40,27,\spc,N/A
41,27,\ref,N/A
42,28,\spc,N/A
43,28,\spc,N/A
44,28,\spc,N/A
45,28,\eps,N/A
46,30,\hat,N/A
47,30,\spc,N/A
48,30,\spc,N/A
49,31,\spc,N/A
50,31,\spc,N/A
51,31,\spc,N/A
52,31,\hat,N/A
53,31,\spc,N/A
54,31,\hat,N/A
55,31,\spc,N/A
56,31,\hat,N/A
57,31,\spc,N/A
58,32,\ref,N/A
59,32,\spc,N/A
60,32,\hookrightarrow,N/A
61,32,\spc,N/A
62,32,\spc,N/A
63,32,\hookrightarrow,N/A
64,32,\spc,N/A
65,32,\hat,N/A
66,32,\spc,N/A
67,32,\hookrightarrow,N/A
68,32,\hat,N/A
69,32,\spc,N/A
70,32,\hat,N/A
71,32,\spc,N/A
72,32,\hookrightarrow,N/A
73,32,\hat,N/A
74,32,\spc,N/A
75,34,\hat,N/A
76,34,\spc,N/A
77,34,\hat,N/A
78,34,\spc,N/A
79,34,\hat,N/A
80,34,\spc,N/A
81,35,\in,\spc{U
82,35,\hat,\spc{U
83,35,\spc,\spc{U
84,36,\in,\spc{X
85,36,\hat,\spc{X
86,36,\spc,\spc{X
87,37,\in,U
88,37,\spc,U
89,38,\spc,N/A
90,38,\spc,N/A
91,39,\ref,N/A
92,39,\in,N/A
93,39,\hat,N/A
94,39,\spc,N/A
95,40,\in,X
96,40,\spc,X
97,42,\spc,U
98,43,\ref,N/A
99,43,\spc,N/A
100,43,\spc,N/A
101,43,\spc,N/A
102,43,\eps,N/A
103,44,\in,U
104,44,\spc,U
105,45,\ref,ex:+-c
106,46,\in,U
107,46,\spc,U
108,47,\ref,|g-f|
109,48,\hat,N/A
110,48,\spc,N/A
111,48,\cdot,N/A
112,48,\eps,N/A
113,48,\hat,N/A
114,48,\spc,N/A
115,48,\hat,N/A
116,48,\spc,N/A
117,49,\hat,N/A
118,49,\spc,N/A
119,49,\cdot,N/A
120,49,\eps,N/A
121,49,\hat,N/A
122,49,\spc,N/A
123,49,\hat,N/A
124,49,\spc,N/A
125,51,\hat,N/A
126,51,\spc,N/A
127,51,\hat,N/A
128,51,\spc,N/A
129,51,\Haus,N/A
130,51,\spc,N/A
131,51,\cdot,N/A
132,51,\eps,N/A
133,53,\hat,N/A
134,53,\spc,N/A
135,53,\hat,N/A
136,53,\spc,N/A
137,53,\GH,N/A
138,53,\cdot,N/A
139,53,\eps,N/A
140,54,\parit,Comment.
141,55,\cite,lang-pavon-zust
142,56,figure,Environment
143,57,\vskip,N/A
144,58,\centering,N/A
145,59,\includegraphics,mppics/pic-505
146,62,\to,N/A
147,62,\infty,N/A
148,63,\parbf,\ref{ex:GH-po:a
149,63,\ref,\ref{ex:GH-po:a
150,64,\dist,N/A
151,64,\GH,N/A
152,66,\dist,N/A
153,66,\spc,N/A
154,66,\spc,N/A
155,66,\GH,N/A
156,66,\spc,N/A
157,66,\to,N/A
158,66,\spc,N/A
159,67,\spc,X
160,68,\in,N/A
161,68,\to,N/A
162,68,\infty,N/A
163,69,\infty,N/A
164,70,\in,X
165,70,\spc,X
166,70,\in,X
167,71,\spc,N/A
168,71,\infty,N/A
169,71,\spc,N/A
170,72,\infty,N/A
171,73,\infty,N/A
172,73,\spc,N/A
173,73,\to,N/A
174,73,\spc,N/A
175,76,\infty,N/A
176,76,\spc,N/A
177,76,\to,N/A
178,76,\spc,N/A
179,77,\ref,N/A
180,77,\infty,N/A
181,77,\circ,N/A
182,77,\infty,N/A
183,77,\spc,N/A
184,77,\to,N/A
185,77,\spc,N/A
186,77,\infty,N/A
187,77,\z,N/A
188,77,\circ,N/A
189,77,\infty,N/A
190,77,\spc,N/A
191,77,\to,N/A
192,77,\spc,N/A
193,78,\infty,N/A
194,78,\infty,N/A
195,79,\parbf,\ref{pr:doubling
196,79,\ref,\ref{pr:doubling
197,80,\spc,N/A
198,80,\spc,N/A
199,81,\spc,X
200,81,\z,X
201,83,\ge,C^n
202,83,\tfrac,C^n
203,84,\in,X
204,84,\spc,X
205,86,\ref,N/A
206,86,\eps,N/A
207,86,\ge,N/A
208,86,\frac,N/A
209,86,\spc,N/A
210,86,\eps,N/A
211,87,\spc,Q
212,88,\parbf,\ref{pr:under
213,88,\ref,\ref{pr:under
214,89,\spc,Y
215,89,\eps,Y
216,89,\eps,Y
217,90,\eps,N/A
218,90,\eps,N/A
219,90,\dots,N/A
220,90,\eps,N/A
221,90,\spc,N/A
222,91,\spc,N/A
223,91,\to,N/A
224,91,\spc,N/A
225,93,\cdot,N/A
226,93,\eps,N/A
227,94,\cdot,N/A
228,94,\eps,N/A
229,94,\spc,N/A
230,95,\ref,SHORT.pr:under:if
231,96,\parit,N/A
232,96,\ref,N/A
233,96,\spc,N/A
234,97,\spc,N/A
235,97,\tfrac1,N/A
236,98,\spc,Y
237,98,\dots,Y
238,98,\le,Y
239,98,\le,Y
240,99,\ell_n,Y
241,99,\spc,Y
242,100,\ell_n,N/A
243,100,\ne,N/A
244,101,\spc,Y
245,102,\tfrac,N/A
246,102,\spc,N/A
247,103,\spc,N/A
248,103,\spc,N/A
249,104,\tfrac1,2^n
250,105,\subset,X
251,105,\spc,X
252,106,\le,"1,\dots,M_n\"
253,106,\dots,"1,\dots,M_n\"
254,107,\spc,N/A
255,107,\to,N/A
256,107,\spc,N/A
257,107,\to,N/A
258,107,\dots,N/A
259,107,\tfrac1,N/A
260,108,\tfrac1,N/A
261,108,\ge,N/A
262,108,\dist,N/A
263,108,\spc,N/A
264,108,\tfrac1,N/A
265,108,\ne,N/A
266,109,\dist,N/A
267,109,\spc,N/A
268,109,\ge,N/A
269,109,\tfrac,N/A
270,111,\in,X
271,111,\spc,X
272,112,\spc,N/A
273,112,\to,N/A
274,112,\spc,N/A
275,113,\parbf,N/A
276,113,\ref,N/A
277,113,\ref,N/A
278,114,\spc,N/A
279,114,\GHto,N/A
280,114,\spc,N/A
281,114,\spc,N/A
282,115,\tilde,N/A
283,115,\spc,N/A
284,115,\to,N/A
285,115,\spc,N/A
286,115,\tilde,N/A
287,115,\spc,N/A
288,115,\to,N/A
289,115,\spc,N/A
290,116,\spc,N/A
291,116,\spc,N/A
292,116,\spc,N/A
293,116,\tilde,N/A
294,116,\spc,N/A
295,117,wrapfigure,Environment
296,118,\vskip,N/A
297,119,\centering,N/A
298,120,\includegraphics,mppics/pic-2
299,122,\parit,\ref{SHORT.ex:GH-SC:nonsc-limit
300,122,\ref,\ref{SHORT.ex:GH-SC:nonsc-limit
301,123,\spc,V
302,124,\emph,N/A
303,124,\spc,N/A
304,124,\spc,N/A
305,125,\spc,W
306,126,\spc,N/A
307,126,\spc,N/A
308,127,\spc,W
309,128,\parit,Remark.
310,129,\ref,SHORT.ex:GH-SC:nonsc-limit
311,131,\parbf,\ref{ex:sphere-to-ball
312,131,\ref,\ref{ex:sphere-to-ball
313,132,\textit,\ref{SHORT.ex:sphere-to-ball:2
314,132,\ref,\ref{SHORT.ex:sphere-to-ball:2
315,133,\mathbb,S
316,133,\DD,S
317,134,\mathbb,S
318,134,\DD,S
319,135,\mathbb,S
