,Line num,Command,Notes
0,1,\chapter,Space of sets
1,2,\section,Hausdorff distance
2,6,\distfun_A,X
3,6,\spc,X
4,6,\to,X
5,9,thm,Environment
6,12,subthm,Environment
7,15,subthm,Environment
8,24,\section,Hausdorff convergence
9,25,thm,Environment
10,32,\emph,N/A
11,32,\index,N/A
12,32,\emph,N/A
13,33,\emph,Hausdorff limit
14,36,\parit,Proof; ``only if'' part.
15,38,\footnote,"that is, point   mapped to the one-point subset   of  "
16,42,\ref,ex:diam
17,48,\qeds,N/A
18,50,thm,Environment
19,55,\parit,Proof.
20,65,\index,N/A
21,65,\emph,N/A
22,66,\footnote,Partial limit is a limit of a subsequence.
23,72,\qeds,N/A
24,73,thm,Environment
25,77,\parit,Proof.
26,80,\Haus,N/A
27,80,\spc,N/A
28,80,\le,N/A
29,80,\tfrac1,N/A
30,80,\eqlbl,N/A
31,83,align,Environment
32,84,\set,N/A
33,84,\in,N/A
34,84,\spc,N/A
35,84,\distfun_,N/A
36,84,\le,N/A
37,84,\tfrac1,N/A
38,87,\ref,eq:eps=1/10
39,91,\infty,n=1
40,91,\bigcap_,n=1
41,91,\infty,n=1
42,92,\ref,lem:decreasing-converges
43,95,\qeds,N/A
44,96,thm,Environment
45,100,\ref,lem:complete+Hausdorff
46,102,\parit,Nested
47,102,\ref,thm:compact+Hausdorff
48,102,\ref,Nested
49,102,\ref,thm:compact+Hausdorff
50,103,\ref,lem:complete+Hausdorff
51,105,\ref,totally-bounded
52,115,\qeds,N/A
53,116,thm,Environment
54,120,\section,An application
55,121,\index,N/A
56,121,\emph,N/A
57,122,thm,Environment
58,127,thm,Environment
59,129,\footnote,"If the set degenerates to a line segment of length  , then its perimeter is defined as  ."
60,133,\parit,Sketch.
61,135,\ref,thm:compact+Hausdorff
62,139,\emph,Nested
63,139,\emph,Steiner's 4-joint method
64,139,\cite,Nested
65,139,\emph,Steiner's 4-joint method
66,146,begin,Environment
67,147,\vskip,N/A
68,148,\centering,N/A
69,149,\includegraphics,mppics/pic-405
70,151,thm,Environment
71,155,\section,N/A
72,155,\label,N/A
73,156,\cite,hausdorff
74,157,\cite,blaschke
75,159,\cite,frolik
76,160,\cite,wijsman
77,161,\index,N/A
78,161,\emph,N/A
79,162,\emph,Nested
80,162,\emph,closed convergence
81,162,\cite,Nested
82,162,\emph,closed convergence
83,163,thm,Environment
84,168,\ref,Nested
85,168,\ref,Nested
86,169,\ref,thm:compact+Hausdorff
87,170,thm,Environment
88,177,\ref,def:gen-Haus-conv
89,179,\chapter,Space of spaces
