,Line num,Command,Notes
0,1,\parbf,\ref{ex:+-c
1,1,\ref,\ref{ex:+-c
2,7,align,Environment
3,8,\bar,N/A
4,8,\bar,N/A
5,8,\ge,N/A
6,9,\ge,N/A
7,10,\ge,N/A
8,10,\dist,N/A
9,14,\parbf,\ref{ex:inj=complete-geodesic-contractible
10,14,\ref,\ref{ex:inj=complete-geodesic-contractible
11,16,\textit,\ref{SHORT.ex:inj=complete-geodesic-contractible:complete
12,16,\ref,\ref{SHORT.ex:inj=complete-geodesic-contractible:complete
13,20,align,Environment
14,21,\dist,N/A
15,21,\spc,N/A
16,21,\dist,N/A
17,21,\spc,N/A
18,22,\dist,N/A
19,22,\infty,N/A
20,22,\spc,N/A
21,22,\lim_,N/A
22,22,\to,N/A
23,22,\infty,N/A
24,22,\dist,N/A
25,22,\spc,N/A
26,31,\textit,\ref{SHORT.ex:inj=complete-geodesic-contractible:geodesic
27,31,\ref,\ref{SHORT.ex:inj=complete-geodesic-contractible:geodesic
28,33,\ref,SHORT.ex:inj=complete-geodesic-contractible:complete
29,35,\ref,lem:mid>geod:geod
30,36,\textit,\ref{SHORT.ex:inj=complete-geodesic-contractible:contractible
31,36,\ref,\ref{SHORT.ex:inj=complete-geodesic-contractible:contractible
32,37,\ref,lem:kuratowski
33,44,\parbf,\ref{ex:injective-spaces
34,44,\ref,\ref{ex:injective-spaces
35,47,\parit,\ref{SHORT.ex:injective-spaces:R
36,47,\ref,\ref{SHORT.ex:injective-spaces:R
37,52,\parit,\ref{SHORT.ex:injective-spaces:tree
38,52,\ref,\ref{SHORT.ex:injective-spaces:tree
39,66,\parbf,\ref{ex:ultrametric
40,66,\ref,\ref{ex:ultrametric
41,72,align,Environment
42,73,\dist,N/A
43,73,\spc,N/A
44,73,\ge,N/A
45,74,\dist,N/A
46,74,\spc,N/A
47,75,\dist,N/A
48,75,\spc,N/A
49,79,\parit,\ref{SHORT.ex:injective-spaces:ell-infty
50,79,\ref,\ref{SHORT.ex:injective-spaces:ell-infty
51,82,\ref,SHORT.ex:injective-spaces:R
52,83,\parbf,N/A
53,83,\ref,N/A
54,83,\ref,N/A
55,87,align,Environment
56,88,\pm,N/A
57,89,\pm,N/A
58,90,\pm,N/A
59,94,align,Environment
60,95,\pm,N/A
61,95,\pm,N/A
62,95,\pm,N/A
63,99,wrapfigure,Environment
64,100,\vskip,N/A
65,101,\centering,N/A
66,102,\includegraphics,mppics/pic-3
67,103,\bigskip,N/A
68,104,\includegraphics,mppics/pic-4
69,108,\parit,\ref{SHORT.ex:tripod+square:square
70,108,\ref,\ref{SHORT.ex:tripod+square:square
71,117,\parbf,\ref{ex:4-on-a-line
72,117,\ref,\ref{ex:4-on-a-line
73,123,\ref,lem:opposite
74,125,\ref,N/A
75,125,\ref,N/A
