,Line num,Command,Notes
0,1,\chapter,N/A
1,1,\emph,N/A
2,1,\emph,N/A
3,2,\index,N/A
4,2,\emph,N/A
5,4,\cite,isbell
6,5,\section,Admissible and extremal functions
7,7,\label,N/A
8,7,\index,N/A
9,7,\emph,N/A
10,9,thm,Environment
11,10,subthm,Environment
12,13,subthm,Environment
13,15,\cap,N/A
14,15,\cBall,N/A
15,15,\ne,N/A
16,15,\emptyset,N/A
17,19,\parit,N/A
18,19,\ref,N/A
19,19,\ref,N/A
20,20,\ref,SHORT.obs:admissible:balls
21,21,\qeds,N/A
22,22,\label,N/A
23,22,\index,N/A
24,22,\emph,N/A
25,26,thm,Environment
26,31,thm,Environment
27,33,subthm,Environment
28,37,subthm,Environment
29,38,\index,N/A
30,38,\emph,N/A
31,41,\pageref,page:extension function
32,43,subthm,Environment
33,49,subthm,Environment
34,53,\parit,Proof; \ref{SHORT.obs:extremal:distfun
35,53,\ref,Proof; \ref{SHORT.obs:extremal:distfun
36,54,\ref,eq:admissible
37,56,\ref,eq:admissible
38,58,\parit,\ref{SHORT.lem:extremal-lipschitz
39,58,\ref,\ref{SHORT.lem:extremal-lipschitz
40,59,\ref,SHORT.obs:extremal:distfun
41,61,\ref,ex:+-c
42,66,\parit,\ref{SHORT.lem:opposite
43,66,\ref,\ref{SHORT.lem:opposite
44,67,\ref,SHORT.obs:extremal:distfun
45,70,\ref,ex:+-c
46,76,\parit,\ref{SHORT.obs:extremal:below
47,76,\ref,\ref{SHORT.obs:extremal:below
48,78,\qeds,N/A
49,79,\section,Injective spaces
50,80,thm,Environment
51,81,\index,N/A
52,81,\emph,N/A
53,85,thm,Environment
54,87,subthm,Environment
55,90,subthm,Environment
56,93,subthm,Environment
57,97,thm,Environment
58,99,subthm,Environment
59,102,subthm,Environment
60,105,subthm,Environment
61,109,thm,Environment
62,112,\index,N/A
63,112,\emph,N/A
64,116,thm,Environment
65,118,subthm,Environment
66,121,subthm,Environment
67,125,subthm,Environment
68,126,\index,N/A
69,126,\emph,N/A
70,132,\parit,Proof.
71,133,\ref,N/A
72,133,\ref,N/A
73,133,\ref,N/A
74,133,\ref,N/A
75,134,\parit,N/A
76,134,\ref,N/A
77,134,\ref,N/A
78,137,\ref,lem:extremal-lipschitz
79,138,\parit,N/A
80,138,\ref,N/A
81,138,\ref,N/A
82,139,\ref,N/A
83,139,\ref,N/A
84,140,itemize,Environment
85,141,\item,N/A
86,146,\ref,SHORT.thm:injective=hyperconvex:balls
87,147,\ref,eq:|p-x|=<r(x)
88,148,\ref,obs:extremal:below
89,149,\ref,N/A
90,149,\ref,N/A
91,150,\parit,N/A
92,150,\ref,N/A
93,150,\ref,N/A
94,154,\footnote,"In this case   must be closed, but we will not use it."
95,160,align,Environment
96,161,\ge,N/A
97,161,\dist,N/A
98,161,\spc,N/A
99,161,\ge,N/A
100,162,\ge,N/A
101,162,\dist,N/A
102,162,\spc,N/A
103,164,\ref,SHORT.thm:injective=hyperconvex:balls
104,166,\qeds,N/A
105,167,thm,Environment
106,173,thm,Environment
107,174,\emph,N/A
108,174,\emph,N/A
109,175,\ref,thm:injective=hyperconvex:balls
110,178,\section,Space of extremal functions
111,180,\label,page:InjX
112,182,\ref,obs:extremal:distfun
113,188,\ref,ex:+-c
114,190,\ref,lem:opposite
115,191,thm,Environment
116,195,thm,Environment
117,197,subthm,Environment
118,200,subthm,Environment
119,206,thm,Environment
120,210,thm,Environment
121,216,\parit,Proof.
122,221,\ref,r-admissible
123,222,\ref,eq:f(p)=|f-p|
124,223,\ref,r-admissible
125,226,\ref,lem:opposite
126,228,align,Environment
127,229,\ge,N/A
128,229,\ge,N/A
129,230,\intertext,"since   is 1-Lipschitz, and  , we can continue"
130,231,\ge,N/A
131,231,\dist,N/A
132,231,\Inj,N/A
133,231,\spc,N/A
134,231,\ge,N/A
135,232,\intertext,by \ref{eq:f(p)=|f-p|
136,232,\ref,by \ref{eq:f(p)=|f-p|
137,233,\ge,N/A
138,233,\dist,N/A
139,234,\intertext,by \ref{lem:opposite
140,234,\ref,by \ref{lem:opposite
141,237,\ref,N/A
142,237,\ref,N/A
143,240,\qeds,N/A
144,241,\parit,Proof of \ref{prop:InjX-is-injective
145,241,\ref,Proof of \ref{prop:InjX-is-injective
146,244,\ref,lem:r|X-extremal
147,246,\ref,thm:injective=hyperconvex:extremal
148,249,\ref,lem:extremal-lipschitz
149,255,\ref,eq:r(f)>=| r-f|
150,256,\qeds,N/A
151,257,thm,Environment
152,262,\section,Injective envelop
153,263,\index,N/A
154,263,\emph,N/A
155,266,thm,Environment
156,270,\parit,Proof.
157,283,\qeds,N/A
158,284,thm,Environment
159,288,\section,Remarks
160,289,\cite,N/A
161,289,\cite,N/A
162,291,\index,N/A
163,291,\emph,N/A
164,291,\index,N/A
165,291,\emph,N/A
