,Line num,Command,Notes
0,1,\parbf,\ref{ex:almost-min
1,1,\ref,\ref{ex:almost-min
2,10,align,Environment
3,14,\parbf,\ref{ex:non-contracting-map
4,14,\ref,\ref{ex:non-contracting-map
5,36,\parit,Remarks.
6,37,\cite,burago-burago-ivanov
7,42,\parbf,\ref{ex:pogorelov
8,42,\ref,\ref{ex:pogorelov
9,43,\ref,N/A
10,43,\ref,N/A
11,43,\ref,N/A
12,44,\ref,SHORT.metric:triangle
13,45,\cup,N/A
14,46,\supseteq,N/A
15,47,\tfrac,N/A
16,47,\pi2,N/A
17,47,\backslash,N/A
18,47,\tfrac,N/A
19,47,\pi2,N/A
20,48,\leqno,N/A
21,49,wrapfigure,Environment
22,50,\vskip,N/A
23,51,\centering,N/A
24,52,\includegraphics,mppics/pic-29
25,60,\parit,Remarks.
26,62,\cite,pogorelov
27,64,\cite,hilbert
28,66,\parbf,\ref{ex:no-geod
29,66,\ref,\ref{ex:no-geod
30,87,\parit,Remarks.
31,88,\cite,nazarov
32,89,\parbf,\ref{ex:compact+connceted
33,89,\ref,\ref{ex:compact+connceted
34,94,\parit,N/A
35,94,\cite,N/A
36,95,\parbf,\ref{ex:compact=>complete
37,95,\ref,\ref{ex:compact=>complete
38,102,align,Environment
39,103,\infty,
40,103,\le,
41,103,\length,
42,103,\le,
43,104,\le,2^n
44,104,\tfrac1,2^n
45,107,\parit,N/A
46,107,\cite,N/A
47,108,wrapfigure,Environment
48,109,\vskip,N/A
49,110,\centering,N/A
50,111,\includegraphics,mppics/pic-1
51,113,\parbf,\ref{exercise from BH
52,113,\ref,\ref{exercise from BH
53,115,\times,"0,1\"
54,115,\bigr,"0,1\"
55,116,\cup,N/A
56,117,\bigl,"1,\tfrac12,\tfrac13,\dots\"
57,117,\tfrac12,"1,\tfrac12,\tfrac13,\dots\"
58,117,\tfrac13,"1,\tfrac12,\tfrac13,\dots\"
59,117,\dots,"1,\tfrac12,\tfrac13,\dots\"
60,117,\times,"1,\tfrac12,\tfrac13,\dots\"
61,117,\bigr,"1,\tfrac12,\tfrac13,\dots\"
62,124,\parit,N/A
63,124,\cite,N/A
