,Line num,Command,Notes
0,1,\chapter,Definitions
1,5,\cite,burago-burago-ivanov
2,6,\section,Metric spaces
3,7,\label,sec:metric spaces
4,12,thm,Environment
5,13,\index,N/A
6,13,\emph,N/A
7,14,subthm,Environment
8,17,subthm,Environment
9,19,subthm,Environment
10,21,subthm,Environment
11,24,\index,N/A
12,24,\emph,N/A
13,25,\emph,points
14,28,\index,N/A
15,28,\emph,N/A
16,30,align,Environment
17,31,\oBall,N/A
18,31,\in,N/A
19,31,\spc,N/A
20,31,\mid,N/A
21,31,\dist,N/A
22,32,\cBall,N/A
23,32,\in,N/A
24,32,\spc,N/A
25,32,\mid,N/A
26,32,\dist,N/A
27,32,\le,N/A
28,35,\index,N/A
29,35,\emph,N/A
30,36,\index,closed ball
31,36,\emph,closed ball
32,41,\_,\spc{X
33,41,\spc,\spc{X
34,42,thm,Environment
35,46,\section,Variations of definition
36,47,\parbf,Pseudometris.
37,48,\index,N/A
38,48,\emph,N/A
39,49,\ref,N/A
40,49,\ref,N/A
41,60,\emph,corresponding metric space
42,62,\parbf, -metrics.
43,64,\index,N/A
44,64,\emph,N/A
45,64,\emph,N/A
46,69,\index,N/A
47,69,\emph,N/A
48,73,\emph,N/A
49,74,thm,Environment
50,77,subthm,Environment
51,80,subthm,Environment
52,84,\section,Completeness
53,85,\index,N/A
54,85,\emph,N/A
55,86,thm,Environment
56,93,\parbf,Completion.
57,96,\ref,eq:cauchy-dist
58,97,\index,N/A
59,97,\emph,N/A
60,104,thm,Environment
61,107,\section,Compact spaces
62,109,thm,Environment
63,111,subthm,Environment
64,114,subthm,Environment
65,115,\index,N/A
66,115,\emph,N/A
67,117,subthm,Environment
68,120,subthm,Environment
69,121,\index,N/A
70,121,\emph,N/A
71,124,\index,N/A
72,124,\emph,N/A
73,126,thm,Environment
74,131,\index,N/A
75,131,\emph,N/A
76,133,thm,Environment
77,137,thm,Environment
78,141,\index,N/A
79,141,\emph,N/A
80,144,\index,N/A
81,144,\emph,N/A
82,146,\section,Proper spaces
83,147,\index,N/A
84,147,\emph,N/A
85,149,itemize,Environment
86,150,\item,N/A
87,152,\item,N/A
88,152,\index,N/A
89,152,\emph,N/A
90,156,thm,Environment
91,159,\section,Geodesics
92,160,\label,sec:geods
93,162,\index, 
94,163,\index,N/A
95,163,\emph,N/A
96,164,\footnote,N/A
97,164,\emph,N/A
98,164,\emph,N/A
99,165,\emph,geodesic
100,169,\index, 
101,170,\index,N/A
102,170,\emph,N/A
103,177,\index,N/A
104,177,\emph,N/A
105,179,\index,N/A
106,179,\emph,N/A
107,181,\index,N/A
108,181,\emph,N/A
109,182,\section,Geodesic spaces and metric trees
110,183,\index,N/A
111,183,\emph,N/A
112,184,thm,Environment
113,191,\index,N/A
114,191,\emph,N/A
115,196,\emph,sphere
116,197,thm,Environment
117,202,\section,Length
118,203,\index,N/A
119,203,\emph,N/A
120,204,\index,N/A
121,204,\emph,N/A
122,205,thm,Environment
123,208,\index,N/A
124,208,\emph,N/A
125,209,\index,N/A
126,209,\emph,N/A
127,211,thm,Environment
128,218,\liminf_,N/A
129,218,\to,N/A
130,218,\infty,N/A
131,218,\length,N/A
132,218,\gamma_n,N/A
133,218,\ge,N/A
134,218,\length,N/A
135,218,\gamma_,N/A
136,218,\infty,N/A
137,218,\eqlbl,N/A
138,220,wrapfigure,Environment
139,221,\vskip,N/A
140,222,\centering,N/A
141,223,\includegraphics,mppics/pic-100
142,225,\ref,eq:semicont-length
143,233,\parit,Proof.
144,236,align,Environment
145,237,\df,N/A
146,238,\gamma_n,k-1
147,238,\gamma_n,k-1
148,238,\dots,k-1
149,238,\gamma_n,k-1
150,238,\gamma_n,k-1
151,239,\Sigma_,N/A
152,239,\infty,N/A
153,240,\df,N/A
154,241,\gamma_,k-1
155,241,\infty,k-1
156,241,\gamma_,k-1
157,241,\infty,k-1
158,241,\dots,k-1
159,241,\gamma_,k-1
160,241,\infty,k-1
161,241,\gamma_,k-1
162,241,\infty,k-1
163,249,\liminf_,N/A
164,249,\to,N/A
165,249,\infty,N/A
166,249,\length,N/A
167,249,\gamma_n,N/A
168,249,\ge,N/A
169,249,\Sigma_,N/A
170,249,\infty,N/A
171,249,\eqlbl,N/A
172,251,align,Environment
173,252,\length,N/A
174,252,\gamma_,N/A
175,252,\infty,N/A
176,252,\Sigma_,N/A
177,252,\infty,N/A
178,252,\eps,N/A
179,255,\ref,>=Sigma-infty
180,256,\liminf_,n\to\infty
181,256,\to,n\to\infty
182,256,\infty,n\to\infty
183,256,\length,n\to\infty
184,256,\gamma_n,n\to\infty
185,256,\length,n\to\infty
186,256,\gamma_,n\to\infty
187,256,\infty,n\to\infty
188,256,\eps,n\to\infty
189,257,\ref,eq:semicont-length
190,261,\ref,>=Sigma-infty
191,262,\liminf_,n\to\infty
192,262,\to,n\to\infty
193,262,\infty,n\to\infty
194,262,\length,n\to\infty
195,262,\gamma_n,n\to\infty
196,264,\ref,eq:semicont-length
197,265,\qeds,N/A
198,266,\section,N/A
199,266,\label,N/A
200,268,\index,N/A
201,268,\emph,N/A
202,268,\index,N/A
203,268,\emph,N/A
204,268,\label,N/A
205,273,thm,Environment
206,277,thm,Environment
207,285,\index,N/A
208,285,\emph,N/A
209,286,thm,Environment
210,291,thm,Environment
211,300,\footnote,"The notation   conflicts with the previously defined notation for distance   in a metric space  . However, most of the time we will work with ambient length spaces where the meaning will be unambiguous."
212,302,enumerate,Environment
213,303,\item,N/A
214,303,\index,N/A
215,303,\emph,N/A
216,306,\item,N/A
217,307,\index,N/A
218,307,\emph,N/A
219,309,\eps,N/A
220,312,thm,Environment
221,314,subthm,Environment
222,320,subthm,Environment
223,326,\parit,Proof.
224,327,\ref,SHORT.lem:mid>length
225,343,\ref,SHORT.lem:mid>length
226,344,\ref,SHORT.lem:mid>geod:geod
227,347,\ref,eq:eps-midpoint
228,348,\qeds,N/A
229,349,\ref,lem:mid>geod
230,350,thm,Environment
231,353,thm,Environment
232,356,\ref,ex:loc-compact-not-proper
233,357,\parit,Proof.
234,362,\rho,N/A
235,363,\quad,for any
236,363,\text,for any
237,363,\quad,for any
238,364,\in,N/A
239,364,\spc,N/A
240,364,\eqlbl,N/A
241,366,clm,Environment
242,372,\claimqeds,N/A
243,374,clm,Environment
244,382,\claimqeds,N/A
245,384,\ref,eq:rho>0
246,391,\qeds,N/A
247,392,thm,Environment
248,396,thm,Environment
249,400,\index,N/A
250,400,\emph,N/A
251,403,\index,N/A
252,403,\emph,N/A
253,404,thm,Environment
