,Line num,Command,Notes
0,1,\RequirePackage,snapshot
1,2,\documentclass,book
2,3,\usepackage,lectures
3,4,\usepackage,hyperref
4,5,\makeindex,N/A
5,6,document,Environment
6,7,\title,Nested
7,8,\author,Anton Petrunin
8,9,\date,
9,10,\maketitle,N/A
10,15,\cite,"alexander-kapovitch-petrunin-2019, alexander-kapovitch-petrunin-2025, petrunin-yashinski, petrunin-2009, petrunin-zamorabarrera"
11,17,\cite,Nested
12,17,\cite,Nested
13,18,\thispagestyle,empty
14,19,\tableofcontents,N/A
15,20,\thispagestyle,empty
16,21,\include,metric
17,22,\include,uryson
18,23,\include,injective
19,24,\include,converge
20,25,\include,ultralimit
21,26,\appendix,N/A
22,27,\chapter,Semisolutions
23,28,\input,metric-sol
24,29,\input,uryson-sol
25,30,\input,injective-sol
26,31,\input,converge-sol
27,32,\input,ultralimit-sol
28,32,\small,ultralimit-sol
29,32,\sloppy,ultralimit-sol
30,33,\input,pure-metric.ind
31,34,\printbibliography,N/A
32,35,\fussy,N/A
