,Line num,Command,Notes
0,2,\parbf,\ref{ex:ultrapower
1,2,\ref,\ref{ex:ultrapower
2,3,\ref,SHORT.ex:ultrapower:a
3,4,\spc,N/A
4,4,\spc,N/A
5,5,\parit,\ref{SHORT.ex:ultrapower:compact
6,5,\ref,\ref{SHORT.ex:ultrapower:compact
7,6,\spc,X
8,7,\spc,N/A
9,7,\spc,N/A
10,7,\spc,N/A
11,10,\spc,N/A
12,10,\dist,N/A
13,10,\eps,N/A
14,10,\eps,N/A
15,10,\ne,N/A
16,12,\in,X
17,12,\spc,X
18,13,\tfrac,X
19,13,\eps2,X
20,13,\spc,X
21,14,\parit,\ref{SHORT.ex:ultrapower:proper
22,14,\ref,\ref{SHORT.ex:ultrapower:proper
23,15,\spc,X
24,17,\ref,N/A
25,17,\spc,N/A
26,20,\spc,X
27,21,\parbf,\ref{ex:lim(tree)
28,21,\ref,\ref{ex:lim(tree)
29,22,\ell,N/A
30,23,\spc,N/A
31,23,\spc,N/A
32,24,\ref,N/A
33,24,\spc,N/A
34,25,\ref,eq:+ell
35,26,\gamma_,N/A
36,27,\notin,N/A
37,28,\in,T
38,28,\spc,T
39,28,\to,T
40,28,\to,T
41,28,\to,T
42,28,\to,T
43,30,align,Environment
44,31,\dist,N/A
45,31,\length,N/A
46,31,\ge,N/A
47,31,\lim_,N/A
48,31,\to,N/A
49,31,\dist,N/A
50,31,\dist,N/A
51,31,\ge,N/A
52,32,\ge,N/A
53,32,\lim_,N/A
54,32,\to,N/A
55,32,\dist,N/A
56,32,\cdot,N/A
57,32,\ell_n,N/A
58,33,\dist,N/A
59,33,\cdot,N/A
60,33,\ell_,N/A
61,35,\notin,N/A
62,35,\ell_,N/A
63,36,\in,N/A
64,36,\spc,N/A
65,36,\in,N/A
66,36,\spc,N/A
