,Line num,Command,Notes
0,1,\chapter,Ultralimits
1,6,\cite,kleiner-leeb
2,7,\section,Ultrafilters
3,9,thm,Environment
4,13,\index,N/A
5,13,\emph,N/A
6,14,subthm,Environment
7,18,\emph,N/A
8,18,\index,N/A
9,18,\index,N/A
10,19,subthm,Environment
11,24,\index,N/A
12,24,\emph,N/A
13,25,\index,N/A
14,25,\emph,N/A
15,26,\parbf,Classical definition.
16,28,enumerate,Environment
17,29,\item,filter:supset
18,29,\label,filter:supset
19,30,\item,filter:cap
20,30,\label,filter:cap
21,31,\item,filter:ultra
22,31,\label,filter:ultra
23,32,\item,filter:non-prin
24,32,\label,filter:non-prin
25,35,\ref,N/A
26,35,\ref,N/A
27,35,\index,N/A
28,35,\emph,N/A
29,36,\ref,N/A
30,36,\index,N/A
31,36,\emph,N/A
32,39,\parbf,Stone--\v{C
33,39,\v,Stone--\v{C
34,42,\index,N/A
35,42,\v,N/A
36,42,\emph,N/A
37,42,\v,N/A
38,51,\section,Ultralimits of points
39,52,\label,N/A
40,52,\index,N/A
41,57,\index,N/A
42,57,\emph,N/A
43,64,\v,C
44,68,thm,Environment
45,71,\to,N/A
46,72,\to,N/A
47,76,\parit,Proof.
48,84,\qeds,N/A
49,89,thm,Environment
50,96,thm,Environment
51,103,\parit,Proof.
52,105,\qeds,N/A
53,106,\section,N/A
54,106,\label,N/A
55,117,\ref,eq:olim-dist
56,118,\index,N/A
57,118,\emph,N/A
58,126,thm,Environment
59,129,\parit,Proof.
60,137,itemize,Environment
61,138,\item,N/A
62,139,\item,N/A
63,140,\item,N/A
64,146,\qeds,N/A
65,147,thm,Environment
66,150,\parit,Proof.
67,154,\ref,obs:ultralimit-is-complete
68,155,\ref,lem:mid>geod
69,156,\qeds,N/A
70,157,thm,Environment
71,160,\section,Ultrapower
72,166,thm,Environment
73,169,subthm,Environment
74,172,subthm,Environment
75,175,subthm,Environment
76,179,thm,Environment
77,183,\parit,Proof.
78,186,\in,N/A
79,187,\spc,X
80,187,\to,X
81,187,\to,X
82,195,\ref,lem:mid>geod
83,196,\ref,obs:ultralimit-is-geodesic
84,197,\qeds,N/A
85,198,thm,Environment
86,204,thm,Environment
87,207,\section,Tangent and asymptotic spaces
88,213,\index,N/A
89,213,\emph,N/A
90,213,\label,N/A
91,214,\index,N/A
92,214,\emph,N/A
93,214,\footnote,N/A
94,214,\emph,N/A
95,219,thm,Environment
96,223,thm,Environment
97,225,subthm,Environment
98,228,subthm,Environment
99,229,\emph,N/A
100,232,subthm,Environment
101,235,subthm,Environment
102,236,\ref,N/A
103,236,\ref,N/A
104,237,\footnote,"that is, degree of any vertex is 3."
105,241,\cite,N/A
106,241,\ref,N/A
107,241,\ref,N/A
108,243,\section,Remarks
109,245,\emph,N/A
110,245,\index,N/A
111,245,\index,N/A
112,248,\cite,rudin
113,249,\ref,prop:ultra/partial
