,Line num,Command,Notes
0,2,\parbf,\ref{ex:gross
1,2,\ref,\ref{ex:gross
2,9,\min,N/A
3,9,\set,N/A
4,9,\in,N/A
5,9,\max,N/A
6,9,\set,N/A
7,9,\in,N/A
8,9,\leqno,N/A
9,11,\tfrac1m,N/A
10,11,\cdot,N/A
11,11,\sum_j,N/A
12,11,\tfrac1,N/A
13,11,\cdot,N/A
14,11,\cdot,N/A
15,11,\sum_,N/A
16,11,\tfrac1n,N/A
17,11,\cdot,N/A
18,11,\sum_i,N/A
19,14,\parit,Remarks.
20,16,\index,N/A
21,16,\emph,N/A
22,17,\cite,gross
23,18,\parbf,N/A
24,18,\ref,N/A
25,18,\ref,N/A
26,24,\ref,totally-bounded
27,33,\ref,ex:compact-net
28,34,\parit,Remark.
29,35,\ref,N/A
30,35,\ref,N/A
31,35,\ref,N/A
32,36,\parbf,\ref{ex:geodesics-urysohn
33,36,\ref,\ref{ex:geodesics-urysohn
34,38,\ref,prop:sep-in-urys
35,39,\parbf,\ref{ex:compact-extension
36,39,\ref,\ref{ex:compact-extension
37,41,itemize,Environment
38,42,\item,N/A
39,58,\parbf,\ref{ex:sc-urysohn
40,58,\ref,\ref{ex:sc-urysohn
41,60,\ref,ex:compact-length
42,61,\ref,thm:compact-homogeneous
43,63,\parit,A better way.
44,65,\ref,prop:univeral-separable
45,75,\parit,N/A
46,75,\cite,N/A
47,76,\parbf,\ref{ex:sphere-in-urysohn
48,76,\ref,\ref{ex:sphere-in-urysohn
49,77,\ref,thm:urysohn-unique
