,Line num,Command,Notes
0,1,\chapter,Universal spaces
1,2,\cite,gromov-2007
2,3,\section,Embedding in a normed space
3,4,\index,N/A
4,4,\emph,N/A
5,5,itemize,Environment
6,6,\item,N/A
7,7,\item,N/A
8,8,\item,N/A
9,10,\index,N/A
10,10,\emph,N/A
11,16,\index,N/A
12,16,\emph,N/A
13,18,thm,Environment
14,19,\index,N/A
15,19,\emph,N/A
16,19,\index,N/A
17,19,\emph,N/A
18,25,\parit,Proof.
19,27,\index,N/A
20,27,\emph,N/A
21,34,\ref,N/A
22,34,\ref,N/A
23,35,\qeds,N/A
24,37,thm,Environment
25,43,thm,Environment
26,46,thm,Environment
27,52,\emph,N/A
28,53,\section,Extension property
29,55,\index,N/A
30,55,\emph,N/A
31,56,\emph,N/A
32,57,\index,N/A
33,57,\emph,N/A
34,63,\index,N/A
35,63,\emph,N/A
36,63,\label,N/A
37,63,\emph,N/A
38,64,thm,Environment
39,66,\index,N/A
40,66,\emph,N/A
41,68,\emph,N/A
42,69,\index,N/A
43,69,\emph,N/A
44,69,\emph,N/A
45,71,thm,Environment
46,74,\parit,Proof.
47,91,\ref,def:finite+1
48,95,\qeds,N/A
49,96,thm,Environment
50,99,\parit,Proof.
51,104,\emph,N/A
52,114,\ref,eq:|pn-pn|
53,115,\ref,N/A
54,115,\ref,N/A
55,116,\qeds,N/A
56,117,\ref,N/A
57,117,\ref,N/A
58,118,thm,Environment
59,121,\section,Universality
60,122,\emph,universal
61,123,\ref,ex:frechet
62,126,\emph,better
63,127,\ref,thm:compact-homogeneous
64,128,thm,Environment
65,136,\parit,Proof.
66,147,\qeds,N/A
67,148,thm,Environment
68,151,thm,Environment
69,152,\ref,N/A
70,152,\ref,N/A
71,154,thm,Environment
72,159,thm,Environment
73,162,\section,Uniqueness and homogeneity
74,163,thm,Environment
75,168,\ref,prop:sep-in-urys
76,170,\ref,N/A
77,170,\emph,N/A
78,171,\parit,Proof.
79,177,\ref,prop:sep-in-urys
80,178,align,Environment
81,179,\dist,N/A
82,179,\spc,N/A
83,179,\dist,N/A
84,179,\spc,N/A
85,180,\dist,N/A
86,180,\spc,N/A
87,180,\dist,N/A
88,180,\spc,N/A
89,181,\dist,N/A
90,181,\spc,N/A
91,181,\dist,N/A
92,181,\spc,N/A
93,186,\qeds,N/A
94,187,\ref,N/A
95,187,\index,N/A
96,187,\emph,N/A
97,188,itemize,Environment
98,189,\item,N/A
99,191,thm,Environment
100,192,\emph,N/A
101,194,\cite,N/A
102,194,\cite,N/A
103,197,thm,Environment
104,205,thm,Environment
105,209,\ref,N/A
106,209,\ref,N/A
107,210,\ref,ex:compact-extension
108,211,thm,Environment
109,212,subthm,Environment
110,215,subthm,Environment
111,218,subthm,Environment
112,221,subthm,Environment
113,227,\section,Remarks
114,228,\ref,N/A
115,228,\cite,N/A
116,229,\ref,N/A
117,229,\cite,N/A
118,231,\cite,urysohn
119,232,\emph,N/A
120,233,\emph,N/A
121,233,\H,N/A
122,233,\emph,N/A
123,233,\cite,N/A
