,Line num,Command,Notes
0,1,\documentclass,iopart
1,2,\newcommand,\gguide -> {\it Preparing graphics for IOP Publishing journals}
2,3,\usepackage,cite
3,4,\usepackage,tikz
4,5,\expandafter,N/A
5,5,\let,N/A
6,5,\csname,N/A
7,5,\endcsname,N/A
8,5,\relax,N/A
9,6,\expandafter,N/A
10,6,\let,N/A
11,6,\csname,N/A
12,6,\endcsname,N/A
13,6,\relax,N/A
14,7,\usepackage,amsmath
15,8,\usepackage,amssymb
16,9,\usepackage,mathrsfs
17,10,\usepackage,eucal
18,11,\usepackage,tensor
19,12,\usepackage,amsthm
20,13,\usepackage,bm
21,14,\newcommand,\defeq -> \mathrel{\mathop:}=
22,15,\newcommand,\eqdef -> \mathrel{=\mathop:}
23,16,\newcommand,\dd -> \partial
24,17,\newcommand,\nab -> \nabla_{\! #1}
25,18,\DeclareBoldMathCommand,N/A
26,18,\bnab,N/A
27,18,\nabla,N/A
28,19,\newcommand,\lap -> \Delta
29,20,\newcommand,\vlap -> \bm{\Delta}
30,21,\newcommand,\ddiv -> \bnab\!\cdot #1
31,22,\newcommand,\rot -> \bnab\!\times #1
32,23,\newcommand,\vol -> \df V
33,24,\newcommand,\veps -> \varepsilon
34,25,\newcommand,\ke -> \frac{1 -> 4\pi\epsilon_0}
35,26,\newcommand,\km -> \frac{\mu_0 -> 4\pi}
36,27,\newcommand,\df -> \mathrm{d}
37,28,\newcommand,\w -> \wedge
38,29,\newcommand,\Lie -> \pounds
39,30,\newcommand,\heq -> \buildrel #1 \over =
40,31,\newcommand,"\qqd -> \ , \quad"
41,32,bc,Environment
42,34,be,Environment
43,37,\newcommand,\mx -> \bm{\mathsf{#1}}
44,38,\newcommand,\trans -> ^{\mathsf{T}}
45,39,\newcommand,\vct -> \mathbf{#1}
46,40,\newcommand,\uu -> \mathbf{\hat{#1}}
47,41,\newcommand,\0 -> \vct{0}
48,42,\newcommand,\B -> \vct{B}
49,43,\newcommand,\E -> \vct{E}
50,44,\newcommand,\F -> \vct{F}
51,45,\newcommand,\vv -> \vct{v}
52,46,\newcommand,\vu -> \vct{u}
53,47,\newcommand,\vr -> \vct{r}
54,48,\newcommand,\ur -> \uu{r}
55,49,\newcommand,\uphi -> \mathbf{\hat{\bm{\varphi}}}
56,50,\newcommand,\utheta -> \mathbf{\hat{\bm{\theta}}}
57,51,\newcommand,\bell -> \bm{\ell}
58,52,\newcommand,\ull -> \mathbf{\hat{\bm{\ell}}}
59,53,\newcommand,\lb -> \left<
60,54,\newcommand,\rb -> \right>
61,55,\usepackage,dsfont
62,56,\newcommand,\nn -> \mathds{N}
63,57,\newcommand,\zz -> \mathds{Z}
64,58,\newcommand,\rr -> \mathds{R}
65,59,\newcommand,\cl -> \overline{#1}
66,60,\usepackage,hyperref
67,61,\usepackage,xcolor
68,62,\definecolor,N/A
69,63,\definecolor,N/A
70,64,\definecolor,N/A
71,65,\definecolor,N/A
72,66,\hypersetup,N/A
73,67,\theoremstyle,N/A
74,67,\newtheorem,N/A
75,68,\theoremstyle,N/A
76,68,\newtheorem,N/A
77,69,\theoremstyle,N/A
78,69,\newtheorem,N/A
79,70,btm,Environment
80,72,blm,Environment
81,74,bdefn,Environment
82,76,document,Environment
83,77,flushright,Environment
84,80,\title,Capacitance matrix revisited
85,81,\author,Ivica Smoli\'c and Bruno Klajn
86,82,\address,"Department of Physics, Faculty of Science, University of Zagreb, Bijeni\v cka cesta 32, 10000 Zagreb, Croatia"
87,82,\v,"Department of Physics, Faculty of Science, University of Zagreb, Bijeni\v cka cesta 32, 10000 Zagreb, Croatia"
88,83,\eads,N/A
89,83,\mailto,N/A
90,83,\mailto,N/A
91,84,\vspace,10pt
92,85,indented,Environment
93,86,\item,N/A
94,86,\today,N/A
95,88,abstract,Environment
96,91,\noindent,\it Keywords
97,91,\it,\it Keywords
98,92,\section,Introduction
99,94,\emph,N/A
100,94,\emph,N/A
101,95,\emph,N/A
102,95,\cite,N/A
103,95,\footnote,N/A
104,95,\cite,N/A
105,95,\cite,N/A
106,95,\cite,N/A
107,95,\cite,N/A
108,95,\cite,N/A
109,95,\cite,N/A
110,95,\cite,N/A
111,97,\medskip,N/A
112,98,\emph,N/A
113,98,\rr,N/A
114,98,\ge,N/A
115,98,\circ,N/A
116,98,\dd,N/A
117,98,\cl,N/A
118,98,\mx,N/A
119,98,\in,N/A
120,98,\rr,N/A
121,99,\emph,N/A
122,99,\in,N/A
123,99,\dd,N/A
124,99,\subseteq,N/A
125,99,\rr,N/A
126,99,\cite,N/A
127,99,\cite,N/A
128,99,\Gamma_x,N/A
129,99,\cl,N/A
130,99,\cap,N/A
131,99,\Gamma_x,N/A
132,99,\subseteq,N/A
133,99,\rr,N/A
134,100,equation,Environment
135,101,\big,N/A
136,101,\in,N/A
137,101,\rr,N/A
138,101,\mid,N/A
139,101,\sqrt,N/A
140,101,\big,N/A
141,101,\quad,N/A
