,Line num,Command,Notes
0,1,\documentclass,amsart
1,2,\usepackage,geometry
2,3,\usepackage,"amsmath, amsthm, amssymb, mathrsfs"
3,4,\usepackage,xy
4,5,\usepackage,appendix
5,6,\usepackage,color
6,7,\usepackage,slashed
7,8,\usepackage,xfrac
8,9,\usepackage,caption
9,10,\usepackage,subcaption
10,11,\usepackage,eucal
11,12,\usepackage,verbatim
12,13,\usepackage,biblatex
13,14,\renewbibmacro,N/A
14,15,\usepackage,enumerate
15,16,\usepackage,multirow
16,17,\usepackage,array
17,18,\usepackage,tikz
18,19,\usetikzlibrary,"decorations.pathmorphing,decorations.markings"
19,20,\usepackage,hyperref
20,21,\usepackage,epstopdf
21,22,\DeclareGraphicsRule,N/A
22,23,\theoremstyle,N/A
23,23,\newtheorem,N/A
24,24,\newtheorem,N/A
25,25,\newtheorem,N/A
26,26,\newtheorem,N/A
27,27,\newtheorem,N/A
28,28,\newtheorem,N/A
29,29,\newtheorem,N/A
30,30,\newtheorem,N/A
31,31,\newtheorem,N/A
32,32,\newtheorem,N/A
33,33,\newtheorem,N/A
34,34,\newtheorem,N/A
35,35,\newtheorem,N/A
36,36,\newtheorem,N/A
37,37,\newtheorem,N/A
38,38,\newtheorem,N/A
39,39,\newtheorem,N/A
40,40,\newtheorem,N/A
41,41,\newtheorem,N/A
42,42,\newtheorem,N/A
43,43,\theoremstyle,definition
44,44,\newtheorem,N/A
45,45,\newtheorem,N/A
46,46,\theoremstyle,remark
47,47,\newtheorem,N/A
48,48,\newtheorem,N/A
49,49,\theoremstyle,N/A
50,49,\newtheorem,N/A
51,50,\theoremstyle,N/A
52,50,\newtheorem,N/A
53,51,\theoremstyle,N/A
54,51,\newtheorem,N/A
55,52,\theoremstyle,N/A
56,52,\newtheorem,N/A
57,53,\theoremstyle,N/A
58,53,\newtheorem,N/A
59,54,\theoremstyle,N/A
60,54,\newtheorem,N/A
61,55,\def,N/A
62,55,\clie,N/A
63,55,\rm,N/A
64,55,\rm,N/A
65,56,\def,N/A
66,56,\clieu,N/A
67,56,\rm,N/A
68,56,\rm,N/A
69,57,\def,Nested
70,57,\Def,Nested
71,57,\rm,Nested
72,58,\def,N/A
73,58,\cloc,N/A
74,58,\rm,N/A
75,58,\rm,N/A
76,59,\def,N/A
77,59,\oloc,N/A
