,Line num,Command,Notes
0,1,\documentclass,article
1,2,\addtolength,N/A
2,2,\oddsidemargin,N/A
3,3,\addtolength,N/A
4,3,\evensidemargin,N/A
5,4,\addtolength,N/A
6,4,\textwidth,N/A
7,5,\addtolength,N/A
8,5,\topmargin,N/A
9,6,\addtolength,N/A
10,6,\textheight,N/A
11,7,\title,A Bijection Between Two Different Classes of Partitions Enumerated by  
12,8,\author,A.S. Andersen
13,9,\usepackage,inputenc
14,10,\usepackage,biblatex
15,11,\usepackage,youngtab
16,12,\usepackage,amsmath
17,13,\usepackage,amsfonts
18,14,\usepackage,amssymb
19,15,\addbibresource,bib.bib
20,16,\newtheorem,N/A
21,17,document,Environment
22,18,\maketitle,N/A
23,19,\centerline,\bf Abstract
24,19,\bf,\bf Abstract
25,21,\section,Introduction and Notation
26,22,\cite,4
27,23,equation,Environment
28,24,\nu,N/A
29,24,\sum,N/A
30,24,\limits_,N/A
31,24,\infty,N/A
32,24,\frac,N/A
33,27,equation,Environment
34,28,\prod,N/A
35,28,\limits_,N/A
36,30,\cite,N/A
37,30,\cite,N/A
38,30,\cite,N/A
39,31,\cite,2
40,32,theorem,Environment
41,37,\cite,2
42,38,\section,A Bijection Between   and  
43,43,\newline,N/A
44,44,\linebreak,N/A
45,45,\linebreak,N/A
46,49,\section,Further Remarks
47,51,\section,Acknowledgements
48,53,thebibliography,Environment
49,54,\bibitem,N/A
50,54,\textit,N/A
51,54,\textbf,N/A
52,55,\bibitem,N/A
53,55,\textit,N/A
54,55,\textbf,N/A
55,56,\bibitem,cite_key3
56,58,\bibitem,N/A
57,58,\textit,N/A
58,58,\textbf,N/A
