,Line num,Command,Notes
0,1,\documentclass,article
1,2,\usepackage,"latexsym,amsmath,amssymb,epic"
2,3,\usepackage,"latexsym,amssymb,epic"
3,4,\usepackage,"amsmath,amsthm"
4,5,\usepackage,color
5,6,\usepackage,"latexsym,amssymb,epic"
6,7,\usepackage,"amsmath,amsthm"
7,8,\usepackage,color
8,9,\usepackage,hyperref
9,10,\hypersetup,N/A
10,13,\newcommand,"\sen -> \,{\rm sen}\,"
11,14,\newtheorem,N/A
12,15,\newtheorem,N/A
13,16,\newtheorem,N/A
14,17,\newtheorem,N/A
15,18,\newtheorem,N/A
16,19,\newtheorem,N/A
17,20,\newtheorem,N/A
18,21,\newtheorem,N/A
19,23,document,Environment
20,24,\title,Congruences for the coefficients of the Gordon and McIntosh mock theta function  
21,25,\author,Robson da Silva and James A. Sellers
22,26,\date,
23,27,\maketitle,N/A
24,28,abstract,Environment
25,31,\xi,N/A
26,31,\sum_,N/A
27,31,\infty,N/A
28,31,\frac,N/A
29,35,\noindent,Nested
30,35,\bf,Nested
31,36,\noindent,Nested
32,36,\bf,Nested
33,37,\section,Introduction
34,38,\cite,G-M
35,39,equation,Environment
36,40,\xi,N/A
37,40,\sum_,N/A
38,40,\infty,N/A
39,40,\frac,N/A
40,41,\label,xi
41,44,align,Environment
42,45,\cdots,N/A
43,45,\forall,N/A
44,45,\geq,N/A
45,45,\infty,N/A
46,45,\lim_,N/A
47,45,\to,N/A
48,45,\infty,N/A
49,47,\cite,Nested
50,47,\cite,BSS
51,47,\cite,G-M-0
52,47,\cite,APSY
53,47,\cite,Nested
54,47,\cite,BSS
55,47,\cite,G-M-0
56,47,\cite,APSY
57,47,\cite,Nested
58,47,\cite,BSS
59,47,\cite,G-M-0
60,47,\cite,APSY
61,47,\cite,Nested
62,47,\cite,BSS
63,47,\cite,G-M-0
64,47,\cite,APSY
65,47,\cite,Nested
66,47,\cite,BSS
67,47,\cite,G-M-0
68,47,\cite,APSY
69,48,\nu,N/A
70,48,\sum_,N/A
71,48,\infty,N/A
72,48,\frac,N/A
73,49,\cite,Wang
74,51,equation,Environment
75,52,\sum_,N/A
76,52,\infty,N/A
77,52,\xi,N/A
78,52,\xi,N/A
79,53,\label,Eq4
80,55,\eqref,Nested
81,55,\ref,Main
82,55,\ref,Nested
83,55,\ref,Main
84,55,\ref,Nested
85,55,\ref,Main
86,56,\section,Preliminaries
87,57,\label,sec:preliminaries
88,58,\cite,McIntosh
89,59,align,Environment
90,60,\textrm,Nested
91,61,\label,N/A
92,61,\xi,N/A
93,61,\frac,N/A
94,61,\infty,N/A
95,61,\infty,N/A
96,61,\infty,N/A
97,61,\label,N/A
98,64,\sum_,N/A
99,64,\infty,N/A
100,64,\frac,N/A
101,66,\sum_,N/A
102,66,\infty,N/A
103,66,\frac,N/A
104,67,\eqref,N/A
105,67,\eqref,N/A
106,67,\eqref,N/A
107,68,equation,Environment
108,69,\xi,N/A
109,69,\frac,N/A
110,69,\infty,N/A
111,69,\infty,N/A
112,69,\infty,N/A
113,70,\label,Eq3
114,73,\infty,Nested
115,74,\eqref,N/A
116,74,\eqref,N/A
117,75,equation,Environment
118,76,\sum_,N/A
119,76,\infty,N/A
120,76,\xi,N/A
121,76,\frac,N/A
122,77,\label,Eq5
123,80,align,Environment
124,81,\sum_,N/A
125,81,\infty,N/A
126,81,\infty,N/A
127,81,\frac,N/A
128,81,\frac,N/A
129,81,\mbox,N/A
130,81,\nonumber,N/A
131,81,\sum_,N/A
132,81,\infty,N/A
133,81,\infty,N/A
134,81,\frac,N/A
135,81,\textrm,N/A
136,81,\label,N/A
137,81,\sum_,N/A
138,81,\infty,N/A
139,81,\frac,N/A
140,81,\label,N/A
141,83,\cite,Berndt
142,84,equation,Environment
143,86,\cite,Berndt1
144,87,equation,Environment
145,88,\sum_,N/A
146,88,\infty,N/A
147,89,\label,Jacobi
148,92,lemma,Environment
149,93,eqnarray,Environment
150,94,\frac,N/A
151,94,\frac,N/A
152,94,\frac,N/A
153,94,\label,N/A
154,94,\frac,N/A
155,94,\frac,N/A
156,94,\label,N/A
157,94,\frac,N/A
158,94,\frac,N/A
159,94,\frac,N/A
160,94,\label,N/A
161,94,\displaystyle,N/A
162,94,\frac,N/A
163,94,\displaystyle,N/A
164,94,\frac,N/A
165,94,\displaystyle,N/A
166,94,\frac,N/A
167,94,\label,N/A
168,94,\displaystyle,N/A
169,94,\frac,N/A
170,94,\displaystyle,N/A
171,94,\frac,N/A
172,94,\displaystyle,N/A
173,94,\frac,N/A
174,94,\label,N/A
175,94,\displaystyle,N/A
176,94,\frac,N/A
177,94,\displaystyle,N/A
178,94,\frac,N/A
179,94,\displaystyle,N/A
180,94,\frac,N/A
181,94,\label,N/A
182,94,\displaystyle,N/A
183,94,\frac,N/A
184,94,\displaystyle,N/A
185,94,\frac,N/A
186,94,\displaystyle,N/A
187,94,\frac,N/A
188,94,\label,N/A
189,94,\displaystyle,N/A
190,94,\frac,N/A
191,94,\displaystyle,N/A
192,94,\frac,N/A
193,94,\displaystyle,N/A
194,94,\frac,N/A
195,94,\label,N/A
196,97,proof,Environment
197,98,\cite,Berndt
198,99,align,Environment
199,101,\label,phi-2-dissec
200,102,\label,phi^2-2-dissec
201,104,\eqref,N/A
202,104,\eqref,N/A
203,104,\eqref,N/A
204,105,equation,Environment
205,106,\frac,N/A
206,106,\frac,N/A
207,106,\frac,N/A
208,108,\eqref,Nested
209,108,\eqref,Eq31
210,108,\eqref,Eq17
211,108,\eqref,Nested
212,108,\eqref,Eq31
213,108,\eqref,Eq17
214,108,\eqref,Nested
215,108,\eqref,Eq31
216,108,\eqref,Eq17
217,108,\cite,Nested
218,108,\eqref,Eq31
219,108,\eqref,Eq17
220,109,\eqref,N/A
221,109,\eqref,N/A
222,109,\eqref,N/A
223,110,equation,Environment
224,111,\frac,N/A
225,111,\frac,N/A
226,111,\frac,N/A
227,113,\eqref,Eq29
228,114,\eqref,Nested
229,114,\eqref,Eq9
230,114,\eqref,Eq38
231,114,\cite,H
232,114,\eqref,Eq45
233,114,\eqref,Eq11
234,114,\eqref,Nested
