,Line num,Command
0,1,\documentclass
1,3,\usepackage
2,4,\usepackage
3,5,\usepackage
4,14,\numberwithin
5,16,\renewcommand
6,16,\thefootnote
7,16,\fnsymbol
8,18,\sloppy
9,21,\newtheorem
10,22,\newtheorem
11,23,\newtheorem
12,24,\newtheorem
13,25,\newtheorem
14,27,\theoremstyle
15,28,\newtheorem
16,29,\newtheorem
17,30,\newtheorem
18,31,\newtheorem
19,33,\theoremstyle
20,34,\newtheorem
21,35,\newtheorem
22,39,\renewcommand
23,39,\hom
24,39,\operatorname
25,40,\renewcommand
26,40,\ker
27,40,\operatorname
28,42,\newcommand
29,42,\N
30,42,\mathbb
31,43,\newcommand
32,43,\Z
33,43,\mathbb
34,44,\newcommand
35,44,\Q
36,44,\mathbb
37,45,\newcommand
38,45,\R
39,45,\mathbb
40,46,\newcommand
41,46,\C
42,46,\mathbb
43,47,\newcommand
44,47,\HH
45,47,\mathbb
46,48,\newcommand
47,48,\proj
48,48,\mathbb
49,49,\newcommand
50,49,\QZ
51,49,\mathbb
52,49,\mathbb
53,50,\newcommand
54,50,\e
55,50,\mathbf
56,51,\newcommand
57,51,\emu
58,51,\mathbf
59,52,\newcommand
60,52,\elambda
61,52,\mathbf
62,54,\newcommand
63,54,\SL
64,54,\rm
65,54,\mathbb
66,55,\newcommand
67,55,\Mp
68,55,\rm
69,55,\mathbb
70,56,\newcommand
71,56,\pullL
72,56,\uparrow_
73,57,\newcommand
74,57,\pushL
75,57,\downarrow_
76,58,\newcommand
77,58,\pushLK
78,58,\downarrow
79,59,\newcommand
80,59,\ThetaK
81,59,\Theta_
82,60,\newcommand
83,60,\ML
84,61,\newcommand
85,61,\MLZ
86,61,\mathbb
87,62,\newcommand
88,62,\MLR
89,63,\newcommand
90,63,\fTheta
91,63,\langle
92,63,\downarrow
93,63,\Theta_
94,63,\rangle
95,64,\newcommand
96,64,\foneTheta
97,64,\langle
98,64,\downarrow
99,64,\Theta_
100,64,\rangle
101,65,\newcommand
102,65,\ftwoTheta
103,65,\langle
104,65,\downarrow
105,65,\Theta_
106,65,\rangle
107,67,\DeclareMathOperator
108,67,\Ad
109,68,\DeclareMathOperator
110,68,\aut
111,69,\DeclareMathOperator
112,69,\coker
113,70,\DeclareMathOperator
114,70,\im
115,71,\DeclareMathOperator
116,71,\out
117,72,\DeclareMathOperator
118,72,\sgn
119,73,\DeclareMathOperator
120,73,\tr
121,74,\DeclareMathOperator
122,74,\vol
123,77,document
124,80,\title
125,81,\author
126,82,\thanks
127,83,\address
128,84,\email
129,85,\subjclass
130,86,\keywords
131,88,\maketitle
132,90,abstract
133,110,\section
134,118,\leq
135,119,\rho_
136,120,\cite
137,120,\cite
138,121,\rho_
139,128,\rho_
140,130,\ML
141,131,\C
142,132,\ML
143,135,\ML
144,135,\C
145,145,\perp
146,146,\pushLK
147,146,\rho_
148,146,\rho_
149,146,\S
150,146,\ref
151,147,\ThetaK
152,147,\tau
153,147,\rho_
154,148,\S
155,148,\ref
156,148,\in
157,148,\ML
158,149,equation
159,150,\ast_
160,150,\langle
161,150,\pushLK
162,150,\ThetaK
163,150,\rangle
164,150,\cdot
165,152,\ast_
166,152,\ML
167,154,\rho_
168,155,\ThetaK
169,157,\textit
170,160,theorem
171,161,\ast_
172,161,\ML
173,161,\C
174,163,\ML
175,163,\simeq
176,163,\oplus
177,163,\cdots
178,163,\oplus
179,164,\ML
180,166,\Q
181,166,\subset
182,166,\Q
183,168,equation
184,170,\C
185,171,\cap
186,172,\in
187,172,\in
188,172,\ML
189,173,\eqref
190,177,\ML
191,180,\colon
192,180,\ML
193,180,\to
194,181,\cite
195,181,\cite
196,181,\cite
197,183,\ML
198,183,\to
199,183,\subset
200,184,\ML
201,185,\ref
202,186,\ref
203,187,\ref
204,188,\ref
205,189,\ref
206,190,\ref
207,193,\ML
208,200,\ThetaK
209,200,\theta_
210,201,\ast_
211,201,\cdot
212,201,\theta_
213,201,\cdot
214,201,\ref
215,202,\oplus
216,202,\cdots
217,202,\oplus
218,203,\oplus
219,204,\phi_
220,204,\tau
221,204,\phi_
222,204,\tau
223,205,\cite
224,206,\ast_
225,207,\phi_
226,207,\tau
227,207,\cdot
228,207,\phi_
229,207,\tau
230,207,\ref
231,208,\ast_
232,213,\ML
233,214,\ref
234,217,\ML
235,219,\ref
236,221,\ref
237,221,\ref
238,223,\cite
239,229,\ML
240,230,\S
241,230,\ref
242,232,\ML
243,232,\ref
244,233,\oplus
245,233,\langle
246,233,\rangle
247,234,\ML
248,234,\ref
249,235,\ML
250,236,\ML
251,240,\ML
252,244,\S
253,244,\ref
254,245,itemize
255,246,\item
256,246,\R
257,246,\subset
258,246,\ML
259,246,\ast_
260,247,\item
261,248,\ast_
262,265,\S
263,265,\ref
264,266,\S
265,266,\ref
266,267,\S
267,267,\ref
268,267,\ML
269,268,\S
270,268,\ref
271,269,\S
272,269,\ref
273,269,\S
274,269,\ref
275,271,\vspace
276,273,\textbf
277,274,\textit
278,278,\section
279,278,\label
280,282,\cite
281,282,\cite
282,285,\subsection
283,285,\label
284,289,\cdot
285,289,\cdot
286,289,\colon
287,289,\times
288,289,\to
289,289,\Z
290,290,\in
291,290,\Z
292,290,\in
293,292,\vee
294,293,\vee
295,293,\textit
296,294,\QZ
297,295,\colon
298,295,\to
299,295,\QZ
300,295,\Z
301,296,\textit
302,298,\colon
303,298,\to
304,298,\QZ
305,298,\textit
306,301,\in
307,301,\Z
308,302,\C
309,303,\C
310,303,\in
311,304,\elambda
312,306,\Mp
313,306,\SL
314,307,\Mp
315,309,\tau
316,309,\tau
317,310,\Mp
318,315,\Mp
319,318,\textit
320,318,\rho_A
321,318,\Mp
322,319,\C
323,320,eqnarray
324,321,\rho_A
325,321,\elambda
326,321,\elambda
327,322,\rho_A
328,322,\elambda
329,323,\frac
330,323,\sqrt
331,323,\sum_
332,323,\in
333,323,\emu
334,325,\rm
335,325,\in
336,325,\Q
337,325,\Z
338,327,equation
339,328,\rho_A
340,328,\elambda
341,328,\mathbf
342,330,\rho_A
343,330,\rho_L
344,335,\rho_
345,335,\rho_A
346,335,\vee
347,335,\rho_A
348,336,\C
349,337,\mathbf
350,337,\vee
351,338,\mathbf
352,338,\C
353,340,\rho_
354,340,\rho_
355,340,\vee
356,342,\subset
357,343,\perp
358,344,\perp
359,344,\to
360,346,equation
361,347,\uparrow_
362,347,\C
363,347,\to
364,347,\C
365,347,\qquad
366,348,\downarrow_
367,348,\C
368,348,\to
369,348,\C
370,350,\textit
371,350,\textit
372,351,equation
373,352,cases
374,353,\mathbf
375,353,\in
376,353,\perp
377,354,\not
378,354,\in
379,354,\perp
380,357,\in
381,357,\in
382,359,\uparrow_
383,359,\downarrow_
384,360,\cite
385,360,\cite
386,360,\cite
387,362,\downarrow
388,362,\circ
389,362,\uparrow
390,365,\uparrow_
391,365,\downarrow_
392,366,\C
393,366,\C
394,369,\subset
395,369,\subset
396,369,\vee
397,372,\uparrow_
398,372,\uparrow_
399,373,\downarrow_
400,373,\downarrow_
401,377,\subsection
402,377,\label
403,380,\in
404,380,\frac
405,380,\Z
406,380,\equiv
407,380,\Z
408,381,\leq
409,382,\C
410,383,\textit
411,384,\rho_A
412,385,\tau
413,385,\tau
414,385,\rho_A
415,385,\tau
416,386,\in
417,386,\Mp
418,389,equation
419,390,\tau
420,390,\sum_
421,390,\in
422,390,\sum_
423,390,\in
424,390,\Z
425,390,\elambda
426,393,\exp
427,393,\tau
