,Line num,Command,Notes
0,1,\documentclass,amsart
1,2,\usepackage,fullpage
2,3,\usepackage,times
3,4,\usepackage,"amsmath,amssymb,amsthm,url"
4,5,\usepackage,inputenc
5,6,\usepackage,babel
6,7,\usepackage,bm
7,8,\usepackage,graphicx
8,9,\newtheorem,N/A
9,10,\newtheorem,N/A
10,11,\newtheorem,N/A
11,12,\newtheorem,N/A
12,13,\theoremstyle,definition
13,14,\newtheorem,N/A
14,15,\newtheorem,N/A
15,16,\newtheorem,N/A
16,17,\newcommand,\B -> {\mathcal B}
17,18,\newcommand,\C -> {\mathbb C}
18,19,\newcommand,\N -> {\mathbb N}
19,20,\renewcommand,N/A
20,20,\P,N/A
21,20,\mathcal,N/A
22,21,\newcommand,\Q -> {\mathbb Q}
23,22,\newcommand,\R -> {\mathbb R}
24,23,\newcommand,\T -> {\mathcal T}
25,24,\newcommand,\Z -> {\mathbb Z}
26,25,\newcommand,\ds -> \oplus
27,26,\newcommand,\lcm -> \mathop{\rm lcm}
28,27,\newcommand,\ord -> \mathop{\rm ord}
29,28,\newcommand,\ba -> {\bm a}
30,29,\newcommand,\bb -> {\bm b}
31,30,\newcommand,\balpha -> {\bm\alpha}
32,31,\newcommand,\bbeta -> {\bm\beta}
33,32,\renewcommand,N/A
34,32,\mod,N/A
35,32,\ifmmode,N/A
36,32,\text,N/A
37,32,\rm,N/A
38,32,\else,N/A
39,32,\discretionary,N/A
40,32,\hbox,N/A
41,32,\rm,N/A
42,32,\fi,N/A
43,33,\newcommand,\ep -> \varepsilon
44,34,\newsymbol,N/A
45,34,\dnd,N/A
46,35,\newcommand,\li -> \mathop{\rm li}
47,36,\setcounter,N/A
48,37,document,Environment
49,38,\title,Counting multiplicative groups with prescribed subgroups
50,39,\author,Jenna Downey
51,40,\address,Nested
52,41,\email,jdowney@okanagan.bc.ca
53,42,\author,Greg Martin
54,43,\address,Nested
55,44,\email,gerg@math.ubc.ca
56,45,\subjclass,"11N25, 11N37, 11N45, 11N64, 20K01"
57,46,\maketitle,N/A
58,47,abstract,Environment
59,53,\renewcommand,N/A
60,53,\labelenumi,N/A
61,53,\alph,N/A
62,54,\section,Introduction
63,55,\cite,Nested
64,55,\cite,Nested
65,56,\ref,Nested
66,56,\cite,CM
67,56,\H,Nested
68,56,\cite,CM
69,56,\cite,Nested
70,56,\cite,CM
71,56,\cite,Nested
72,56,\cite,CM
73,56,\H,Nested
74,56,\cite,CM
75,57,\cite,MartinTroupe
76,58,definition,Environment
77,61,definition,Environment
78,66,definition,Environment
79,69,\ref,DHx section
80,70,theorem,Environment
