,Line num,Command,Notes
0,1,\documentclass,amsart
1,2,\usepackage,amsmath
2,3,\usepackage,amsthm
3,4,\usepackage,amssymb
4,5,\usepackage,graphicx
5,6,\usepackage,amsfonts
6,7,\usepackage,"latexsym, wasysym"
7,8,\usepackage,"hyperref,subcaption"
8,9,\graphicspath,{IMAGES/
9,10,\usepackage,enumitem
10,11,\setlist,leftmargin=*
11,12,\setlist,leftmargin=*
12,13,\renewcommand,N/A
13,13,\labelenumi,N/A
14,13,\alph,N/A
15,14,\usepackage,caption
16,15,\usepackage,subcaption
17,16,\usepackage,xcolor
18,17,\usepackage,cite
19,18,\usepackage,multicol
20,19,\theoremstyle,plain
21,20,\newtheorem,N/A
22,21,\newtheorem,N/A
23,22,\newtheorem,N/A
24,23,\newtheorem,N/A
25,24,\theoremstyle,definition
26,25,\newtheorem,N/A
27,26,\newtheorem,N/A
28,27,\newtheorem,N/A
29,28,\newcommand,\comment -> \marginpar{\color{blue}$\bullet$ \scriptsize #1}
30,29,\newcommand,\highlight -> {\color{blue} #1}
31,30,\newcommand,\red -> {\color{red} #1}
32,31,\newcommand,\purple -> {\color{blue} #1}
33,32,\newcommand,\Q -> \mathbb{Q}
34,33,\newcommand,\R -> \mathbb{R}
35,34,\newcommand,\N -> \mathbb{N}
36,35,\newcommand,\F -> \mathbb{F}
37,36,\newcommand,\K -> \mathbb{K}
38,37,\newcommand,\Z -> \mathbb{Z}
39,38,\newcommand,\C -> \mathbb{C}
40,39,\newcommand,\PP -> \mathfrak{p}
41,40,\renewcommand,N/A
42,40,\O,N/A
43,40,\mathcal,N/A
44,41,\newcommand,\T -> \mathsf{T}
45,42,\newcommand,\E -> \mathcal{E}
46,43,\newcommand,\I -> \mathcal{I}
47,44,\newcommand,\li -> \operatorname{li}
48,45,\newcommand,\Li -> \operatorname{Li}
49,46,\newcommand,\Ei -> \operatorname{Ei}
50,47,\renewcommand,N/A
51,47,\Re,N/A
52,47,\operatorname,N/A
53,48,\renewcommand,N/A
54,48,\Im,N/A
55,48,\operatorname,N/A
56,49,\renewcommand,N/A
57,49,\pmod,N/A
58,49,\operatorname,N/A
59,50,\let,N/A
60,50,\oldenumerate,N/A
61,50,\enumerate,N/A
62,51,\def,N/A
63,51,\enumerate,N/A
64,51,\oldenumerate,N/A
65,52,\setlength,N/A
66,52,\itemsep,N/A
67,53,\let,N/A
68,53,\olditemize,N/A
69,53,\itemize,N/A
70,54,\def,N/A
71,54,\itemize,N/A
72,54,\olditemize,N/A
73,55,\setlength,N/A
74,55,\itemsep,N/A
75,56,\linespread,1.05
76,57,\allowdisplaybreaks,N/A
77,58,document,Environment
78,59,\title,Explicit Mertens' Theorems for Number Fields and Dedekind Zeta Residue Bounds II: Unconditional Estimates
79,60,\author,Stephan Ramon Garcia
80,61,\address,"Department of Mathematics, Pomona College, 610 N. College Ave., Claremont, CA 91711"
81,62,\email,stephan.garcia@pomona.edu
82,63,\urladdr,\url{http://pages.pomona.edu/~sg064747
83,63,\url,\url{http://pages.pomona.edu/~sg064747
84,64,\author,Ethan Simpson Lee
85,65,\address,"School of Science, UNSW Canberra at the Australian Defence Force Academy, Northcott Drive, Campbell, ACT 2612"
86,66,\email,ethan.s.lee@student.adfa.edu.au
87,67,\urladdr,\url{https://www.unsw.adfa.edu.au/our-people/mr-ethan-lee
88,67,\url,\url{https://www.unsw.adfa.edu.au/our-people/mr-ethan-lee
89,68,\thanks,SRG supported by NSF Grant DMS-1800123.
90,69,\subjclass,"11N32, 11N05, 11N13"
91,70,\keywords,"Number field, discriminant, Mertens' theorem, prime ideal, prime counting function, Chebotar\""ev density theorem, prime ideal, Dedekind zeta function, residue"
92,71,abstract,Environment
93,72,\geq,N/A
94,74,\maketitle,N/A
95,75,\section,Introduction
96,76,\cite,Mertens
97,77,align,Environment
98,78,\sum_,N/A
99,78,\leq,N/A
100,78,\frac,N/A
101,78,\log,N/A
102,78,\log,N/A
103,78,\sum_,N/A
104,78,\leq,N/A
105,78,\frac,N/A
106,78,\log,N/A
107,78,\log,N/A
108,78,\bigg,N/A
109,78,\frac,N/A
110,78,\log,N/A
111,78,\bigg,N/A
112,78,\prod_,N/A
113,78,\leq,N/A
114,78,\bigg,N/A
115,78,\frac,N/A
116,78,\bigg,N/A
117,78,\frac,N/A
118,78,\log,N/A
119,78,\big,N/A
120,78,\big,N/A
121,80,\ldots,N/A
122,80,\ldots,N/A
123,82,\cite,EMT4NF1
124,84,\cite,EMT4NF1
125,85,\K,\K
126,85,\O_,\K
127,85,\K,\K
128,86,\K,N/A
129,86,\K,N/A
130,86,\Delta_,N/A
131,86,\K,N/A
132,86,\K,N/A
133,87,\mathfrak,N/A
134,87,\mathfrak,N/A
135,87,\subset,N/A
136,87,\O_,N/A
137,87,\K,N/A
138,88,\cite,Grenie2019
139,89,\pi_,N/A
140,89,\K,N/A
141,89,\sum_,N/A
142,89,\PP,N/A
143,89,\leq,N/A
144,91,\PP,\K
145,91,\O_,\K
146,91,\K,\K
147,93,\pi_,N/A
148,93,\K,N/A
149,93,\Li,N/A
150,93,\K,N/A
151,93,\geq,N/A
152,94,\K,N/A
153,94,\log,N/A
154,95,\K,N/A
155,95,\Delta_,N/A
156,95,\K,N/A
157,96,\pi_,\K
158,96,\K,\K
159,97,\cite,LagariasOdlyzko
160,99,\cite,N/A
161,99,\cite,N/A
162,101,equation,Environment
163,102,\pi_,N/A
164,102,\K,N/A
165,102,\Li,N/A
166,102,\Li,N/A
167,102,\beta,N/A
168,102,\big,N/A
169,102,\exp,N/A
170,102,\big,N/A
171,102,\K,N/A
172,102,\log,N/A
173,102,\big,N/A
174,102,\big,N/A
175,104,\beta,N/A
176,104,\in,N/A
177,105,\Re,s
178,106,equation,Environment
179,107,\zeta_,N/A
180,107,\K,N/A
181,107,\sum_,N/A
182,107,\mathfrak,N/A
183,107,\subseteq,N/A
184,107,\O_,N/A
185,107,\K,N/A
186,107,\frac,N/A
187,107,\mathfrak,N/A
188,108,\prod_,N/A
189,108,\PP,N/A
190,108,\bigg,N/A
191,108,\frac,N/A
192,108,\PP,N/A
193,108,\bigg,N/A
194,110,\cite,N/A
195,110,\eqref,N/A
196,110,\geq,N/A
197,110,\exp,N/A
198,110,\K,N/A
199,110,\log,N/A
200,110,\Delta_,N/A
201,110,\K,N/A
202,111,\cite,"Murty,ThornerZaman"
203,112,\beta,N/A
204,113,\Li,eqn:PIT
205,113,\beta,eqn:PIT
206,113,\eqref,eqn:PIT
207,115,\cite,Stark
208,116,equation,Environment
209,117,\beta,N/A
210,117,\leq,N/A
211,117,\frac,N/A
212,117,\Delta_,N/A
213,117,\K,N/A
214,117,\K,N/A
215,119,\cite,Heilbronn
216,120,\cite,StarkBS
217,121,\mathbb,N/A
218,121,\K,N/A
219,121,\K_2,N/A
220,121,\K,N/A
221,121,\mathbb,N/A
222,122,\zeta_,N/A
223,122,\mathbb,N/A
224,122,\zeta_,N/A
225,122,\K_2,N/A
