,Line num,Command,Notes
0,2,\documentclass,amsart
1,3,\usepackage,inputenc
2,4,\usepackage,amssymb
3,5,\usepackage,latexsym
4,6,\usepackage,amscd
5,7,\usepackage,longtable
6,8,\usepackage,amsmath
7,9,\usepackage,mathrsfs
8,10,\usepackage,array
9,11,\usepackage,xy
10,12,\usepackage,a4
11,13,\newtheorem,N/A
12,14,\newtheorem,N/A
13,15,\newtheorem,N/A
14,16,\newtheorem,N/A
15,17,\newtheorem,N/A
16,18,\newtheorem,N/A
17,19,\newtheorem,N/A
18,20,\newtheorem,N/A
19,21,\newtheorem,N/A
20,22,\newtheorem,N/A
21,23,\newtheorem,N/A
22,24,\newtheorem,N/A
23,25,\renewcommand,N/A
24,25,\theequation,N/A
25,25,\thesection,N/A
26,25,\arabic,N/A
27,38,\newcommand,\Gal -> {\mathrm{Gal}}
28,39,\newcommand,\Fr -> {\mathrm{Fr}}
29,40,\newcommand,\disc -> {\mathrm{disc }}
30,41,\newcommand,\ord -> \mathrm{ord}
31,42,\newcommand,\Pic -> \mathrm{Pic}
32,43,\newcommand,\Norm -> \mathrm{N}
33,44,\newcommand,\Trace -> {\mathrm{Tr}}
34,45,\newcommand,\M -> \mathrm{M}
35,46,\newcommand,\Aut -> \mathrm{Aut}
36,47,\newcommand,\Jac -> \mathrm{Jac}
37,48,\newcommand,\Br -> \mathrm{Br}
38,49,\newcommand,\sign -> \mathrm{sign}
39,50,\newcommand,\Ind -> {\mathrm{Ind}}
40,51,\newcommand,\PGL -> {\mathrm{PGL}}
41,52,\newcommand,\Frob -> \mathrm{Frob}
42,53,\newcommand,\GL -> {\mathrm{GL}}
43,54,\newcommand,\End -> {\mathrm{End}}
44,55,\newcommand,\Supp -> {\mathrm{Supp}}
45,56,\newcommand,\PSL -> {\mathrm{PSL}}
46,57,\newcommand,\SL -> {\mathrm{SL}}
47,58,\newcommand,\Irr -> {\mathrm{Irr}}
48,59,\newcommand,\Alb -> {\mathrm{Alb}}
49,60,\newcommand,\Img -> {\mathrm{Im}}
50,61,\newcommand,\Z -> {\mathbb Z}
51,62,\newcommand,\A -> {\mathbb A}
52,63,\newcommand,\I -> {\mathbb I}
53,64,\newcommand,\Ha -> {\mathbb H}
54,65,\newcommand,\Q -> {\mathbb Q}
55,66,\newcommand,\C -> {\mathbb C}
56,67,\newcommand,\R -> {\mathbb R}
57,68,\newcommand,\F -> {\mathbb F}
58,69,\newcommand,\N -> {\mathbb N}
59,70,\newcommand,\G -> {\mathbb G}
60,71,\newcommand,\T -> {\mathbb T}
61,72,\newcommand,\PP -> {\mathbb P}
62,73,\newcommand,\cA -> {\mathcal A}
63,74,\newcommand,\cQ -> {\mathcal Q}
64,75,\newcommand,\cR -> {\mathcal R}
65,76,\newcommand,\cN -> {\mathcal N}
66,77,\newcommand,\cS -> {\mathcal S}
67,78,\newcommand,\cD -> {\mathcal D}
68,79,\newcommand,\cC -> {\mathcal C}
69,80,\newcommand,\cF -> {\mathcal F}
70,81,\newcommand,\cB -> {\mathcal B}
71,82,\newcommand,\cX -> {\mathcal X}
72,83,\newcommand,\cH -> {\mathcal H}
73,84,\newcommand,\cK -> {\mathcal K}
74,85,\newcommand,\cG -> {\mathcal G}
75,86,\newcommand,\cGL -> {\mathcal GL}
76,87,\newcommand,\cV -> {\mathcal V}
77,88,\newcommand,\cT -> {\mathcal T}
78,89,\newcommand,\cU -> {\mathcal U}
79,90,\newcommand,\cE -> {\mathcal E}
80,91,\newcommand,\cI -> {\mathcal I}
81,92,\newcommand,\cL -> {\mathcal L}
82,93,\newcommand,\cM -> {\mathcal M}
83,94,\newcommand,\cJ -> {\mathcal J}
84,95,\newcommand,\cP -> {\mathcal P}
85,96,\newcommand,\cO -> {\mathcal O}
86,97,\newcommand,\cW -> {\mathcal W}
87,98,\newcommand,\co -> {\mathfrak o}
88,99,\newcommand,\dP -> {\mathfrak P}
89,100,\newcommand,\dH -> {\mathfrak H}
90,101,\newcommand,\dc -> {\mathfrak c}
91,102,\newcommand,\tendsto}\{\xrightarrow{\smash{\raisebox{-2ex ->  }}}
92,103,\newcommand,\gagu -> {\gamma^{\overline{\sigma}}}
93,104,\newcommand,\ts -> {t_{\sigma}}
94,105,\newcommand,\bgu -> {b_{\overline{\sigma}}}
95,106,\newcommand,\rN -> {\mathrm N}
96,107,\newcommand,\SO -> {\mathrm SO}
97,108,\newcommand,\Div -> {\mathrm{Div}}
98,109,\newcommand,\cInd -> \mbox{c-Ind}
99,110,\newcommand,\Res -> {\mathrm{Res}}
100,111,\newcommand,\Sym -> {\mathrm{Sym}}
101,112,\newcommand,\Spec -> {\mathrm{Spec}}
102,113,\newcommand,\wq -> {\mathfrak{q}}
103,114,\newcommand,\rank -> {\mathrm rank}
104,115,\newcommand,\qbar -> {\bar\Q}
105,116,\newcommand,\kp -> {\overline{k_p}}
106,117,\newcommand,\ra -> {\rightarrow}
