,line num,Command
0,1,\documentclass
1,3,\usepackage
2,4,\usepackage
3,5,\usepackage
4,6,\usepackage
5,7,\usepackage
6,8,\usepackage
7,9,\usetikzlibrary
8,10,\usetikzlibrary
9,11,\usetikzlibrary
10,12,\usetikzlibrary
11,13,\usepackage
12,15,\renewcommand
13,15,\thesubfigure
14,15,\roman
15,16,\usepackage
16,20,\newtheorem
17,21,\newtheorem
18,22,\newtheorem
19,24,\numberwithin
20,25,\numberwithin
21,28,\newcommand
22,28,\RR
23,28,\mathbb
24,29,\newcommand
25,29,\QQ
26,29,\mathbb
27,30,\newcommand
28,30,\R
29,30,\mathbb
30,31,\newcommand
31,31,\calH
32,31,\mathcal
33,32,\newcommand
34,32,\ZZ
35,32,\mathbb
36,33,\newcommand
37,33,\vol
38,33,\mathrm
39,34,\newcommand
40,34,\calC
41,34,\mathcal
42,35,\newcommand
43,35,\NN
44,35,\mathbb
45,36,\newcommand
46,36,\CC
47,36,\mathbb
48,37,\newcommand
49,37,\blue
50,37,\leavevmode
51,37,\color
52,38,\newcommand
53,38,\red
54,38,\leavevmode
55,38,\color
56,39,\newcommand
57,39,\purple
58,39,\leavevmode
59,39,\color
60,40,\renewcommand
61,40,\Re
62,40,\textnormal
63,41,\renewcommand
64,41,\Im
65,41,\textnormal
66,42,\newcommand
67,42,\Res
68,42,\textnormal
69,43,\newcommand
70,43,\SL
71,43,\mathrm
72,44,\renewcommand
73,44,\pmod
74,44,\left
75,44,\mathrm
76,44,\right
77,47,\title
78,49,\author
79,50,\address
80,51,\email
81,51,\_
82,52,\author
83,53,\address
84,54,\email
85,55,\author
86,56,\address
87,57,\email
88,59,document
89,62,abstract
90,63,\sigma_a
91,63,\sigma_b
92,76,\maketitle
93,78,\section
94,80,\sigma_a
95,82,\sigma_a
96,82,\sum_
97,82,\mid
98,84,\sigma_a
99,84,\cite
100,86,\sum_
101,86,\sigma_a
102,86,\sigma_b
103,90,\frac
104,90,\sigma_7
105,90,\frac
106,90,\sigma_3
107,93,equation
108,94,\frac
109,94,\Gamma
110,94,\Gamma
111,94,\Gamma
112,94,\frac
113,94,\zeta
114,94,\zeta
115,94,\zeta
116,94,\sigma_
117,94,\frac
118,94,\zeta
119,94,\sigma_b
120,94,\frac
121,96,\geq
122,96,\mathrm
123,96,\mathbb
124,98,\eqref
125,98,\cite
126,103,theorem
127,104,\to
128,104,\infty
129,105,equation
130,106,\frac
131,106,\Gamma
132,106,\Gamma
133,106,\Gamma
134,106,\frac
135,106,\zeta
136,106,\zeta
137,106,\zeta
138,106,\sigma_
139,106,\beta
140,110,begin
141,111,\text
142,112,\epsilon
143,112,\text
144,112,\leq
145,112,\geq
146,113,\epsilon
147,113,\text
148,113,\geq
149,113,\leq
150,114,\frac
151,114,\epsilon
152,114,\text
153,121,\ref
154,123,\medskip
155,124,\ref
156,124,\eqref
157,126,theorem
158,127,\geq
159,128,align
160,130,\frac
161,130,\Gamma
162,130,\Gamma
163,130,\Gamma
164,130,\frac
165,130,\zeta
166,130,\zeta
167,130,\zeta
168,130,\sigma_
169,130,\frac
170,130,\zeta
171,130,\zeta
172,130,\zeta
173,130,\sigma_
174,131,\quad
175,131,\quad
176,131,\frac
177,131,\epsilon
178,135,\ref
179,135,\frac
180,135,\frac
181,135,\leq
182,137,theorem
183,139,align
184,141,\frac
185,141,\Gamma
186,141,\Gamma
187,141,\Gamma
188,141,\frac
189,141,\zeta
190,141,\zeta
191,141,\zeta
192,141,\sigma_
193,142,\notag
194,142,\quad
195,142,\frac
196,142,\zeta
197,142,\zeta
198,142,\zeta
199,142,\sigma_
200,143,\sum_
201,143,\leq
202,143,\frac
203,143,\frac
204,143,\mathrm
205,143,\epsilon
206,143,\frac
207,143,\frac
208,143,\epsilon
209,145,\mathrm
210,145,\eqref
211,145,\mathrm
212,145,\ll
213,145,\mathrm
214,145,\frac
215,145,\zeta
216,145,\sigma_b
217,145,\mathrm
218,145,\geq
219,148,\ref
220,148,\frac
221,148,\frac
222,148,\epsilon
223,150,\ref
224,150,\ref
225,150,\emph
226,150,\ll
227,150,\epsilon
228,150,\ll
229,150,\theta
230,150,\epsilon
231,150,\leq
232,150,\theta
233,150,\leq
234,150,\ref
235,150,\frac
236,150,\frac
237,150,\theta
238,150,\epsilon
239,150,\cite
240,150,\theta
241,150,\ref
242,150,\cite
243,150,\ref
244,150,\frac
245,150,\frac
246,150,\epsilon
247,153,\section
248,160,\section
249,160,\label
250,165,\subsection
251,167,\emph
252,167,\Delta_1
253,167,\dots
254,167,\Delta_n
255,168,itemize
256,169,\item
257,169,\RR
258,170,\item
259,171,\item
260,171,\leq
261,171,\leq
262,171,\Delta_j
263,171,\leq
264,171,\ell
265,171,\leq
266,171,\ell
267,171,\Delta_
268,171,\ell
269,171,\ell
270,171,\ell
271,175,itemize
272,176,\item
273,176,\pi
274,176,\emph
275,177,\item
276,177,\ref
277,180,figure
278,181,tabular
279,182,tikzpicture
280,184,\draw
281,185,\draw
282,186,\draw
283,187,\draw
284,188,\draw
285,190,\draw
286,191,\draw
287,193,\draw
288,193,\not
289,193,\simeq
290,195,\draw
291,196,scope
292,197,\draw
293,198,\draw
294,199,\draw
295,200,\draw
296,202,\draw
297,203,\draw
298,207,tikzpicture
299,210,\draw
300,211,\draw
301,212,\draw
302,213,\draw
303,214,\draw
304,216,\draw
305,217,\draw
306,219,\draw
307,219,\simeq
308,221,scope
309,222,\draw
310,224,\draw
311,229,scope
312,230,\draw
313,231,\draw
314,233,\draw
315,234,\draw
316,236,\draw
317,237,\draw
318,244,\caption
319,245,\label
320,248,wrapfigure
321,249,tikzpicture
322,251,\draw
323,252,\draw
324,258,scope
325,259,\draw
326,270,scope
327,271,\draw
328,272,\draw
329,279,scope
330,280,\draw
331,281,\draw
332,283,\draw
333,290,scope
334,291,\draw
335,292,\draw
336,293,\draw
337,295,\draw
338,300,scope
339,301,\draw
340,302,\draw
341,307,scope
342,309,scope
343,310,\draw
344,313,scope
345,314,\draw
346,315,\draw
347,318,scope
348,319,\draw
349,320,\draw
350,322,\draw
351,326,scope
352,327,\draw
353,328,\draw
354,329,\draw
355,331,\draw
356,334,scope
357,335,\draw
358,336,\draw
359,348,\caption
360,348,\calH
361,349,\label
362,352,\ref
363,354,\CC
364,354,\CC
365,354,\omega
366,354,\omega
367,354,\omega
368,354,\omega
369,354,\omega
370,354,\omega
371,354,\cite
372,356,\pi
373,356,\alpha_1
374,356,\dots
375,356,\pi
376,356,\alpha_m
377,358,\sum_
378,358,\alpha_i
379,361,\alpha
380,361,\alpha_1
381,361,\dots
382,361,\alpha_m
383,361,\pi
384,361,\alpha_i
385,361,\emph
386,361,\calH
387,361,\alpha
388,363,\alpha
389,363,\calH
390,363,\alpha
391,363,\omega
392,363,\in
393,363,\calH
394,363,\alpha_1
395,363,\dots
396,363,\alpha_m
397,363,\rho_1
398,363,\dots
399,363,\rho_
400,363,\dots
401,363,\ZZ
402,364,equation
403,365,\calH
404,365,\alpha
405,365,\rightarrow
406,365,\CC
407,366,\text
408,366,\omega
409,366,\rightarrow
410,366,\bigg
411,366,\int_
412,366,\rho_1
413,366,\omega
414,366,\dots
415,366,\int_
416,366,\rho_
417,366,\omega
418,366,\bigg
419,368,\emph
420,368,\calH
421,368,\alpha
422,368,\cite
423,369,\alpha_1
424,369,\dots
425,369,\alpha_m
426,369,\cite
427,369,\calH
428,369,\alpha
429,369,\alpha
430,369,\calH
431,369,\alpha
