,Line num,Command
0,3,\newtheorem
1,4,\renewcommand
2,4,\theletterthm
3,4,\Alph
4,5,\newtheorem
5,6,\renewcommand
6,6,\thelettercor
7,6,\Alph
8,7,\newtheorem
9,8,\renewcommand
10,8,\theletterconjecture
11,8,\Alph
12,12,\newcommand
13,12,\smargin
14,13,\marginpar
15,13,\raggedright
16,13,\footnotesize
17,13,\color
18,17,\numberwithin
19,22,\newtheorem
20,23,\newtheorem
21,24,\newtheorem
22,25,\newtheorem
23,26,\newtheorem
24,28,\newtheorem
25,31,\newtheorem
26,32,\newtheorem
27,37,\newtheorem
28,42,\newtheorem
29,44,\newtheorem
30,47,\theoremstyle
31,48,\newtheorem
32,49,\newtheorem
33,52,\newcommand
34,52,\nonumfootnote
35,53,\begingroup
36,54,\renewcommand
37,54,\thefootnote
38,54,\footnote
39,55,\addtocounter
40,56,\endgroup
41,60,\newcommand
42,60,\blue
43,60,\color
44,65,\newcommand
45,65,\A
46,65,\mathbb
47,66,\newcommand
48,66,\C
49,66,\mathbb
50,67,\newcommand
51,67,\F
52,67,\mathbb
53,68,\newcommand
54,68,\Q
55,68,\mathbb
56,69,\newcommand
57,69,\R
58,69,\mathbb
59,70,\newcommand
60,70,\T
61,70,\mathbb
62,71,\newcommand
63,71,\Z
64,71,\mathbb
65,74,\newcommand
66,74,\Cbf
67,74,\mathbf
68,77,\newcommand
69,77,\pfrak
70,77,\mathfrak
71,78,\newcommand
72,78,\Pfrak
73,78,\mathfrak
74,79,\newcommand
75,79,\qfrak
76,79,\mathfrak
77,80,\newcommand
78,80,\Cl
79,80,\mathrm
80,81,\newcommand
81,81,\RI
82,81,\mathcal
83,82,\newcommand
84,82,\Norm
85,82,\mathrm
86,83,\newcommand
87,83,\Ocal
88,83,\mathcal
89,87,\newcommand
90,87,\Ascr
91,87,\mathscr
92,88,\newcommand
93,88,\Bscr
94,88,\mathscr
95,89,\newcommand
96,89,\Cscr
97,89,\mathscr
98,90,\newcommand
99,90,\Pscr
100,90,\mathscr
101,91,\newcommand
102,91,\Escr
103,91,\mathscr
104,92,\newcommand
105,92,\Fscr
106,92,\mathscr
107,93,\newcommand
108,93,\Iscr
109,93,\mathscr
110,94,\newcommand
111,94,\Lscr
112,94,\mathscr
113,98,\newcommand
114,98,\Leg
115,98,\left
116,98,\frac
117,98,\right
118,99,\newcommand
119,99,\Gal
120,99,\mathrm
121,100,\newcommand
122,100,\Disc
123,100,\mathrm
124,101,\newcommand
125,101,\Li
126,101,\mathrm
127,102,\newcommand
128,102,\Cond
129,102,\mathrm
130,103,\newcommand
131,103,\GL
132,103,\mathrm
133,104,\newcommand
134,104,\irred
135,104,\mathrm
136,105,\newcommand
137,105,\reg
138,105,\mathrm
139,106,\newcommand
140,106,\Ind
141,106,\mathrm
142,107,\newcommand
143,107,\Nm
144,107,\mathrm
145,108,\newcommand
146,108,\ord
147,108,\mathrm
148,109,\newcommand
149,109,\Ker
150,109,\mathrm
151,113,\newcommand
152,113,\Dfrak
153,113,\mathfrak
154,116,\renewcommand
155,116,\b
156,116,\mathbf
157,117,\renewcommand
158,117,\u
159,117,\underline
160,118,\newcommand
161,118,\cl
162,118,\cal
163,119,\newcommand
164,119,\epun
165,119,\underline
166,119,\varepsilon
167,120,\newcommand
168,120,\hun
169,120,\underline
170,122,\newcommand
171,122,\lb
172,122,\mbox
173,122,\scriptsize
174,122,\bf
175,123,\newcommand
176,123,\twosum
177,123,\sum_
178,123,\substack
179,124,\newcommand
180,124,\ep
181,124,\varepsilon
182,126,\newcommand
183,126,\Ups
184,126,\Upsilon
185,130,\newcommand
186,130,\con
187,130,\equiv
188,131,\newcommand
189,131,\ncon
190,131,\not
191,131,\equiv
192,132,\newcommand
193,132,\ndiv
194,132,\nmid
195,133,\newcommand
196,133,\modd
197,133,\text
198,134,\newcommand
199,134,\bstack
200,134,\atop
201,135,\newcommand
202,135,\tstack
203,135,\atop
204,135,\atop
205,136,\newcommand
206,136,\sprod
207,136,\langle
208,136,\rangle
209,137,\newcommand
210,137,\inv
211,137,\overline
212,138,\newcommand
213,138,\conj
214,138,\overline
215,139,\newcommand
216,139,\maps
217,139,\rightarrow
218,140,\newcommand
219,140,\intersect
220,140,\cap
221,141,\newcommand
222,141,\Intersect
223,141,\bigcap
224,142,\newcommand
225,142,\bigunion
226,142,\bigcup
227,143,\newcommand
228,143,\Union
229,143,\bigcup
230,144,\newcommand
231,144,\union
232,144,\cup
233,145,\newcommand
234,145,\grad
235,145,\bigtriangledown
236,146,\newcommand
237,146,\diag
238,146,\text
239,147,\newcommand
240,147,\uhat
241,147,\check
242,150,\newcommand
243,150,\deriv
244,150,\frac
245,150,\partial
246,150,\partial
247,151,\newcommand
248,151,\pderiv
249,151,\frac
250,151,\partial
251,151,\partial
252,152,\newcommand
253,152,\comp
254,152,\o
255,156,\newcommand
256,156,\Frac
257,156,\rm
258,160,\newcommand
259,160,\Adj
260,160,\rm
261,161,\newcommand
262,161,\bad
263,161,\rm
264,162,\newcommand
265,162,\good
266,162,\rm
267,163,\newcommand
268,163,\supp
269,163,\rm
270,164,\newcommand
271,164,\pos
272,164,\rm
273,165,\newcommand
274,165,\negt
275,165,\rm
276,166,\newcommand
277,166,\dyadic
278,166,\rm
279,167,\newcommand
280,167,\rk
281,167,\rm
282,168,\newcommand
283,168,\sing
284,168,\rm
285,170,\newcommand
286,170,\al
287,170,\alpha
288,171,\newcommand
289,171,\be
290,171,\beta
291,172,\newcommand
292,172,\gam
293,173,\newcommand
294,173,\ga
295,174,\newcommand
296,174,\del
297,175,\newcommand
298,175,\Del
299,177,\newcommand
300,177,\ka
301,178,\newcommand
302,178,\om
303,179,\newcommand
304,179,\Om
305,180,\newcommand
306,180,\Sig
307,181,\newcommand
308,181,\sig
309,182,\newcommand
310,182,\lam
311,183,\newcommand
312,183,\Lam
313,184,\newcommand
314,184,\Ga
315,186,\newcommand
316,186,\uchi
317,186,\underline
318,187,\newcommand
319,187,\tchi
320,187,\tilde
321,189,\newcommand
322,189,\Acal
323,189,\mathcal
324,190,\newcommand
325,190,\Pcal
326,190,\mathcal
327,191,\newcommand
328,191,\Bcal
329,191,\mathcal
330,192,\newcommand
331,192,\Dcal
332,192,\mathcal
333,193,\newcommand
334,193,\Ecal
335,193,\mathcal
336,194,\newcommand
337,194,\Fcal
338,194,\mathcal
339,195,\newcommand
340,195,\Gcal
341,195,\mathcal
342,196,\newcommand
343,196,\Hcal
344,196,\mathcal
345,197,\newcommand
346,197,\Ical
347,197,\mathcal
348,198,\newcommand
349,198,\Jcal
350,198,\mathcal
351,199,\newcommand
352,199,\Kcal
353,199,\mathcal
354,200,\newcommand
355,200,\Lcal
356,200,\mathcal
357,201,\newcommand
358,201,\Mcal
359,201,\mathcal
360,202,\newcommand
361,202,\Ncal
362,202,\mathcal
363,203,\newcommand
364,203,\Qcal
365,203,\mathcal
366,204,\newcommand
367,204,\Scal
368,204,\mathcal
369,205,\newcommand
370,205,\Tcal
371,205,\mathcal
372,206,\newcommand
373,206,\Ucal
374,206,\mathcal
375,207,\newcommand
376,207,\Vcal
377,207,\mathcal
378,208,\newcommand
