,Line num,Command,Notes
0,1,\documentclass,amsart
1,2,\usepackage,anyfontsize
2,3,\usepackage,tikz-cd
3,4,\usepackage,fullpage
4,5,\usepackage,amsmath
5,6,\usepackage,amsfonts
6,7,\usepackage,latexsym
7,8,\usepackage,amssymb
8,9,\usepackage,placeins
9,10,\topmargin,N/A
10,11,\oddsidemargin,N/A
11,12,\evensidemargin,N/A
12,13,\textwidth,N/A
13,14,\textheight,N/A
14,15,\newtheorem,N/A
15,16,\newtheorem,N/A
16,17,\newtheorem,N/A
17,18,\newtheorem,N/A
18,19,\newtheorem,N/A
19,20,\newtheorem,N/A
20,21,\newtheorem,N/A
21,22,\def,Nested
22,22,\vol,Nested
23,22,\sf,Nested
24,23,\def,Nested
25,23,\d,Nested
26,23,\sf,Nested
27,24,\def,Nested
28,24,\grad,Nested
29,24,\mathop,Nested
30,24,\sf,Nested
31,25,\def,Nested
32,25,\div,Nested
33,25,\mathop,Nested
34,25,\sf,Nested
35,26,\def,Nested
36,26,\homo,Nested
37,26,\mathop,Nested
38,26,\sf,Nested
39,27,\def,Nested
40,27,\ker,Nested
41,27,\mathop,Nested
42,27,\sf,Nested
43,28,\def,Nested
44,28,\mker,Nested
45,28,\mathop,Nested
46,28,\sf,Nested
47,29,\def,Nested
48,29,\im,Nested
49,29,\mathop,Nested
50,29,\sf,Nested
51,30,\def,Nested
52,30,\exp,Nested
53,30,\mathop,Nested
54,30,\sf,Nested
55,31,\def,Nested
56,31,\crl,Nested
57,31,\mathop,Nested
58,31,\sf,Nested
59,32,\def,Nested
60,32,\curl,Nested
61,32,\mathop,Nested
62,32,\sf,Nested
63,33,\def,Nested
64,33,\rk,Nested
65,33,\mathop,Nested
66,33,\sf,Nested
67,34,\def,Nested
68,34,\det,Nested
69,34,\mathop,Nested
70,34,\sf,Nested
71,35,\def,Nested
72,35,\ann,Nested
73,35,\mathop,Nested
74,35,\sf,Nested
75,36,\def,Nested
76,36,\dep,Nested
77,36,\mathop,Nested
78,36,\sf,Nested
79,37,\def,Nested
80,37,\dim,Nested
81,37,\mathop,Nested
82,37,\sf,Nested
83,38,\def,Nested
84,38,\codim,Nested
85,38,\mathop,Nested
86,38,\sf,Nested
87,39,\def,Nested
88,39,\pd,Nested
89,39,\mathop,Nested
90,39,\sf,Nested
91,40,\def,Nested
92,40,\height,Nested
93,40,\mathop,Nested
94,40,\sf,Nested
95,41,\def,Nested
96,41,\ass,Nested
97,41,\mathop,Nested
98,41,\sf,Nested
99,42,\def,Nested
100,42,\supp,Nested
101,42,\mathop,Nested
102,42,\sf,Nested
103,43,\def,Nested
104,43,\pt,Nested
105,43,\sf,Nested
106,44,\def,Nested
107,44,\t,Nested
108,44,\sf,Nested
109,45,\def,Nested
110,45,\tor,Nested
111,45,\mathop,Nested
112,45,\sf,Nested
113,46,\def,Nested
114,46,\min,Nested
115,46,\sf,Nested
116,47,\def,Nested
117,47,\limh,Nested
118,47,\sf,Nested
119,47,\overleftarrow,Nested
120,47,\mathcal,Nested
121,48,\def,N/A
122,48,\dbydt,N/A
123,48,\sf,N/A
124,48,\frac,N/A
125,49,\def,N/A
126,49,\dbydts,N/A
127,49,\sf,N/A
128,49,\frac,N/A
129,50,\def,Nested
130,50,\ext,Nested
131,50,\sf,Nested
132,51,\def,Nested
133,51,\sig,Nested
134,52,\def,Nested
135,52,\Cinf,Nested
136,52,\mathcal,Nested
137,52,\infty,Nested
138,53,\def,Nested
139,53,\Dr,Nested
140,53,\mathcal,Nested
141,54,\def,Nested
142,54,\max,Nested
143,54,\sf,Nested
144,55,\def,N/A
145,55,\Mellk,N/A
146,55,\mathcal,N/A
147,55,\ell,N/A
148,56,\def,N/A
149,56,\Sellk,N/A
150,56,\mathcal,N/A
151,56,\ell,N/A
152,57,\def,N/A
153,57,\Bellk,N/A
154,57,\mathcal,N/A
155,57,\ell,N/A
156,58,\def,Nested
157,58,\S,Nested
158,58,\mathcal,Nested
159,59,\def,Nested
160,59,\Sr,Nested
161,59,\mathcal,Nested
162,60,\def,Nested
163,60,\Er,Nested
164,60,\mathcal,Nested
165,61,\def,Nested
166,61,\D,Nested
167,61,\mathcal,Nested
168,62,\def,Nested
169,62,\A,Nested
170,62,\mathcal,Nested
171,63,\def,Nested
172,63,\C,Nested
173,63,\mathbb,Nested
174,64,\def,Nested
175,64,\M,Nested
176,64,\mathcal,Nested
177,65,\def,Nested
178,65,\N,Nested
179,65,\mathbb,Nested
180,66,\def,Nested
181,66,\R,Nested
182,66,\mathbb,Nested
183,67,\newcommand,\del -> \partial
184,68,\renewcommand,N/A
185,68,\L,N/A
186,68,\ensuremath,N/A
187,68,\mathcal,N/A
188,69,\newcommand,\V -> \ensuremath{\mathcal{V}} 
189,70,\newcommand,\Rq -> \R^{q}
190,71,\newcommand,\dt -> \mathrm{~dt}
191,72,\newcommand,\tr -> \mathrm{tr}
192,73,\newcommand,\Rp -> \R^{p}
193,74,\newcommand,\Rm -> \R^{m}
194,75,\newcommand,\Rn -> \R^{n}
195,76,\newcommand,\Rw -> \R^{w}
196,77,\newcommand,\pde -> 
197,78,\newcommand,\diff -> 
198,79,\newcommand,\coker -> \mathrm{coker}
199,80,\newcommand,\col -> \mathrm{col}
200,81,\newcommand,\dd -> \ensuremath{\delta}
201,82,\newcommand,\F -> \mathcal{F}
202,83,document,Environment
203,84,\title,The Canonical Controller for Distributed Systems
204,85,\maketitle,N/A
205,86,center,Environment
206,87,\author,"Shiva Shankar \footnote{Department of Electrical Engineering, IIT Bombay, \tt{shunyashankar@gmail.com"
207,87,\footnote,Nested
208,87,\tt,Nested
209,89,abstract,Environment
210,90,\cite,sc
211,92,\hspace,7mm
212,93,\hspace,.7cm
213,93,\tiny,.7cm
214,95,\section,introduction
215,96,\cite,Nested
216,96,\cite,Nested
217,99,\cite,w
218,100,\cite,wt
219,104,\cite,Nested
220,104,\cite,Nested
221,107,\cite,Nested
222,107,\cite,Nested
223,108,\cite,sc
224,111,\section,N/A
225,118,\cite,m
226,119,equation,Environment
227,120,array,Environment
228,121,\ker_,N/A
229,121,\F,N/A
230,121,\cdot,N/A
231,122,\longrightarrow,N/A
232,122,\homo_A,N/A
233,122,\F,N/A
234,123,\ldots,N/A
235,123,\mapsto,N/A
236,123,\phi_f,N/A
237,128,\ldots,N/A
238,137,\noindent,sc
239,137,\cite,sc
240,138,\vspace,1.5mm
241,141,\vspace,1.5mm
242,143,\vspace,1.5mm
243,145,proposition,Environment
244,149,\noindent,N/A
245,155,\hspace,Nested
246,155,\fill,Nested
247,155,\noindent,Nested
248,157,\pi_w,N/A
249,157,\ker_,N/A
250,157,\D,N/A
251,158,\dbydt,Nested
252,158,\in,Nested
253,158,\D,Nested
254,160,\dbydt,N/A
255,160,\circ,N/A
256,160,\dbydt,N/A
257,161,\dbydt,Nested
258,161,\dbydt,Nested
259,161,\D,Nested
260,161,\rightarrow,Nested
261,161,\D,Nested
262,161,\dbydt,Nested
263,164,\cite,sst
264,165,\cite,sst
265,166,proposition,Environment
266,170,\noindent,Nested
267,170,\hspace,Nested
268,170,\fill,Nested
269,170,\noindent,Nested
270,170,\cite,Nested
271,171,\em,N/A
272,173,lemma,Environment
273,175,\noindent,N/A
274,176,\hspace,Nested
275,176,\fill,Nested
276,177,corollary,Environment
277,179,\noindent,Nested
278,179,\hspace,Nested
279,179,\fill,Nested
280,181,lemma,Environment
281,183,\noindent,N/A
282,186,\hspace,Nested
283,186,\fill,Nested
284,187,\vspace,.25cm
285,188,\noindent,N/A
286,191,proposition,Environment
287,193,\noindent,N/A
288,198,\hspace,Nested
289,198,\fill,Nested
290,200,theorem,Environment
291,202,\noindent,N/A
292,204,\hspace,Nested
293,204,\fill,Nested
294,205,corollary,Environment
295,207,\noindent,N/A
296,209,\hspace,Nested
297,209,\cite,fw
298,209,\fill,Nested
