,Line num,Command,Notes
0,1,\documentclass,amsart
1,2,\usepackage,natbib
2,3,\usepackage,inputenc
3,4,\usepackage,fontenc
4,5,\usepackage,babel
5,6,\usepackage,"amsmath,amssymb,amsthm,amsfonts,amsopn"
6,7,\RequirePackage,hyperref
7,8,\usepackage,fixme
8,9,\FXRegisterAuthor,N/A
9,10,\usepackage,"graphicx, tikz, tikz-cd, enumerate"
10,11,\usetikzlibrary,"arrows, decorations.pathreplacing"
11,12,\fxsetup,theme=color
12,13,\fxusetargetlayout,colorcb
13,14,\definecolor,N/A
14,15,\usepackage,enumitem
15,16,\setlist,Nested
16,16,\roman,Nested
17,17,\usetikzlibrary,"shapes,backgrounds,positioning"
18,18,\theoremstyle,plain
19,19,\newtheorem,N/A
20,20,\newtheorem,N/A
21,21,\newtheorem,N/A
22,22,\newtheorem,N/A
23,23,\newtheorem,N/A
24,24,\theoremstyle,definition
25,25,\newtheorem,N/A
26,26,\newtheorem,N/A
27,27,\newtheorem,N/A
28,28,\newtheorem,N/A
29,29,\newtheorem,N/A
30,30,\newtheorem,N/A
31,31,\newcommand,\tree -> \boldsymbol{#1}
32,32,\newcommand,\that -> \hat{\boldsymbol{#1}}
33,33,\newcommand,\treen -> \boldsymbol{n}
34,34,\newcommand,\treesigma -> \boldsymbol{#1}
35,35,\newcommand,\That -> \widehat{#1}
36,36,\newcommand,\Thatspace -> \widehat{\boldsymbol{#1}}
37,37,\newcommand,\T -> \mathbb{T}
38,38,\DeclareMathOperator,N/A
39,38,\edge,N/A
40,39,\DeclareMathOperator,N/A
41,39,\internal,N/A
42,40,\DeclareMathOperator,N/A
43,40,\vertices,N/A
44,41,\DeclareMathOperator,N/A
45,41,\siblings,N/A
46,42,\DeclareMathOperator,N/A
47,42,\insertable,N/A
48,43,\DeclareMathOperator,N/A
49,43,\branchpoints,N/A
50,44,\DeclareMathOperator,N/A
51,44,\id,N/A
52,45,\DeclareMathOperator,N/A
53,45,\bin,N/A
54,46,\DeclareMathOperator,N/A
55,46,\intstruct,N/A
56,46,\textsc,N/A
57,47,\DeclareMathOperator,N/A
58,47,\rank,N/A
59,47,\textsc,N/A
60,48,\newcommand,\insertablef -> \insertable({\tree})
61,49,\DeclareMathOperator,N/A
62,49,\tildei,N/A
63,49,\tilde,N/A
64,49,\textit,N/A
65,49,\i,N/A
66,50,\DeclareMathOperator,N/A
67,50,\crp,N/A
68,51,\DeclareMathOperator,N/A
69,51,\ocrp,N/A
70,52,\DeclareMathOperator,N/A
71,52,\dirmult,N/A
72,53,\DeclareMathOperator,N/A
73,53,\dir,N/A
74,54,\DeclareMathOperator,N/A
75,54,\betabin,N/A
76,55,\DeclareMathOperator,N/A
77,55,\betadist,N/A
78,56,\newcommand,\place -> \boldsymbol{\cdot}
79,57,\newcommand,\protect\mathpalette{\protect\independenT -> \perp}
80,58,\def,N/A
81,58,\independenT,N/A
82,58,\mathrel,N/A
83,58,\rlap,N/A
84,58,\mkern2mu,N/A
85,59,\newcommand,\diff -> \mathop{}\!\mathrm{d}
86,60,\newcommand,\norm -> \left\lVert#1\right\rVert
87,61,\newcommand,\sinfty -> \sum_{n=1}^\infty
88,62,\newcommand,\nin -> {n \in \mathbb{N}}
89,63,\newcommand,\Nin -> N \in \mathbb{N}
90,64,\newcommand,\Tpart -> \mathcal{T}
91,65,\newcommand,\aseq -> \stackrel{\text{a.s.} -> =}
92,66,\newcommand,\peq -> \stackrel{P -> =}
93,67,\newcommand,\deq -> \stackrel{D -> =}
94,68,\newcommand,\ascon -> \xrightarrow{a.s.}
95,69,\newcommand,\pcon -> \xrightarrow{P}
96,70,\newcommand,\lcon -> \xrightarrow{\mathcal{L}^{#1}}
97,71,\newcommand,\dcon -> \xrightarrow{D}
98,72,\newcommand,\wkcon -> \xrightarrow{wk}
99,73,\newcommand,\ninfty -> n \to \infty
100,74,\newcommand,\from -> \leftarrow
101,75,\newcommand,\as -> \text{a.s.}
102,76,\newcommand,\A -> \mathbb{A}
103,77,\newcommand,\B -> \mathbb{B}
104,78,\newcommand,\Bmus -> \mathbb{B}_{\mu^*}
105,79,\newcommand,\BZO -> \mathbb{B}_{}
106,80,\newcommand,\D -> \mathbb{D}
107,81,\newcommand,\E -> \mathbb{E}
108,82,\newcommand,\F -> \mathbb{F}
109,83,\newcommand,\G -> \mathcal{G}
110,84,\newcommand,\GG -> \mathbb{G}
111,85,\newcommand,\Graph -> \mathrm{G}
112,86,\newcommand,\Graphon -> \mathrm{W}
113,87,\renewcommand,N/A
114,87,\H,N/A
115,87,\mathbb,N/A
116,88,\newcommand,\I -> \mathbb{I}
117,89,\newcommand,\M -> \mathbb{M}
118,90,\renewcommand,N/A
119,90,\SS,N/A
120,90,\mathbb,N/A
121,91,\newcommand,\sig ->  -algebra
122,92,\newcommand,\XX -> \mathbb{X}
123,93,\newcommand,\YY -> \mathbb{Y}
124,94,\newcommand,\Ex -> \mathrm{E}
125,95,\renewcommand,N/A
126,95,\P,N/A
127,95,\mathrm,N/A
128,96,\newcommand,\Pow -> \mathcal{P}
129,97,\newcommand,\N -> \mathbb{N}
130,98,\newcommand,\Q -> \mathbb{Q}
131,99,\newcommand,\R -> \mathbb{R}
132,100,\newcommand,\Z -> \mathbb{Z}
133,101,\newcommand,"\Rinfty -> \mathbb{R}_{{{\left( X_{ij} \right)}_{i,j #1 #2}"
134,102,\newcommand,\seq -> {\left( #1_i \right)}_{i \in #2}
135,103,\newcommand,\Norm -> \mathcal{N}
136,104,\DeclareMathOperator,N/A
137,104,\Pois,N/A
138,105,\DeclareMathOperator,N/A
139,105,\Unif,N/A
140,106,\DeclareMathOperator,N/A
141,106,\cond,N/A
142,106,\perp,N/A
143,106,\perp,N/A
144,107,\renewcommand,N/A
145,107,\iff,N/A
146,107,\Leftrightarrow,N/A
147,108,\DeclareMathOperator,N/A
148,108,\dint,N/A
149,109,\newcommand,\dP -> \ \mathop{\!\mathrm{dP}}
150,110,\newcommand,\vertbar -> \rule{0.5pt -> 2.5ex}
151,111,\newcommand,\horbar -> \rule{2.5ex -> 0.5pt}
152,112,\newcommand,\udots -> \reflectbox{ }
153,113,document,Environment
154,114,\title,A down-up chain with persistent labels on multifurcating trees
155,115,\address,N/A
156,115,\hspace,N/A
157,115,\o,N/A
158,116,\author,Frederik S{\o
159,116,\o,Nested
160,117,\keywords,Nested
161,118,\subjclass,"60C05, 60J80, 60J10"
162,119,\date,Nested
163,119,\today,Nested
164,120,abstract,Environment
165,128,\vspace,-24pt
166,129,\maketitle,N/A
167,130,\section,N/A
168,130,\label,N/A
169,135,\textit,Nested
170,135,\cite,Nested
171,136,itemize,Environment
172,137,\item,N/A
173,138,\item,N/A
174,141,\textit,down-up chain
175,142,\cite,Nested
176,143,\cite,Nested
177,143,\cite,RefWorks:doc:5b71b380e4b06c0731a629f4
178,143,\cite,RefWorks:doc:5b4cbb5fe4b02dc0c79270af
179,143,\cite,Nested
180,143,\cite,RefWorks:doc:5b71b380e4b06c0731a629f4
181,143,\cite,RefWorks:doc:5b4cbb5fe4b02dc0c79270af
182,143,\cite,Nested
183,143,\cite,RefWorks:doc:5b71b380e4b06c0731a629f4
184,143,\cite,RefWorks:doc:5b4cbb5fe4b02dc0c79270af
185,143,\cite,Nested
186,143,\cite,RefWorks:doc:5b71b380e4b06c0731a629f4
187,143,\cite,RefWorks:doc:5b4cbb5fe4b02dc0c79270af
188,144,\textit,insertable part
189,145,align,Environment
190,146,\label,eq:alphagamma_weights
191,149,cases,Environment
192,158,\cite,"forman2018projections, RefWorks:doc:5b4cbc93e4b07f5746e47014"
193,160,enumerate,Environment
194,161,\item,N/A
195,162,\item,N/A
196,163,\item,N/A
197,164,\item,N/A
198,165,\item,RefWorks:doc:5b76ce32e4b0820c421f301d
199,165,\cite,RefWorks:doc:5b76ce32e4b0820c421f301d
200,167,\cite,RefWorks:doc:5b4cbc93e4b07f5746e47014
201,169,\cite,Nested
202,169,\cite,Nested
203,170,\cite,"RefWorks:doc:5b4cbc14e4b04428cc72cf41,RefWorks:doc:5b4cbc43e4b0185a9132aee9"
204,171,\cite,aldousweb
205,172,\cite,"forman2019diffusions, RefWorks:doc:5b720899e4b0fd36f5bb93a6, RefWorks:doc:5b720899e4b0874a74e5a439, forman2018aldous"
206,174,\ref,def:decoratedtrees
