,line num,Command
0,1,\documentclass
1,5,\usepackage
2,6,\usepackage
3,7,\usepackage
4,8,\usepackage
5,9,\usepackage
6,10,\usepackage
7,11,\usepackage
8,12,\usepackage
9,13,\usepackage
10,14,\usepackage
11,15,\usepackage
12,16,\usepackage
13,17,\usepackage
14,18,\usepackage
15,19,\usepackage
16,20,\usepackage
17,21,\usepackage
18,22,\usepackage
19,23,\usepackage
20,24,\usepackage
21,25,\usepackage
22,26,\usepackage
23,26,\ocircle
24,27,\usepackage
25,28,\usepackage
26,28,\sfrac
27,29,\usepackage
28,30,\usepackage
29,35,\bibliographystyle
30,36,\newcounter
31,39,\theoremstyle
32,41,\newtheorem
33,42,\newtheorem
34,43,\newtheorem
35,44,\newtheorem
36,45,\newtheorem
37,46,\newtheorem
38,47,\newtheorem
39,48,\newtheorem
40,49,\newtheorem
41,50,\newtheorem
42,51,\newtheorem
43,52,\newtheorem
44,53,\newtheorem
45,55,\usepackage
46,56,\declaretheorem
47,57,\renewcommand
48,57,\thetheoremletter
49,57,\Alph
50,59,\declaretheorem
51,60,\renewcommand
52,60,\thecorollaryletter
53,60,\Alph
54,62,\newtheorem
55,67,\theoremstyle
56,68,\newtheorem
57,69,\newtheorem
58,71,\newtheorem
59,72,\newtheorem
60,73,\newtheorem
61,75,\newtheorem
62,76,\newtheorem
63,77,\newtheorem
64,78,\newtheorem
65,79,\newtheorem
66,80,\newtheorem
67,81,\newtheorem
68,86,\renewcommand
69,86,\AA
70,86,\mathbb
71,87,\newcommand
72,87,\NN
73,87,\mathbb
74,88,\newcommand
75,88,\ZZ
76,88,\mathbb
77,89,\newcommand
78,89,\BB
79,89,\mathbb
80,91,\newcommand
81,91,\QQ
82,91,\mathbb
83,92,\newcommand
84,92,\RR
85,92,\mathbb
86,93,\newcommand
87,93,\CC
88,93,\mathbb
89,94,\newcommand
90,94,\KK
91,94,\mathbb
92,95,\newcommand
93,95,\TT
94,95,\mathbb
95,96,\newcommand
96,96,\MM
97,96,\mathbb
98,97,\newcommand
99,97,\GG
100,97,\mathbb
101,98,\newcommand
102,98,\HH
103,98,\mathbb
104,99,\newcommand
105,99,\FF
106,99,\mathbb
107,100,\newcommand
108,100,\F
109,100,\mathcal
110,101,\newcommand
111,101,\E
112,101,\mathcal
113,102,\newcommand
114,102,\D
115,102,\mathcal
116,104,\newcommand
117,104,\N
118,104,\mathcal
119,105,\newcommand
120,105,\A
121,105,\mathcal
122,106,\newcommand
123,106,\U
124,106,\mathcal
125,107,\newcommand
126,107,\Z
127,107,\mathcal
128,108,\newcommand
129,108,\R
130,108,\mathcal
131,109,\renewcommand
132,109,\H
133,109,\mathcal
134,110,\newcommand
135,110,\I
136,110,\mathcal
137,111,\renewcommand
138,111,\L
139,111,\mathcal
140,113,\renewcommand
141,113,\P
142,113,\mathcal
143,114,\newcommand
144,114,\C
145,114,\mathscr
146,115,\newcommand
147,115,\G
148,115,\mathscr
149,116,\newcommand
150,116,\M
151,116,\mathcal
152,117,\newcommand
153,117,\D
154,117,\mathscr
155,118,\newcommand
156,118,\K
157,118,\mathcal
158,119,\newcommand
159,119,\B
160,119,\mathscr
161,120,\newcommand
162,120,\J
163,120,\mathscr
164,121,\renewcommand
165,121,\H
166,121,\mathscr
167,122,\renewcommand
168,122,\S
169,122,\mathcal
170,123,\newcommand
171,123,\X
172,123,\mathcal
173,124,\renewcommand
174,124,\H
175,124,\operatorname
176,130,\newcommand
177,130,\mima
178,130,\sqrt
179,131,\newcommand
180,131,\partafl
181,131,\frac
182,131,\partial
183,131,\partial
184,132,\newcommand
185,132,\bh
186,132,\mathscr
187,132,\mathscr
188,133,\newcommand
189,133,\h
190,133,\mathscr
191,134,\newcommand
192,134,\ip
193,134,\left
194,134,\langle
195,134,\hspace
196,134,\hspace
197,134,\right
198,134,\rangle
199,135,\newcommand
200,135,\hip
201,135,\hspace
202,135,\hspace
203,136,\newcommand
204,136,\ipp
205,136,\ip
206,136,\cdot
207,136,\cdot
208,137,\newcommand
209,137,\hs
210,137,\mathscr
211,137,\hspace
212,138,\newcommand
213,138,\pre
214,138,\preceq
215,139,\newcommand
216,139,\FR
217,139,\mathscr
218,139,\hspace
219,140,\newcommand
220,140,\suc
221,140,\succeq
222,141,\newcommand
223,141,\bth
224,141,\mathscr
225,141,\tilde
226,141,\mathscr
227,142,\newcommand
228,142,\varps
229,142,\varepsilon
230,143,\newcommand
231,143,\rg
232,143,\operatorname
233,143,\hspace
234,144,\newcommand
235,144,\htens
236,144,\bar
237,144,\otimes
238,145,\newcommand
239,145,\vtens
240,145,\bar
241,145,\otimes
242,146,\newcommand
243,146,\tens
244,146,\otimes
245,147,\renewcommand
246,147,\Im
247,147,\operatorname
248,148,\renewcommand
249,148,\Re
250,148,\operatorname
251,149,\newcommand
252,149,\gtens
253,149,\hat
254,149,\otimes
255,150,\newcommand
256,150,\spann
257,150,\operatorname
258,151,\newcommand
259,151,\diag
260,151,\operatorname
261,152,\newcommand
262,152,\coker
263,152,\operatorname
264,152,\hspace
265,153,\newcommand
266,153,\card
267,153,\operatorname
268,154,\newcommand
269,154,\barr
270,154,\operatorname
271,155,\newcommand
272,155,\CB
273,155,\barr
274,156,\newcommand
275,156,\To
276,156,\longrightarrow
277,157,\newcommand
278,157,\HM
279,157,\operatorname
280,157,\texttt
281,158,\newcommand
282,158,\FGHM
283,158,\operatorname
284,158,\texttt
285,159,\newcommand
286,159,\FGPIP
287,159,\operatorname
288,159,\texttt
289,160,\newcommand
290,160,\RRR
291,160,\bar
292,160,\RR
293,161,\newcommand
294,161,\supp
295,161,\operatorname
296,162,\newcommand
297,162,\red
298,162,\operatorname
299,163,\newcommand
300,163,\Tor
301,163,\operatorname
302,164,\newcommand
303,164,\op
304,164,\operatorname
305,165,\newcommand
306,165,\Mod
307,165,\operatorname
308,166,\newcommand
309,166,\Hom
310,166,\operatorname
311,167,\newcommand
312,167,\Mor
313,167,\operatorname
314,168,\newcommand
315,168,\Aut
316,168,\operatorname
317,169,\renewcommand
318,169,\hom
319,169,\operatorname
320,170,\newcommand
321,170,\idem
322,170,\operatorname
323,170,\texttt
324,171,\newcommand
325,171,\id
326,171,\operatorname
327,172,\newcommand
328,172,\st
329,172,\operatorname
330,173,\newcommand
331,173,\tr
332,173,\operatorname
333,174,\newcommand
334,174,\ev
335,174,\operatorname
336,175,\newcommand
337,175,\e
338,175,\operatorname
339,176,\newcommand
340,176,\bet
341,176,\beta
342,177,\newcommand
343,177,\sa
344,177,\operatorname
345,178,\newcommand
346,178,\Ad
347,178,\operatorname
348,179,\newcommand
349,179,\note
350,179,\marginpar
351,179,\raggedleft
352,179,\scriptsize
353,180,\newcommand
354,180,\del
355,180,\partial
356,181,\newcommand
357,181,\dom
358,181,\operatorname
359,182,\newcommand
360,182,\vol
361,182,\operatorname
362,183,\newcommand
363,183,\hh
364,184,\newcommand
365,184,\gl
366,184,\mathfrak
367,185,\newcommand
368,185,\g
369,185,\mathfrak
370,186,\newcommand
371,186,\Alg
372,186,\operatorname
373,187,\newcommand
374,187,\alg
375,187,\operatorname
376,188,\newcommand
377,188,\MC
378,188,\operatorname
379,189,\newcommand
380,189,\FP
381,189,\operatorname
382,189,\mathbf
383,190,\newcommand
384,190,\tetxrm
385,190,\textrm
386,191,\renewcommand
387,191,\d
388,191,\operatorname
389,191,\hspace
390,192,\newcommand
391,192,\mat
392,192,\mathbb
393,193,\newcommand
394,193,\m
395,193,\mathbf
396,194,\newcommand
397,194,\utens
398,194,\underset
399,194,\tens
400,195,\newcommand
401,195,\Irred
402,195,\operatorname
403,196,\newcommand
404,196,\vna
405,196,\operatorname
406,197,\newcommand
407,197,\hooklongrightarrow
408,197,\lhook
409,197,\joinrel
410,197,\longrightarrow
411,198,\newcommand
412,198,\twoheadlongrightarrow
413,198,\relbar
414,198,\joinrel
415,198,\twoheadrightarrow
416,199,\newcommand
417,199,\NW
418,199,\operatorname
419,200,\newcommand
420,200,\FC
421,200,\operatorname
422,201,\newcommand
423,201,\tenrep
424,201,\mbox
425,201,\mbox
426,201,\scriptsize
427,201,\sf
428,202,\hspace
429,202,\bigcirc
430,203,\renewcommand
431,203,\int
432,203,\operatorname
433,204,\newcommand
434,204,\pfb
435,204,\bar
436,205,\newcommand
437,205,\pdb
438,205,\bar
439,205,\del
440,206,\newcommand
441,206,\full
442,206,\operatorname
443,207,\newcommand
444,207,\tensrep
445,207,\tenrep
446,208,\newcommand
447,208,\Tr
448,208,\operatorname
449,209,\newcommand
450,209,\minitenrep
451,209,\mbox
452,209,\mbox
453,209,\tiny
454,209,\sf
455,210,\hspace
456,210,\ocircle
457,211,\newcommand
458,211,\Pol
459,211,\operatorname
460,212,\newcommand
461,212,\sym
462,212,\operatorname
463,213,\newcommand
464,213,\conv
465,213,\operatorname
466,214,\newcommand
467,214,\I
468,214,\operatorname
469,215,\newcommand
470,215,\Ext
471,215,\operatorname
472,217,\renewcommand
473,217,\min
474,217,\operatorname
475,218,\newcommand
476,218,\maxx
477,218,\operatorname
478,220,\newcommand
479,220,\one
480,221,\newcommand
481,221,\two
482,222,\newcommand
483,222,\Corep
484,222,\operatorname
485,223,\newcommand
486,223,\T
487,223,\mathscr
488,225,\renewcommand
489,225,\leq
490,225,\leqslant
491,226,\renewcommand
492,226,\geq
493,226,\geqslant
494,227,\newcommand
495,227,\twoone
496,227,\operatorname
497,228,\newcommand
498,228,\mult
499,228,\operatorname
500,229,\newcommand
501,229,\bbb
502,229,\mathbbm
503,230,\newcommand
504,230,\im
505,230,\operatorname
506,231,\newcommand
507,231,\rtimesalg
508,231,\rtimes_
509,231,\alg
510,232,\newcommand
511,232,\rtimescom
512,232,\bar
513,232,\rtimes
514,233,\newcommand
515,233,\abexact
516,233,\phantom
517,233,\rightarrow
518,233,\textrm
519,234,\newcommand
520,234,\abflat
521,234,\phantom
522,234,\rightarrow
523,234,\textrm
524,235,\newcommand
525,235,\roed
526,235,\textcolor
527,236,\newcommand
528,236,\co
529,236,\operatorname
530,237,\newcommand
531,237,\all
532,237,\operatorname
533,238,\newcommand
534,238,\interior
535,238,\operatorname
536,239,\newcommand
537,239,\betred
538,239,\underline
539,239,\beta
540,240,\renewcommand
541,240,\Pr
542,240,\operatorname
543,241,\newcommand
544,241,\loc
545,241,\operatorname
546,242,\def
547,242,\slantfrac
548,242,\hbox
549,243,\newcommand
550,243,\unit
551,244,\newcommand
552,244,\mima
553,244,\sqrt
554,245,\newcommand
555,245,\betred
556,245,\underline
557,245,\beta
558,246,\newcommand
559,246,\Hred
560,246,\operatorname
561,246,\underline
562,247,\renewcommand
563,247,\H
564,247,\operatorname
565,249,\renewcommand
566,249,\i
567,249,\operatorname
568,250,\renewcommand
569,250,\a
570,250,\operatorname
571,251,\newcommand
572,251,\Proj
573,251,\operatorname
574,253,\newcommand
575,253,\mfg
576,253,\mathfrak
577,254,\newcommand
578,254,\mfh
579,254,\mathfrak
580,255,\newcommand
581,255,\mfk
582,255,\mathfrak
583,256,\newcommand
584,256,\Ug
585,256,\mathcal
586,256,\mathfrak
587,257,\newcommand
588,257,\Uh
589,257,\mathcal
590,257,\mathfrak
591,258,\newcommand
592,258,\Uk
593,258,\mathcal
594,258,\mathfrak
595,259,\newcommand
596,259,\Cohom
597,259,\operatorname
598,260,\newcommand
599,260,\Cohomc
600,260,\operatorname
601,261,\newcommand
602,261,\Coind
603,261,\operatorname
604,262,\newcommand
605,262,\davidcomment
606,262,\noindent
607,262,\newline
608,262,\color
609,262,\newline
610,263,\newcommand
611,263,\End
612,263,\operatorname
613,264,\newcommand
614,264,\Vect
615,264,\operatorname
616,265,\newcommand
617,265,\Der
618,265,\operatorname
619,266,\newcommand
620,266,\res
621,266,\operatorname
622,267,\newcommand
