,Line num,Command,Notes
0,1,\documentclass,amsart
1,2,\usepackage,amsmath
2,3,\usepackage,cases
3,4,\usepackage,amsfonts
4,5,\usepackage,hyperref
5,6,\usepackage,"latexsym, amssymb, amsmath, amsthm, bbm"
6,7,\usepackage,xy
7,8,\usepackage,pgfplots
8,9,\DeclareSymbolFont,N/A
9,10,\DeclareMathSymbol,N/A
10,10,\euintop,N/A
11,10,\mathop,N/A
12,11,\DeclareMathSymbol,N/A
13,11,\euointop,N/A
14,11,\mathop,N/A
15,12,\let,N/A
16,12,\intop,N/A
17,12,\euintop,N/A
18,13,\let,N/A
19,13,\ointop,N/A
20,13,\euointop,N/A
21,14,\allowdisplaybreaks,N/A
22,15,\setlength,N/A
23,15,\textwidth,N/A
24,16,\setlength,N/A
25,16,\textheight,N/A
26,17,\setlength,N/A
27,17,\topmargin,N/A
28,18,\setlength,N/A
29,18,\parindent,N/A
30,19,\addtolength,N/A
31,19,\parskip,N/A
32,20,\def,Nested
33,20,\id,Nested
34,20,\operatorname,Nested
35,21,\def,Nested
36,21,\ker,Nested
37,21,\operatorname,Nested
38,22,\def,Nested
39,22,\ord,Nested
40,22,\operatorname,Nested
41,23,\def,Nested
42,23,\mi,Nested
43,23,\operatorname,Nested
44,24,\def,Nested
45,24,\im,Nested
46,24,\operatorname,Nested
47,25,\def,Nested
48,25,\io,Nested
49,25,\operatorname,Nested
50,26,\def,Nested
51,26,\c,Nested
52,26,\mathbb,Nested
53,27,\def,Nested
54,27,\C,Nested
55,27,\mathcal,Nested
56,28,\def,Nested
57,28,\D,Nested
58,29,\def,Nested
59,29,\d,Nested
60,30,\def,Nested
61,30,\dl,Nested
62,30,\d_,Nested
63,31,\def,Nested
64,31,\dr,Nested
65,31,\d_,Nested
66,32,\def,Nested
67,32,\e,Nested
68,32,\varepsilon,Nested
69,33,\def,Nested
70,33,\M,Nested
71,33,\mathrm,Nested
72,34,\def,Nested
73,34,\N,Nested
74,34,\mathbb,Nested
75,35,\def,Nested
76,35,\Z,Nested
77,35,\mathbb,Nested
78,36,\def,Nested
79,36,\unit,Nested
80,36,\mathbbm,Nested
81,37,\def,Nested
82,37,\k,Nested
83,37,\mathbbm,Nested
84,38,\def,Nested
85,38,\To,Nested
86,38,\longrightarrow,Nested
87,39,\def,Nested
88,39,\dim,Nested
89,39,\operatorname,Nested
90,40,\def,Nested
91,40,\gr,Nested
92,40,\operatorname,Nested
93,41,\def,Nested
94,41,\Hom,Nested
95,41,\operatorname,Nested
96,42,\def,Nested
97,42,\H,Nested
98,42,\operatorname,Nested
99,43,\def,Nested
100,43,\T,Nested
101,43,\operatorname,Nested
102,44,\def,Nested
103,44,\Ind,Nested
104,44,\operatorname,Nested
105,45,\def,Nested
106,45,\Id,Nested
107,45,\operatorname,Nested
108,46,\def,Nested
109,46,\ord,Nested
110,46,\operatorname,Nested
111,47,\def,Nested
112,47,\Rep,Nested
113,47,\operatorname,Nested
114,48,\def,Nested
115,48,\Ext,Nested
116,48,\operatorname,Nested
117,49,\def,Nested
118,49,\Aut,Nested
119,49,\operatorname,Nested
120,50,\def,Nested
121,50,\id,Nested
122,50,\operatorname,Nested
123,51,\def,Nested
124,51,\ker,Nested
125,51,\operatorname,Nested
126,52,\def,Nested
127,52,\Corep,Nested
128,52,\operatorname,Nested
129,53,\def,Nested
130,53,\im,Nested
131,53,\operatorname,Nested
132,54,\def,Nested
133,54,\io,Nested
134,54,\operatorname,Nested
135,55,\def,Nested
136,55,\c,Nested
137,55,\mathbb,Nested
138,56,\def,Nested
139,56,\C,Nested
140,56,\mathcal,Nested
141,57,\def,Nested
142,57,\D,Nested
143,58,\def,Nested
144,58,\d,Nested
145,59,\def,Nested
146,59,\dl,Nested
147,59,\d_,Nested
148,60,\def,Nested
149,60,\dr,Nested
150,60,\d_,Nested
151,61,\def,Nested
152,61,\e,Nested
153,61,\varepsilon,Nested
154,62,\def,Nested
155,62,\M,Nested
156,62,\mathrm,Nested
157,63,\def,Nested
158,63,\N,Nested
159,63,\mathbb,Nested
160,64,\def,Nested
161,64,\S,Nested
162,64,\mathcal,Nested
163,65,\def,Nested
164,65,\Z,Nested
165,65,\mathbb,Nested
166,66,\def,Nested
167,66,\unit,Nested
168,66,\mathbbm,Nested
169,67,\numberwithin,N/A
170,68,\newtheorem,N/A
171,69,\newtheorem,N/A
172,70,\newtheorem,N/A
173,71,\newtheorem,N/A
174,72,\newtheorem,N/A
175,73,\newtheorem,N/A
176,74,\newtheorem,N/A
177,75,\newtheorem,N/A
178,76,\newtheorem,N/A
179,77,\newtheorem,N/A
180,78,\newtheorem,N/A
181,79,document,Environment
182,80,\title,On the quasitriangular structures of abelian extensions of  
183,81,\thanks, Supported by NSFC 11722016.
184,82,\subjclass,"16T05 (primary), 16T25 (secondary)"
185,83,\keywords,"Quasitriangular Hopf algebra, Abelian extension."
186,84,\author,Kun Zhou and Gongxiang Liu
187,85,\address,N/A
188,85,\email,N/A
189,86,\date,
190,87,\maketitle,N/A
191,88,abstract,Environment
192,91,\section,Introduction
193,92,\cite,W
194,95,\cite,Kac
195,96,\cite,Nested
196,96,\cite,Nested
197,99,\cite,"D,M2"
198,106,\section,Abelian extensions of   and examples
199,108,\subsection,The definition of  
200,109,definition,Environment
201,112,equation,Environment
202,113,\xrightarrow,N/A
203,113,\xrightarrow,N/A
204,116,itemize,Environment
205,117,\item,N/A
206,118,\item,N/A
207,120,\item,N/A
208,123,\cite,Nested
209,123,\eqref,Nested
210,125,equation,Environment
211,126,\Bbbk,N/A
212,126,\xrightarrow,N/A
213,126,\xrightarrow,N/A
214,126,\Bbbk,N/A
215,126,\mathbb,N/A
216,129,\cite,M3
217,131,itemize,Environment
218,132,\item,N/A
219,133,\item,N/A
220,134,\item,N/A
221,137,definition,Environment
222,140,equation,Environment
223,141,\delta_,N/A
224,141,\triangleleft,N/A
225,141,\sum,N/A
226,141,\limits_,N/A
227,141,\in,N/A
228,141,\in,N/A
229,144,align,Environment
230,145,\sum_,N/A
231,145,\in,N/A
232,145,\otimes,N/A
233,145,\otimes,N/A
234,145,\delta_,N/A
235,145,\mathcal,N/A
236,145,\sum_,N/A
237,145,\in,N/A
238,145,\tau,N/A
239,145,\triangleleft,N/A
240,145,\mathcal,N/A
241,145,\in,N/A
242,148,\subsection,Examples
243,149,example,Environment
244,150,\emph,Nested
245,150,\emph,the generalized Kac-Paljutkin algebra
246,150,\emph,Nested
247,150,\emph,the generalized Kac-Paljutkin algebra
248,150,\cite,Nested
249,150,\emph,the generalized Kac-Paljutkin algebra
250,151,itemize,Environment
251,152,\item,N/A
252,153,\item,N/A
253,154,\item,N/A
254,156,\emph,"Among of them, if we take   then the resulting Hopf algebra is just the well-known Kac-Paljutkin 8-dimensional algebra   That's the reason why we call   the generalized Kac-Paljutkin algebra."
255,159,example,Environment
256,160,\emph, Let   be a natural number. A Hopf algebra   belonging to   is denoted by   if the data   of   satisfies
257,161,itemize,Environment
