,Line num,Command
0,1,\documentclass
1,2,\title
2,3,\author
3,4,\date
4,7,\usepackage
5,8,\usepackage
6,9,\usepackage
7,10,\usepackage
8,11,\usepackage
9,13,\setcounter
10,14,\renewcommand
11,14,\theenumi
12,14,\arabic
13,16,\makeatletter
14,17,\renewcommand
15,17,\subsection
16,17,\baselineskip
17,17,\bfseries
18,17,\normalsize
19,18,\makeatother
20,21,\newcounter
21,30,\newcounter
22,33,\numberwithin
23,35,\makeatletter
24,36,\def
25,36,\enumfix
26,37,\if
27,38,\noindent
28,38,\par
29,38,\nobreak
30,38,\vskip
31,38,\topsep
32,38,\hrule
33,38,\z
34,39,\fi
35,40,\let
36,40,\oldenumerate
37,40,\enumerate
38,41,\def
39,41,\enumerate
40,41,\enumfix
41,41,\oldenumerate
42,42,\let
43,42,\oldthmlist
44,42,\thmlist
45,43,\def
46,43,\thmlist
47,43,\enumfix
48,43,\oldthmlist
49,44,\makeatother
50,46,\theoremstyle
51,47,\newtheorem
52,48,\newtheorem
53,49,\newtheorem
54,50,\newtheorem
55,51,\newtheorem
56,52,\newtheorem
57,54,\newtheoremstyle
58,54,\bfseries
59,54,\newline
60,56,\theoremstyle
61,57,\newtheorem
62,58,\newtheorem
63,59,\newtheorem
64,61,\parindent0em
65,62,\parskip2ex
66,65,\newcommand
67,65,\dm
68,65,\operatorname
69,66,\newcommand
70,66,\ord
71,66,\operatorname
72,67,\newcommand
73,67,\card
74,67,\operatorname
75,68,\newcommand
76,68,\Md
77,68,\operatorname
78,69,\newcommand
79,69,\Ch
80,69,\operatorname
81,70,\newcommand
82,70,\End
83,70,\operatorname
84,71,\newcommand
85,71,\Aut
86,71,\operatorname
87,72,\newcommand
88,72,\Irr
89,72,\operatorname
90,73,\newcommand
91,73,\Ind
92,73,\operatorname
93,74,\newcommand
94,74,\Span
95,74,\operatorname
96,75,\newcommand
97,75,\im
98,75,\operatorname
99,76,\newcommand
100,76,\Kern
101,76,\operatorname
102,77,\newcommand
103,77,\Hom
104,77,\operatorname
105,78,\newcommand
106,78,\id
107,78,\operatorname
108,79,\newcommand
109,79,\co
110,79,\scriptstyle
111,79,\operatorname
112,80,\newcommand
113,80,\ot
114,80,\mathbin
115,80,\otimes
116,81,\newcommand
117,81,\deq
118,81,\vcentcolon
119,82,\newcommand
120,82,\sbb
121,83,\newcommand
122,83,\ua
123,84,\newcommand
124,84,\ub
125,85,\newcommand
126,85,\K
127,87,\newcommand
128,87,\xu
129,88,\newcommand
130,88,\yu
131,89,\newcommand
132,89,\uu
133,90,\newcommand
134,90,\vu
135,91,\newcommand
136,91,\ru
137,92,\newcommand
138,92,\su
139,93,\newcommand
140,93,\au
141,94,\newcommand
142,94,\omu
143,95,\newcommand
144,95,\etu
145,96,\newcommand
146,96,\cu
147,97,\newcommand
148,97,\du
149,98,\newcommand
150,98,\hu
151,99,\newcommand
152,99,\Au
153,100,\newcommand
154,100,\Bu
155,102,\newcommand
156,102,\1
157,103,\newcommand
158,103,\2
159,104,\newcommand
160,104,\3
161,106,\newcommand
162,106,\ra
163,106,\rightarrow
164,108,\newcommand
165,108,\ma
166,108,\mu_
167,109,\newcommand
168,109,\mb
169,109,\mu_
170,110,\newcommand
171,110,\mc
172,110,\mu_
173,111,\newcommand
174,111,\da
175,111,\Delta_
176,112,\newcommand
177,112,\db
178,112,\Delta_
179,114,\newcommand
180,114,\ea
181,114,\varepsilon_
182,115,\newcommand
183,115,\eb
184,115,\varepsilon_
185,116,\newcommand
186,116,\eh
187,116,\varepsilon_
188,117,\newcommand
189,117,\el
190,117,\varepsilon
191,118,\newcommand
192,118,\elp
193,118,\varepsilon
194,119,\newcommand
195,119,\es
196,119,\varepsilon
197,120,\newcommand
198,120,\sa
199,121,\newcommand
200,121,\sd
201,122,\newcommand
202,122,\sh
203,123,\newcommand
204,123,\A
205,124,\newcommand
206,124,\B
207,125,\newcommand
208,125,\Z
209,125,\mathbb
210,126,\newcommand
211,126,\HH
212,127,\newcommand
213,127,\dhh
214,127,\Delta_
215,130,\hyphenation
216,131,\hyphenation
217,132,\hyphenation
218,133,\hyphenation
219,138,document
220,141,\maketitle
221,143,abstract
222,144,\noindent
223,152,\section
224,152,\label
225,154,\cite
226,154,\cite
227,154,\cite
228,154,\cite
229,154,\cite
230,154,\cite
231,154,\cite
232,156,\cite
233,156,\cite
234,156,\cite
235,156,\ref
236,158,\ref
237,158,\ref
238,158,\cite
239,158,\ref
240,158,\ref
241,160,\ref
242,160,\cite
243,162,\dm
244,162,\dm
245,164,\ref
246,164,\mbox
247,164,\pi_N
248,164,\colon
249,164,\to
250,164,\pi_N
251,166,\dm
252,166,\dm
253,166,\ref
254,168,\ref
255,168,\ref
256,170,\dm
257,170,\dm
258,170,\cong
259,171,\mbox
260,171,\cong
261,173,\ref
262,175,\dm
263,175,\dm
264,175,\cong
265,175,\cong
266,177,\cite
267,177,\mbox
268,177,\ref
269,179,\times
270,179,\setminus
271,181,\Hom
272,183,\mbox
273,183,\hat
274,183,\Hom
275,183,\times
276,185,\bf
277,185,\ldots
278,185,\langle
279,185,\ldots
280,185,\rangle
281,185,\ldots
282,185,\langle
283,185,\ldots
284,185,\rangle
285,185,\deq
286,185,\ker
287,185,\eh
288,185,\bar
289,185,\subset
290,189,\cite
291,192,\section
292,192,\label
293,193,\subsection
294,193,\label
295,194,\dhh
296,194,\eh
297,194,\sh
298,195,equation
299,196,\1
300,196,\1
301,196,\ot
302,196,\2
303,196,\2
304,197,\left
305,197,\1
306,197,\right
307,197,\1
308,197,\2
309,197,\ot
310,197,\left
311,197,\1
312,197,\right
313,197,\2
314,199,\in
315,199,\in
316,200,equation
317,201,\1
318,201,\ot
319,201,\2
320,201,\in
321,201,\ot
322,204,\sigma_
323,204,\colon
324,204,\ot
325,204,\rightarrow
326,204,\ot
327,205,equation
328,206,\sigma_
329,206,\left
330,206,\ot
331,206,\right
332,206,\1
333,206,\ot
334,206,\2
335,209,parlist
336,210,\item
337,212,equation
338,213,\varphi
339,213,\left
340,213,\ot
341,213,\varphi
342,213,\right
343,213,\circ
344,213,\label
345,215,\in
346,215,\varphi
347,215,\in
348,216,\varphi
349,216,\varphi
350,216,\1
351,216,\ot
352,216,\varphi
353,216,\2
354,216,\in
355,216,\ot
356,217,equation
357,218,\varphi
358,218,\1
359,218,\varphi
360,218,\2
361,218,\varphi
362,218,\label
363,220,\varphi
364,220,\in
365,220,\in
366,220,\in
367,220,\cite
368,222,\item
369,223,\mu_
370,223,\mu_
371,223,\eta_
372,223,\eta_
373,223,\ot
374,225,\eta_
375,225,\ot
376,225,\eta_
377,225,\ot
378,225,\eta_
379,227,\item
380,228,\ot
381,230,\left
382,230,\right
383,230,\1
384,230,\ot
385,230,\2
386,232,\cite
387,236,\subsection
388,236,\label
389,237,\cite
