,Line num,Command,Notes
0,1,\documentclass,article
1,2,\usepackage,geometry
2,3,\geometry,N/A
3,9,\textheight,N/A
4,10,\usepackage,amsthm
5,11,\usepackage,amssymb
6,12,\usepackage,amsmath
7,13,\usepackage,eufrak
8,14,\newtheorem,N/A
9,15,\newtheorem,N/A
10,16,\newtheorem,N/A
11,17,\newtheorem,N/A
12,18,\newtheorem,N/A
13,19,\newtheorem,N/A
14,20,\newtheorem,N/A
15,21,\newtheorem,N/A
16,22,\newtheorem,N/A
17,23,\newtheorem,N/A
18,24,document,Environment
19,25,\def,Nested
20,25,\F,Nested
21,25,\mathbb,Nested
22,26,\title,N/A
23,28,\author,Agata Smoktunowicz
24,29,\date,
25,30,\maketitle,N/A
26,31,abstract,Environment
27,42,\section,Introduction
28,43,\cite,Rump
29,51,question,Environment
30,56,question,Environment
31,62,\cite,Nested
32,62,\cite,Nested
33,64,\cite,Rump
34,68,\cite,Nested
35,68,\cite,Rump
36,68,\cite,Bai
37,68,\cite,Nested
38,68,\cite,Rump
39,68,\cite,Bai
40,68,\cite,Nested
41,68,\cite,Rump
42,68,\cite,Bai
43,68,\cite,Nested
44,68,\cite,Rump
45,68,\cite,Bai
46,70,\cite,gateva
47,71,\cite,DB
48,73,\cite,Nested
49,73,\cite,Nested
50,75,\cite,Nested
51,75,\cite,cjo
52,75,\cite,Nested
53,75,\cite,cjo
54,75,\cite,Nested
55,75,\cite,cjo
56,76,\cite,Agatka1
57,80,\section,Background information
58,81,\rightarrow,N/A
59,86,\em,N/A
60,90,\cite,rump
61,91,\cite,cjo
62,92,\cite,cjo
63,93,\cite,Catino
64,97,\cite,rump
65,106,\cite,Engel
66,112,\cite,Engel
67,113,\cite,Nested
68,113,\cite,Nested
69,115,\cite,kinneart
70,116,\cite,JespersLeandro
71,118,\section,N/A
72,118,\label,N/A
73,119,\cite,Nested
74,119,\cite,Nested
75,121,\cite,Nested
76,121,\cite,Nested
77,122,\cite,Rump
78,123,\cite,Nested
79,123,\cite,M
80,123,\cite,Rump
81,123,\cite,Nested
82,123,\cite,M
83,123,\cite,Rump
84,123,\cite,Nested
85,123,\cite,M
86,123,\cite,Rump
87,123,\cite,Nested
88,123,\cite,M
89,123,\cite,Rump
90,124,enumerate,Environment
91,125,\item,N/A
92,129,\item,N/A
93,130,\cite,M
94,133,\item,N/A
95,135,\cite,M
96,135,\bf,M
97,137,\item,N/A
98,138,\cite,AG
99,148,\cite,M
100,149,\em,Nested
101,150,\cite,Nested
102,150,\cite,Nested
103,156,\frac,Nested
104,156,\cdots,Nested
105,157,\cite,Nested
106,157,\cite,Nested
107,158,\bf,Nested
108,162,\frac,Nested
109,162,\cdot,Nested
110,163,\in,
111,164,\cite,M
112,170,theorem,Environment
113,177,proof,Environment
114,181,question,Environment
115,185,question,Environment
116,189,\section,Some supporting lemmas
117,191,\cite,Engel
118,192,lemma,Environment
119,206,\ref,4
120,207,lemma,Environment
121,219,proof,Environment
122,221,\ref,fajny
123,227,\ref,fajny
124,233,\ref,fajny
125,235,\ref,fajny
126,240,\ref,fajny
127,260,lemma,Environment
128,267,\alpha,N/A
129,268,\in,N/A
130,268,\mathbb,N/A
131,268,\in,N/A
132,271,proof,Environment
133,279,\ref,Nested
134,279,\cdot,Nested
135,279,\rightarrow,Nested
136,279,\infty,Nested
137,281,\frac,N/A
138,281,\frac,N/A
139,282,\rightarrow,N/A
140,282,\infty,N/A
141,282,\frac,N/A
142,282,\frac,N/A
143,287,\ref,newest
144,293,\section,N/A
145,293,\label,N/A
146,300,theorem,Environment
147,307,proof,Environment
148,308,\ref,newest
149,310,\ref,fajny
150,315,\ref,newest
151,321,\ref,sund
152,323,\section,N/A
153,323,\label,N/A
154,327,proposition,Environment
155,330,\ref,mi
156,331,\mathbb,N/A
157,332,\mathbb,N/A
158,338,proof,Environment
159,339,\ref,1
160,341,\ref,1
161,342,theorem,Environment
162,345,\ref,main
163,348,\circ,N/A
164,349,\ref,mi
165,351,proof,Environment
166,352,\ref,newest
167,355,\ref,fajny
168,359,\circ,N/A
169,361,\ref,Nested
170,361,\ref,Nested
171,365,\ref,Nested
172,365,\ref,Nested
173,366,corollary,Environment
174,373,thebibliography,Environment
175,374,\bibitem,N/A
176,374,\em,N/A
177,376,\bibitem,N/A
178,376,\em,N/A
179,378,\bibitem,djc
180,379,\em,N/A
181,381,\bibitem,Bai
182,384,\bibitem,Burde
183,385,\em,Nested
184,386,\bibitem,N/A
185,386,\em,N/A
186,388,\bibitem,Catino
187,388,\em,Catino
188,391,\bibitem,N/A
189,391,\em,N/A
190,393,\bibitem,doikou
191,393,\em,doikou
192,395,\bibitem,N/A
193,395,\em,N/A
194,396,\bibitem,new
195,397,\L,N/A
196,397,\em,N/A
197,398,\bibitem,N/A
198,398,\L,N/A
199,399,\em,Nested
200,401,\bibitem,N/A
201,401,\em,N/A
202,403,\bibitem,N/A
203,403,\em,N/A
204,405,\bibitem,N/A
205,405,\em,N/A
206,406,\bibitem,N/A
207,406,\em,N/A
208,408,\bibitem,N/A
209,408,\em,N/A
210,410,\bibitem,Agatka1
211,410,\em,Agatka1
212,412,\bf,Nested
213,413,\bibitem,Engel
214,413,\em,Engel
215,415,\bibitem,N/A
216,415,\em,N/A
