,Line num,Command
0,2,\documentclass
1,3,\usepackage
2,4,\usepackage
3,5,\usepackage
4,6,\allowdisplaybreaks
5,7,\usepackage
6,8,\usepackage
7,9,\usepackage
8,10,\usepackage
9,11,\usepackage
10,14,\renewcommand
11,14,\theequation
12,14,\arabic
13,14,\arabic
14,15,\vsize
15,15,\hsize
16,15,\topmargin
17,16,\oddsidemargin
18,16,\evensidemargin
19,17,\textheight
20,17,\textwidth
21,17,\flushbottom
22,18,\def
23,18,\vbar
24,18,\mathchoice
25,18,\vrule
26,18,\kern
27,18,\vrule
28,18,\kern
29,18,\vrule
30,19,\kern
31,19,\vrule
32,20,\kern
33,23,\def
34,23,\langle
35,24,\def
36,24,\rangle
37,25,\def
38,25,\a
39,25,\alpha
40,26,\def
41,26,\b
42,26,\beta
43,27,\def
44,27,\bd
45,27,\boxdot
46,28,\def
47,28,\btl
48,28,\blacktriangleleft
49,29,\def
50,29,\btr
51,29,\blacktriangleright
52,30,\def
53,30,\c
54,30,\cdot
55,31,\def
56,31,\cl
57,31,\circledcirc
58,32,\def
59,32,\d
60,33,\def
61,33,\D
62,34,\def
63,34,\di
64,34,\diamond
65,35,\def
66,35,\e
67,36,\def
68,36,\g
69,37,\def
70,37,\G
71,39,\def
72,39,\kf
73,39,\qurt
74,40,\def
75,40,\l
76,41,\def
77,41,\lr
78,41,\longrightarrow
79,42,\def
80,42,\lh
81,42,\leftharpoonup
82,43,\def
83,43,\o
84,43,\otimes
85,44,\def
86,44,\om
87,45,\def
88,45,\oo
89,45,\infty
90,46,\def
91,46,\f
92,47,\def
93,47,\p
94,48,\def
95,48,\r
96,48,\rho
97,49,\def
98,49,\ra
99,49,\rightarrow
100,50,\def
101,50,\rh
102,50,\rightharpoonup
103,51,\def
104,51,\su
105,51,\sum
106,52,\def
107,52,\s
108,53,\def
109,53,\th
110,53,\theta
111,54,\def
112,54,\tr
113,54,\triangleright
114,55,\def
115,55,\tl
116,55,\triangleleft
117,56,\def
118,56,\t
119,56,\tau
120,57,\def
121,57,\v
122,58,\def
123,58,\vp
124,58,\varphi
125,59,\def
126,59,\wh
127,59,\widehat
128,60,\def
129,60,\sw
130,60,\swarrow
131,61,\def
132,61,\nw
133,61,\nwarrow
134,62,\def
135,62,\ne
136,62,\nearrow
137,63,\def
138,63,\se
139,63,\searrow
140,64,\def
141,64,\pt
142,64,\prec
143,65,\def
144,65,\gr
145,65,\succ
146,66,\def
147,66,\o
148,66,\circ
149,69,\newtheorem
150,70,\newtheorem
151,71,\newtheorem
152,72,\newtheorem
153,73,\newtheorem
154,74,\newtheorem
155,75,\newtheorem
156,76,\newtheorem
157,77,\theoremstyle
158,78,\newtheorem
159,81,\date
160,83,document
161,84,\title
162,85,\author
163,86,\author
164,86,\normalsize
165,86,\bf
166,86,\small
167,86,\footnote
168,86,\small
169,86,\footnote
170,86,\small
171,86,\footnote
172,87,\date
173,87,\small
174,88,\small
175,89,\small
176,91,\maketitle
177,94,\maketitle
178,95,abstract
179,103,\noindent
180,103,\textbf
181,103,\mathcal
182,104,\noindent
183,104,\textbf
184,105,\tableofcontents
185,106,\section
186,109,\cite
187,112,\cite
188,113,\cite
189,113,\cite
190,113,\cite
191,113,\cite
192,113,\cite
193,114,\cite
194,114,\cite
195,114,\cite
196,115,\cite
197,115,\cite
198,115,\cite
199,116,\cite
200,116,\cite
201,118,\cite
202,119,\cite
203,122,\cite
204,123,\cite
205,124,\cite
206,124,\cite
207,126,\cite
208,128,\cite
209,132,\cite
210,133,\cite
211,137,\cite
212,137,\cite
213,137,\cite
214,137,\cite
215,150,\mathbb
216,153,\section
217,155,\label
218,158,\cite
219,159,\otimes
220,159,\rightarrow
221,159,\alpha
222,159,\rightarrow
223,160,equation
224,161,split
225,162,\alpha
226,162,\alpha
227,163,\alpha
228,166,\in
229,166,\leq
230,166,\leq
231,167,\a
232,167,\circ
233,167,\a
234,167,\otimes
235,168,\in
236,169,equation
237,170,\wedge
238,170,\to
239,170,\quad
240,170,\quad
241,170,\forall
242,170,\in
243,172,\label
244,173,align
245,174,\alpha
246,174,\alpha
247,177,\in
248,177,\alpha_1
249,177,\rightarrow
250,177,\alpha_2
251,177,\in
252,178,align
253,180,\circ
254,180,\alpha_1
255,180,\alpha_2
256,180,\circ
257,203,\cite
258,204,defi
259,205,\alpha
260,205,\to
