,Line num,Command,Notes
0,1,\documentclass,amsart
1,2,\usepackage,color
2,3,\usepackage,"amsthm,amsfonts,amssymb,amsmath,amsxtra,tikz-cd"
3,4,\usepackage,float
4,5,\restylefloat,table
5,6,\usepackage,tikz-cd
6,7,\usepackage,tikz
7,8,\usetikzlibrary,arrows
8,9,\usepackage,graphicx
9,10,\usepackage,"todonotes,cancel"
10,11,\newcommand,\htodo -> \todo
11,12,\newcommand,\blue -> {\color{blue}#1}
12,13,\newcommand,\red -> {\color{red}#1}
13,14,\newcommand,\green -> {\color{green}#1}
14,15,\newcommand,\white -> {\color{white}#1}
15,16,\usepackage,xy
16,17,\SelectTips,N/A
17,18,\usepackage,xr-hyper
18,19,\usepackage,hyperref
19,20,\usepackage,verbatim
20,21,\usepackage,geometry
21,22,\usepackage,mathrsfs
22,23,\newcommand,\remind -> {\bf ** #1 **}
23,24,\RequirePackage,xspace
24,25,\RequirePackage,etoolbox
25,26,\RequirePackage,varwidth
26,27,\RequirePackage,enumitem
27,28,\RequirePackage,tensor
28,29,\RequirePackage,mathtools
29,30,\RequirePackage,longtable
30,31,\RequirePackage,multirow
31,32,\setcounter,N/A
32,33,\def,Nested
33,33,\ge,Nested
34,33,\geqslant,Nested
35,34,\def,Nested
36,34,\le,Nested
37,34,\leqslant,Nested
38,35,\def,Nested
39,35,\a,Nested
40,35,\alpha,Nested
41,36,\def,Nested
42,36,\b,Nested
43,36,\beta,Nested
44,37,\def,Nested
45,37,\g,Nested
46,38,\def,Nested
47,38,\G,Nested
48,39,\def,Nested
49,39,\d,Nested
50,40,\def,Nested
51,40,\D,Nested
52,41,\def,Nested
53,41,\L,Nested
54,42,\def,Nested
55,42,\e,Nested
56,43,\def,Nested
57,43,\et,Nested
58,44,\def,Nested
59,44,\io,Nested
60,45,\def,Nested
61,45,\o,Nested
62,46,\def,Nested
63,46,\p,Nested
64,47,\def,Nested
65,47,\ph,Nested
66,48,\def,Nested
67,48,\ps,Nested
68,49,\def,Nested
69,49,\s,Nested
70,50,\def,Nested
71,50,\t,Nested
72,50,\tau,Nested
73,51,\def,Nested
74,51,\th,Nested
75,51,\theta,Nested
76,52,\def,Nested
77,52,\k,Nested
78,53,\def,Nested
79,53,\l,Nested
80,54,\def,Nested
81,54,\z,Nested
82,55,\def,Nested
83,55,\v,Nested
84,55,\vartheta,Nested
85,56,\def,Nested
86,56,\x,Nested
87,56,\xi,Nested
88,57,\def,^{-1
89,57,\i,^{-1
90,58,\def,Nested
91,58,\ui,Nested
92,58,\underline,Nested
93,59,\def,Nested
94,59,\uj,Nested
95,59,\underline,Nested
96,60,\def,Nested
97,60,\langle,Nested
98,61,\def,Nested
99,61,\rangle,Nested
100,62,\newcommand,\sA -> \ensuremath{\mathscr{A}}\xspace
101,63,\newcommand,\sB -> \ensuremath{\mathscr{B}}\xspace
102,64,\newcommand,\sC -> \ensuremath{\mathscr{C}}\xspace
103,65,\newcommand,\sD -> \ensuremath{\mathscr{D}}\xspace
104,66,\newcommand,\sE -> \ensuremath{\mathscr{E}}\xspace
105,67,\newcommand,\sF -> \ensuremath{\mathscr{F}}\xspace
106,68,\newcommand,\sG -> \ensuremath{\mathscr{G}}\xspace
107,69,\newcommand,\sH -> \ensuremath{\mathscr{H}}\xspace
108,70,\newcommand,\sI -> \ensuremath{\mathscr{I}}\xspace
109,71,\newcommand,\sJ -> \ensuremath{\mathscr{J}}\xspace
110,72,\newcommand,\sK -> \ensuremath{\mathscr{K}}\xspace
111,73,\newcommand,\sL -> \ensuremath{\mathscr{L}}\xspace
112,74,\newcommand,\sM -> \ensuremath{\mathscr{M}}\xspace
113,75,\newcommand,\sN -> \ensuremath{\mathscr{N}}\xspace
114,76,\newcommand,\sO -> \ensuremath{\mathscr{O}}\xspace
115,77,\newcommand,\sP -> \ensuremath{\mathscr{P}}\xspace
116,78,\newcommand,\sQ -> \ensuremath{\mathscr{Q}}\xspace
117,79,\newcommand,\sR -> \ensuremath{\mathscr{R}}\xspace
118,80,\newcommand,\sS -> \ensuremath{\mathscr{S}}\xspace
119,81,\newcommand,\sT -> \ensuremath{\mathscr{T}}\xspace
120,82,\newcommand,\sU -> \ensuremath{\mathscr{U}}\xspace
121,83,\newcommand,\sV -> \ensuremath{\mathscr{V}}\xspace
122,84,\newcommand,\sW -> \ensuremath{\mathscr{W}}\xspace
123,85,\newcommand,\sX -> \ensuremath{\mathscr{X}}\xspace
124,86,\newcommand,\sY -> \ensuremath{\mathscr{Y}}\xspace
125,87,\newcommand,\sZ -> \ensuremath{\mathscr{Z}}\xspace
126,88,\newcommand,\fka -> \ensuremath{\mathfrak{a}}\xspace
127,89,\newcommand,\fkb -> \ensuremath{\mathfrak{b}}\xspace
128,90,\newcommand,\fkc -> \ensuremath{\mathfrak{c}}\xspace
129,91,\newcommand,\fkd -> \ensuremath{\mathfrak{d}}\xspace
130,92,\newcommand,\fke -> \ensuremath{\mathfrak{e}}\xspace
131,93,\newcommand,\fkf -> \ensuremath{\mathfrak{f}}\xspace
132,94,\newcommand,\fkg -> \ensuremath{\mathfrak{g}}\xspace
133,95,\newcommand,\fkh -> \ensuremath{\mathfrak{h}}\xspace
134,96,\newcommand,\fki -> \ensuremath{\mathfrak{i}}\xspace
135,97,\newcommand,\fkj -> \ensuremath{\mathfrak{j}}\xspace
136,98,\newcommand,\fkk -> \ensuremath{\mathfrak{k}}\xspace
137,99,\newcommand,\fkl -> \ensuremath{\mathfrak{l}}\xspace
138,100,\newcommand,\fkm -> \ensuremath{\mathfrak{m}}\xspace
139,101,\newcommand,\fkn -> \ensuremath{\mathfrak{n}}\xspace
140,102,\newcommand,\fko -> \ensuremath{\mathfrak{o}}\xspace
141,103,\newcommand,\fkp -> \ensuremath{\mathfrak{p}}\xspace
142,104,\newcommand,\fkq -> \ensuremath{\mathfrak{q}}\xspace
143,105,\newcommand,\fkr -> \ensuremath{\mathfrak{r}}\xspace
144,106,\newcommand,\fks -> \ensuremath{\mathfrak{s}}\xspace
145,107,\newcommand,\fkt -> \ensuremath{\mathfrak{t}}\xspace
146,108,\newcommand,\fku -> \ensuremath{\mathfrak{u}}\xspace
147,109,\newcommand,\fkv -> \ensuremath{\mathfrak{v}}\xspace
148,110,\newcommand,\fkw -> \ensuremath{\mathfrak{w}}\xspace
149,111,\newcommand,\fkx -> \ensuremath{\mathfrak{x}}\xspace
150,112,\newcommand,\fky -> \ensuremath{\mathfrak{y}}\xspace
151,113,\newcommand,\fkz -> \ensuremath{\mathfrak{z}}\xspace
152,114,\newcommand,\fkA -> \ensuremath{\mathfrak{A}}\xspace
153,115,\newcommand,\fkB -> \ensuremath{\mathfrak{B}}\xspace
154,116,\newcommand,\fkC -> \ensuremath{\mathfrak{C}}\xspace
155,117,\newcommand,\fkD -> \ensuremath{\mathfrak{D}}\xspace
156,118,\newcommand,\fkE -> \ensuremath{\mathfrak{E}}\xspace
157,119,\newcommand,\fkF -> \ensuremath{\mathfrak{F}}\xspace
158,120,\newcommand,\fkG -> \ensuremath{\mathfrak{G}}\xspace
159,121,\newcommand,\fkH -> \ensuremath{\mathfrak{H}}\xspace
160,122,\newcommand,\fkI -> \ensuremath{\mathfrak{I}}\xspace
161,123,\newcommand,\fkJ -> \ensuremath{\mathfrak{J}}\xspace
162,124,\newcommand,\fkK -> \ensuremath{\mathfrak{K}}\xspace
163,125,\newcommand,\fkL -> \ensuremath{\mathfrak{L}}\xspace
164,126,\newcommand,\fkM -> \ensuremath{\mathfrak{M}}\xspace
165,127,\newcommand,\fkN -> \ensuremath{\mathfrak{N}}\xspace
166,128,\newcommand,\fkO -> \ensuremath{\mathfrak{O}}\xspace
167,129,\newcommand,\fkP -> \ensuremath{\mathfrak{P}}\xspace
168,130,\newcommand,\fkQ -> \ensuremath{\mathfrak{Q}}\xspace
169,131,\newcommand,\fkR -> \ensuremath{\mathfrak{R}}\xspace
170,132,\newcommand,\fkS -> \ensuremath{\mathfrak{S}}\xspace
171,133,\newcommand,\fkT -> \ensuremath{\mathfrak{T}}\xspace
172,134,\newcommand,\fkU -> \ensuremath{\mathfrak{U}}\xspace
173,135,\newcommand,\fkV -> \ensuremath{\mathfrak{V}}\xspace
174,136,\newcommand,\fkW -> \ensuremath{\mathfrak{W}}\xspace
175,137,\newcommand,\fkX -> \ensuremath{\mathfrak{X}}\xspace
176,138,\newcommand,\fkY -> \ensuremath{\mathfrak{Y}}\xspace
177,139,\newcommand,\fkZ -> \ensuremath{\mathfrak{Z}}\xspace
178,140,\newcommand,\heart -> {\heartsuit}
179,141,\newcommand,\club -> {\clubsuit}
180,142,\newcommand,\diam -> {\Diamond}
181,143,\newcommand,\spade -> {\spadesuit}
182,144,\newcommand,\bA -> \mathbf A
183,145,\newcommand,\bE -> \mathbf E
184,146,\newcommand,\bG -> \mathbf G
185,147,\newcommand,\bK -> \mathbf K
186,148,\newcommand,\bM -> \mathbf M
187,149,\newcommand,\bQ -> \mathbf Q
188,150,\newcommand,\BA -> \ensuremath{\mathbb{A}}\xspace
189,151,\newcommand,\BB -> \ensuremath{\mathbb{B}}\xspace
190,152,\newcommand,\BC -> \ensuremath{\mathbb{C}}\xspace
191,153,\newcommand,\BD -> \ensuremath{\mathbb{D}}\xspace
192,154,\newcommand,\BE -> \ensuremath{\mathbb{E}}\xspace
193,155,\newcommand,\BF -> \ensuremath{\mathbb{F}}\xspace
194,156,\newcommand,{\BG} -> \ensuremath{\mathbb{G}}\xspace
195,157,\newcommand,\BH -> \ensuremath{\mathbb{H}}\xspace
196,158,\newcommand,\BI -> \ensuremath{\mathbb{I}}\xspace
197,159,\newcommand,\BJ -> \ensuremath{\mathbb{J}}\xspace
198,160,\newcommand,{\BK} -> \ensuremath{\mathbb{K}}\xspace
199,161,\newcommand,\BL -> \ensuremath{\mathbb{L}}\xspace
200,162,\newcommand,\BM -> \ensuremath{\mathbb{M}}\xspace
201,163,\newcommand,\BN -> \ensuremath{\mathbb{N}}\xspace
202,164,\newcommand,\BO -> \ensuremath{\mathbb{O}}\xspace
203,165,\newcommand,\BP -> \ensuremath{\mathbb{P}}\xspace
204,166,\newcommand,\BQ -> \ensuremath{\mathbb{Q}}\xspace
205,167,\newcommand,\BR -> \ensuremath{\mathbb{R}}\xspace
