,Line num,Command
0,1,\documentclass
1,2,\usepackage
2,3,\usepackage
3,4,\usepackage
4,5,\usepackage
5,6,\usepackage
6,7,\usepackage
7,10,\usepackage
8,11,\usepackage
9,12,\hypersetup
10,21,\setcounter
11,29,\newtheorem
12,30,\newtheorem
13,31,\newtheorem
14,32,\newtheorem
15,33,\newtheorem
16,35,\theoremstyle
17,36,\newtheorem
18,37,\newtheorem
19,38,\newtheorem
20,39,\newtheorem
21,40,\newtheorem
22,41,\newtheorem
23,44,\newcommand
24,44,\kar
25,44,\rm
26,45,\newcommand
27,45,\R
28,45,\mathbb
29,46,\newcommand
30,46,\Rep
31,46,\rm
32,47,\newcommand
33,47,\SI
34,47,\rm
35,48,\newcommand
36,48,\SO
37,48,\rm
38,49,\newcommand
39,49,\ST
40,49,\rm
41,50,\newcommand
42,50,\PD
43,50,\rm
44,51,\newcommand
45,51,\mlt
46,51,\rm
47,52,\newcommand
48,52,\Lie
49,52,\rm
50,54,\newcommand
51,54,\B
52,54,\mathcal
53,55,\newcommand
54,55,\C
55,55,\mathbb
56,56,\newcommand
57,56,\N
58,56,\mathbb
59,57,\newcommand
60,57,\F
61,57,\mathbb
62,58,\newcommand
63,58,\Q
64,58,\mathbb
65,59,\newcommand
66,59,\Z
67,59,\mathbb
68,60,\newcommand
69,60,\tnr
70,60,\operatorname
71,61,\newcommand
72,61,\tnrace
73,61,\operatorname
74,62,\newcommand
75,62,\Mat
76,62,\operatorname
77,63,\newcommand
78,63,\GL
79,63,\operatorname
80,64,\newcommand
81,64,\SL
82,64,\operatorname
83,65,\newcommand
84,65,\Mod
85,65,\operatorname
86,67,\newcommand
87,67,\VV
88,67,\mathbb
89,69,\newcommand
90,69,\nullcone
91,69,\mathcal
92,72,\newcommand
93,72,\Sym
94,74,\newcommand
95,74,\rk
96,74,\operatorname
97,75,\newcommand
98,75,\g
99,75,\mathfrak
100,76,\newcommand
101,76,\n
102,76,\mathfrak
103,77,\newcommand
104,77,\h
105,77,\mathfrak
106,78,\newcommand
107,78,\tn
108,78,\mathfrak
109,79,\newcommand
110,79,\sln
111,79,\mathfrak
112,80,\newcommand
113,80,\adaptable
114,81,\newcommand
115,81,\End
116,81,\rm
117,82,\newcommand
118,82,\U
