,Line num,Command,Notes
0,2,\documentclass,amsart
1,3,\makeatletter,N/A
2,4,\renewcommand,N/A
3,4,\theequation,N/A
4,4,\thesection,N/A
5,4,\arabic,N/A
6,6,\makeatother,N/A
7,7,\usepackage,setspace
8,8,\usepackage,xcolor
9,9,\singlespacing,N/A
10,10,\usepackage,amsmath
11,11,\usepackage,amssymb
12,12,\usepackage,latexsym
13,13,\usepackage,amsthm
14,14,\usepackage,hyperref
15,15,\usepackage,mathscinet
16,16,\newtheorem,N/A
17,17,\newtheorem,N/A
18,18,\newtheorem,N/A
19,19,\newtheorem,N/A
20,20,\newtheorem,N/A
21,21,\newtheorem,N/A
22,22,\newtheorem,N/A
23,23,\newtheorem,N/A
24,24,\theoremstyle,definition
25,25,\newtheorem,N/A
26,26,\newtheorem,N/A
27,27,\newtheorem,N/A
28,28,\newtheorem,N/A
29,29,\newtheorem,N/A
30,30,document,Environment
31,31,\title,Characterizations of the Cauchy distribution associated with integral transforms
32,32,\author,Kazuki Okamura
33,33,\address,"School of General Education, Shinshu University"
34,34,\email,kazukio@shinshu-u.ac.jp
35,35,\subjclass,"60E10, 62E10"
36,36,\keywords,"characterization of the Cauchy distribution, M\""obius transforms, Mellin transforms"
37,37,\date,\today
38,37,\today,\today
39,38,\maketitle,N/A
40,39,abstract,Environment
41,45,\section,Introduction
42,50,\cite,"Arnold1979,Arnold1990, Bell1985, Chin2020, Dunau1987, Hamedani1993, Hassenforder1988, Knight1976b, Knight1976a, Letac1977, Menon1962, Menon1966, Norton1983, Obretenov1961, Ramachandran1970, Williams1969, Yanushkevichius2007,Yanushkevichius2014"
43,57,\cite,McCullagh1996
44,59,\textup,N/A
45,59,\textup,N/A
46,61,\in,N/A
47,61,\mathbb,N/A
48,61,\mathbb,N/A
49,65,\section,"Characterization by M\""obius transforms"
50,66,\overline,\gamma
51,67,Thm,Environment
52,69,\alpha,H
53,69,\in,H
54,69,\mathbb,H
55,70,\left,E\left
56,71,\mathbb,N/A
57,71,\mathbb,N/A
58,73,\alpha,N/A
59,75,\mathbb,R
60,77,Lem,Environment
61,78,\in,R
62,78,\mathbb,R
63,81,proof,Environment
64,83,\in,N/A
65,83,\mathbb,N/A
66,83,\mathbb,N/A
67,86,\in,N/A
68,87,\displaystyle,N/A
69,87,\int_,N/A
70,87,\mathbb,N/A
71,87,\frac,N/A
72,89,\frac,N/A
73,90,\infty,\infty
74,91,\dfrac,N/A
75,91,\in,N/A
76,91,\mathbb,N/A
77,91,\setminus,N/A
78,94,\frac,N/A
79,97,\in,H
80,97,\mathbb,H
81,98,\phi_,N/A
82,98,\mathbb,N/A
83,98,\to,N/A
84,98,\mathbb,N/A
85,100,proof,Environment
86,101,\in,N/A
87,102,equation,Environment
88,103,\left,\gamma
89,103,\phi_,\gamma
90,103,\alpha,\gamma
91,106,\eqref,Mobius-mean
92,106,\alpha,Mobius-mean
93,107,\mathbb,R
94,109,equation,Environment
95,110,\int_,N/A
96,110,\mathbb,N/A
97,110,\phi_,N/A
98,110,\int_,N/A
99,110,\mathbb,N/A
100,110,\phi_,N/A
101,111,\nu,N/A
102,113,\in,N/A
103,115,\frac,N/A
104,115,\int_,N/A
105,115,\mathbb,N/A
106,115,\frac,N/A
107,115,\in,N/A
108,115,\mathbb,N/A
109,116,\mathbb,H
110,118,\nu,N/A
111,118,\nu,N/A
112,118,\nu,N/A
113,118,\nu,N/A
114,119,\eqref,eq-compare
115,121,\in,N/A
116,124,\nu,N/A
117,126,\cite,Rudin1987
118,127,\nu,N/A
119,127,\mathbb,N/A
120,129,\ref,Cc
121,132,\nu,N/A
122,133,\cite,Rudin1987
123,134,\nu,N/A
124,134,\alpha,N/A
125,136,Rem,Environment
126,137,\overline,N/A
127,137,\mathbb,N/A
128,137,\mathbb,N/A
129,137,\overline,N/A
130,137,\mathbb,N/A
131,137,\ge,N/A
132,138,\left,N/A
133,138,\left,N/A
134,140,\E,\left|E\left\right|^2
135,140,\left,\left|E\left\right|^2
136,140,\left,\left|E\left\right|^2
137,140,\left,\left|E\left\right|^2
138,140,\left,\left|E\left\right|^2
139,140,\right,\left|E\left\right|^2
140,142,\in,N/A
141,142,\mathbb,N/A
142,142,\in,N/A
143,142,\overline,N/A
144,142,\mathbb,N/A
145,143,\in,N/A
146,143,\mathbb,N/A
147,145,\gamma_n,"x_1, \cdots, x_n\"
148,145,\cdots,"x_1, \cdots, x_n\"
149,147,\gamma_n,N/A
150,147,\gamma_n,N/A
151,149,\displaystyle,N/A
152,149,\frac,N/A
153,149,\sum_,N/A
154,149,\delta_,N/A
155,154,\cite,McCullagh1996
156,155,\mathbb,z \in \mathbb{C
157,155,\in,z \in \mathbb{C
158,155,\mathbb,z \in \mathbb{C
159,156,\textup,N/A
160,156,\in,N/A
161,156,\mathbb,N/A
162,157,\phi_,\gamma
163,157,\mathbb,\gamma
164,157,\mathbb,\gamma
165,158,\phi_,N/A
166,158,\overline,N/A
167,158,\mathbb,N/A
168,159,\phi_,N/A
169,159,\mathbb,N/A
170,159,\in,N/A
171,159,\mathbb,N/A
172,159,\ne,N/A
173,160,\textup,N/A
174,161,\phi_,N/A
175,161,\exp,N/A
176,161,\phi_,N/A
177,162,\ref,Mobius
178,164,Cor,Environment
179,165,\left,E\left
180,166,\widetilde,N/A
181,166,\mathbb,N/A
182,166,\mathbb,N/A
183,167,\ne,N/A
184,168,\textup,N/A
185,170,\overline,N/A
186,170,\mathbb,N/A
187,170,\mathbb,N/A
188,170,\overline,N/A
189,170,\mathbb,N/A
190,170,\le,N/A
191,172,\left,N/A
192,172,\left,N/A
193,173,\ne,N/A
194,174,\in,H
195,174,\mathbb,H
196,175,\left,N/A
197,175,\right,N/A
198,175,\phi_,N/A
199,175,\exp,N/A
200,176,\ref,N/A
201,176,\in,N/A
202,176,\mathbb,N/A
203,176,\in,N/A
204,176,\overline,N/A
205,176,\mathbb,N/A
206,177,\in,N/A
207,177,\mathbb,N/A
208,178,\section,Characterization by Mellin transforms
209,180,\exp,N/A
210,180,\theta,N/A
211,180,\in,N/A
212,180,\mathbb,N/A
213,180,\le,N/A
214,180,\theta,N/A
215,182,\mathbb,N/A
216,182,\setminus,N/A
217,182,\left,N/A
218,182,\in,N/A
219,182,\mathbb,N/A
220,182,\textup,N/A
221,182,\le,N/A
222,182,\textup,N/A
223,182,\right,N/A
224,184,equation,Environment
225,185,\log,N/A
226,185,\log,N/A
227,185,\mathbf,N/A
228,185,\infty,N/A
229,185,\in,N/A
230,185,\mathbb,N/A
231,185,\setminus,N/A
232,187,\mathbf,N/A
233,187,\infty,N/A
234,187,\infty,N/A
235,188,\in,C
236,188,\mathbb,C
237,189,\in,C
238,189,\mathbb,C
239,191,\it,N/A
240,191,\in,N/A
241,191,\mathbb,N/A
242,191,\setminus,N/A
243,191,\mathbb,N/A
244,192,\exp,1/3
245,194,\it,N/A
246,194,\it,N/A
247,198,\cite,Zolotarev1986
248,199,Thm,Environment
249,200,\left,N/A
250,200,\infty,N/A
251,202,\in,N/A
252,203,\subset,H
253,203,\in,H
254,203,\mathbb,H
255,207,\cite,galambos2004
256,210,proof,Environment
257,211,Lem,Environment
258,212,\left,N/A
259,212,\right,N/A
260,212,\overline,N/A
261,213,\in,J
262,213,\overline,J
263,214,\overline,J
264,216,proof,Environment
265,217,\textup,N/A
266,217,\textup,N/A
267,217,\in,N/A
268,218,\overline,J
269,219,\in,N/A
270,219,\ne,N/A
271,220,\left,N/A
272,222,\left,N/A
273,224,\ne,N/A
274,225,\ge,Re
275,225,\le,Re
276,225,\textup,Re
277,227,\infty,N/A
278,228,\le,Re
279,228,\le,Re
280,228,\textup,Re
281,229,\displaystyle,N/A
282,229,\lim_,N/A
283,229,\to,N/A
284,229,\beta,N/A
285,229,\log,N/A
286,229,\beta,N/A
287,230,\infty,N/A
288,232,\to,N/A
289,232,\to,N/A
290,234,Lem,Environment
291,236,proof,Environment
292,237,\widetilde,J
293,237,\in,J
294,237,\overline,J
295,239,\ref,power
296,241,\widetilde,N/A
297,241,\in,N/A
298,242,\ref,F-hol
299,244,\widetilde,N/A
300,244,\in,N/A
301,245,\widetilde,J
302,245,\overline,J
303,248,Lem,Environment
304,250,equation,Environment
305,251,\left,N/A
306,251,\left,N/A
307,254,\overline,J
308,256,equation,Environment
309,257,\left,N/A
310,257,\cos,N/A
311,257,\theta,N/A
312,257,\frac,N/A
313,257,\sin,N/A
314,257,\theta,N/A
315,257,\sin,N/A
316,257,\cos,N/A
317,257,\frac,N/A
318,257,\sin,N/A
319,257,\theta,N/A
320,257,\sin,N/A
321,257,\right,N/A
322,257,\in,N/A
323,260,\eqref,g-def
324,261,\cite,galambos2004
325,262,proof,Environment
326,263,\infty,N/A
327,264,\overline,J
328,266,equation,Environment
329,267,\left,N/A
330,267,\left,N/A
331,267,\cos,N/A
332,268,\left,N/A
333,268,\sin,N/A
334,270,\ref,F-rep
335,271,equation,Environment
336,272,\left,N/A
337,272,\frac,N/A
338,272,\sin,N/A
339,272,\theta,N/A
340,272,\sin,N/A
341,274,\exp,N/A
342,274,\theta,N/A
343,276,\left,N/A
344,278,\ref,F-rep
345,279,\left,N/A
346,279,\cos,N/A
347,279,\cos,N/A
348,279,\theta,N/A
349,281,\left,N/A
350,282,equation,Environment
351,283,\left,N/A
352,283,\left,N/A
353,283,\cos,N/A
354,283,\theta,N/A
355,283,\frac,N/A
356,283,\sin,N/A
357,283,\theta,N/A
358,283,\sin,N/A
359,283,\cos,N/A
360,283,\right,N/A
361,285,\eqref,N/A
362,285,\eqref,N/A
363,285,\eqref,N/A
364,286,\eqref,g-strip
365,288,\ref,power
366,289,\sin,N/A
367,289,\ne,N/A
368,289,\in,N/A
369,289,\ne,N/A
370,289,\displaystyle,N/A
371,289,\lim_,N/A
372,289,\to,N/A
373,289,\frac,N/A
374,289,\sin,N/A
375,289,\theta,N/A
376,289,\sin,N/A
377,289,\frac,N/A
378,289,\theta,N/A
379,291,\eqref,N/A
380,291,\in,N/A
381,291,\mathbb,N/A
382,293,\frac,N/A
383,293,\textup,N/A
384,293,\int_,N/A
385,293,\mathbb,N/A
386,294,\frac,N/A
387,294,\in,N/A
388,296,\eqref,g-def
389,297,\eqref,g-strip
390,299,\in,yi : y \in \mathbb{R
391,299,\mathbb,yi : y \in \mathbb{R
392,300,\ref,N/A
393,300,\cite,N/A
394,302,\ref,power
395,303,Thm,Environment
396,305,\left,N/A
397,305,\left,N/A
398,305,\infty,N/A
399,307,\in,N/A
400,308,\subset,H
401,308,\in,H
402,308,\mathbb,H
403,311,\ref,N/A
404,311,\ref,N/A
405,312,Cor,Environment
406,314,\left,N/A
407,314,\left,N/A
408,314,\infty,N/A
409,316,\left,N/A
410,316,\in,N/A
411,316,\mathbb,N/A
412,318,\in,N
413,318,\mathbb,N
414,323,proof,Environment
415,324,\ref,power-2
416,325,\in,N/A
417,326,\le,N/A
418,326,\exp,N/A
419,326,\le,N/A
420,326,\left,N/A
421,326,\infty,N/A
422,327,\in,N/A
423,328,\left,N/A
424,328,\sum_,N/A
425,328,\infty,N/A
426,328,\frac,N/A
427,328,\left,N/A
428,329,\exp,N/A
429,330,\eqref,def-log
430,331,\exp,N/A
431,331,\exp,N/A
432,333,\sin,N/A
433,335,\exp,H
434,335,\in,H
435,335,\mathbb,H
436,336,\ref,power
437,339,\in,N
438,339,\mathbb,N
439,342,\frac,N/A
440,342,\left,N/A
441,342,\delta_,N/A
442,342,\delta_,N/A
443,342,\exp,N/A
444,342,\sqrt,N/A
445,342,\delta_,N/A
446,342,\exp,N/A
447,342,\sqrt,N/A
448,343,\right,N/A
449,347,\mu_1,N/A
450,347,\sigma_1,N/A
451,347,\ne,N/A
452,347,\mu_2,N/A
453,347,\sigma_2,N/A
454,348,\left,N/A
455,348,\mu_1,N/A
456,348,\sigma_1,N/A
457,349,\mu_2,N/A
458,349,\sigma_2,N/A
459,349,\right,N/A
460,350,\cite,Lehmann1999
461,351,\ref,power
462,352,Cor,Environment
463,353,\left,N/A
464,353,\infty,N/A
465,355,\gamma_1,N/A
466,355,\gamma_2,N/A
467,355,\in,N/A
468,356,\subset,H
469,356,\in,H
470,356,\gamma_1,H
471,356,\gamma_2,H
472,356,\in,H
473,356,\mathbb,H
474,357,\gamma_1,N/A
475,357,\gamma_2,N/A
476,359,\noindent,\it Acknowledgements
477,359,\it,\it Acknowledgements
478,362,\bibliographystyle,amsplain
479,363,\bibliography,GFT-Cauchy
