,Line num,Command
0,1,\documentclass
1,3,\usepackage
2,4,\usepackage
3,6,\usepackage
4,7,\hypersetup
5,14,\usepackage
6,15,\usepackage
7,16,\usepackage
8,18,\usepackage
9,19,\usepackage
10,21,\algnewcommand
11,21,\algorithmicinput
12,21,\textbf
13,22,\algnewcommand
14,22,\INPUT
15,22,\item
16,23,\algnewcommand
17,23,\algorithmicoutput
18,23,\textbf
19,24,\algnewcommand
20,24,\OUTPUT
21,24,\item
22,27,\newtheorem
23,28,\newtheorem
24,29,\newtheorem
25,30,\newtheorem
26,31,\newtheorem
27,32,\newtheorem
28,33,\newtheorem
29,34,\newtheorem
30,36,\newcommand
31,36,\E
32,36,\mathbb
33,37,\newcommand
34,37,\se
35,37,\mathcal
36,38,\newcommand
37,38,\R
38,38,\mathbb
39,39,\renewcommand
40,39,\P
41,39,\mathbb
42,40,\newcommand
43,40,\ac
44,40,\mathcal
45,41,\newcommand
46,41,\A
47,41,\mathcal
48,42,\newcommand
49,42,\B
50,42,\mathcal
51,43,\newcommand
52,43,\C
53,43,\mathcal
54,44,\newcommand
55,44,\I
56,44,\mathcal
57,45,\newcommand
58,45,\T
59,45,\mathcal
60,46,\newcommand
61,46,\Z
62,46,\mathcal
63,47,\newcommand
64,47,\K
65,47,\mathcal
66,48,\newcommand
67,48,\M
68,48,\mathcal
69,49,\newcommand
70,49,\mn
71,49,\mathfrak
72,50,\newcommand
73,50,\lc
74,50,\mathcal
75,51,\newcommand
76,51,\Ps
77,51,\mathcal
78,52,\newcommand
79,52,\G
80,52,\mathcal
81,53,\newcommand
82,53,\pa
83,53,\mathring
84,54,\newcommand
85,54,\F
86,54,\cal
87,55,\newcommand
88,55,\samp
89,55,\mathcal
90,56,\newcommand
91,56,\X
92,56,\mathcal
93,57,\newcommand
94,57,\hi
95,57,\hat
96,60,\newcounter
97,61,\renewcommand
98,61,\thercnt
99,61,\roman
100,63,\def
101,63,\qt
102,63,\qquad
103,63,\text
104,65,\def
105,65,\argmin
106,65,\mathop
107,65,\rm
108,66,\def
109,66,\argmax
110,66,\mathop
111,66,\rm
112,69,\title
113,69,\piecewise
114,70,\author
115,71,\author
116,72,\affil
117,73,\affil
118,75,document
119,77,\maketitle
120,79,abstract
121,80,\ell_0
122,83,\section
123,85,\ldots
124,85,\top
125,85,\in
126,85,\mathbb
127,85,\in
128,85,\ldots
129,86,equation
130,87,\varepsilon_i
131,89,\to
132,89,\mathbb
133,89,\varepsilon_i
134,89,\cdot
135,89,\eta_k
136,89,\eta_0
137,89,\eta_
138,89,\cdot
139,89,\citep
140,89,\citep
141,91,\cite
142,91,\cite
143,91,\citep
144,93,\cdot
145,93,\Cref
146,93,\Cref
147,93,\Cref
148,93,\Cref
149,96,\subsection
150,96,\label
151,98,\cdot
152,100,\ldots
153,100,\geq
154,100,\ldots
155,102,\ldots
156,102,\leq
157,102,\cdot
158,102,\ldots
159,102,\mathcal
160,102,\ldots
161,104,\in
162,104,\mathbb
163,105,equation
164,106,\widehat
165,106,\in
166,106,\argmin_
167,106,\in
168,106,\mathcal
169,109,align
170,110,\sum_
171,110,\in
172,110,\sum_
173,110,\in
174,113,itemize
175,114,\item
176,114,\cdot
177,114,\ell_2
178,115,\item
179,115,\ldots
180,115,\subset
181,115,\ldots
182,115,\in
183,115,\top
184,115,\in
185,115,\mathbb
186,116,equation
187,117,\top
188,117,\top
189,120,equation
190,121,I
191,122,\cdots
192,123,\vdots
193,123,\vdots
194,123,\vdots
195,123,\vdots
196,124,\cdots
197,130,\cdot
198,130,\cdot
199,130,\ell_0
200,130,\textbf
201,130,\widetilde
202,130,\widehat
203,130,\widehat
204,130,\widehat
205,132,\widehat
206,132,\widehat
207,132,\widehat
208,132,\geq
209,132,\in
210,132,\ldots
211,132,\widehat
212,134,\widetilde
213,134,\widetilde
214,134,\widehat
215,134,\in
216,134,\ldots
217,134,\widehat
218,135,equation
219,136,\widehat
220,136,\argmin_
221,136,\in
222,136,\setminus
223,136,\left
224,137,algorithmic
225,138,\INPUT
226,139,\State
227,139,\widehat
228,139,\leftarrow
229,139,\argmin_
230,139,\in
231,139,\mathcal
232,139,\Comment
233,139,\eqref
234,140,\State
235,140,\mathcal
236,140,\leftarrow
237,140,\widehat
238,140,\Comment
239,141,\State
240,142,\If
241,142,\mathcal
242,142,\neq
243,142,\emptyset
244,143,\State
245,143,\widehat
246,143,\widehat
247,143,\leftarrow
248,143,\mathcal
249,143,\eqref
250,143,\Comment
251,144,\EndIf
252,145,\caption
253,146,\label
254,150,\eqref
255,152,remark
256,153,\eqref
257,153,\eqref
258,155,\eqref
259,155,\citep
260,155,\mathrm
261,155,\mathrm
262,155,\eqref
263,155,\mathrm
264,155,\cite
265,157,\cite
266,157,\cite
267,157,\cite
268,157,\cite
269,157,\cite
270,157,\ell_0
271,157,\cite
272,157,\cite
273,161,remark
274,162,\eqref
275,162,\eqref
276,164,\subset
277,164,\mathbb
278,164,\neq
279,164,\cdot
280,169,\subsection
281,169,\label
282,175,\Cref
283,175,\citep
284,177,\Cref
285,179,\Cref
286,181,\section
287,181,\label
288,183,\Cref
289,185,\subsection
290,187,\geq
291,187,\cdot
292,187,\in
293,187,\mathcal
294,188,align
295,189,\mathcal
296,189,\Big
297,189,\cdot
298,189,\to
299,189,\mathbb
300,189,\eta_0
301,189,\eta_1
302,189,\cdots
303,189,\eta_K
304,189,\eta_
305,189,\nonumber
306,190,\mbox
307,190,\forall
308,190,\in
309,190,\ldots
310,192,equation
311,193,\min
312,193,\ldots
313,193,\neq
314,197,\cdot
315,197,\in
316,197,\mathcal
317,197,\Cref
318,197,\Cref
319,197,\eqref
320,197,\cdot
321,197,\label
322,198,\eqref
323,198,\cdot
324,198,\mathcal
325,198,\eqref
326,198,\varepsilon_i
327,198,\max_
328,198,\varepsilon_i
329,198,\psi_2
330,198,\footnote
331,198,\cdot
332,198,\psi_2
333,198,\psi_2
334,199,\leq
335,201,\cdot
336,201,\eta_1
337,201,\ldots
338,201,\eta_K
339,203,\eta_0
340,203,\eta_
341,205,\in
342,205,\ldots
343,207,\kappa_k
344,207,\Cref
345,210,\kappa_k
346,210,\Cref
347,212,definition
348,213,\Cref
349,213,\in
350,213,\ldots
351,213,\eta_k
352,219,\Cref
353,219,\Cref
354,221,theorem
355,222,\Cref
356,222,\widetilde
357,222,\widehat
358,222,\widehat
359,222,\widehat
360,222,\Cref
361,225,equation
362,226,\mathrm
363,226,\log
364,226,\quad
365,226,\mbox
366,226,\quad
367,226,\rho
368,226,\geq
369,226,\mathrm
370,231,align
371,232,\mathcal
372,232,\Bigg
373,232,\widehat
374,232,\quad
375,232,\widetilde
376,232,\eta_k
377,232,\leq
378,232,\mathrm
379,232,\left
380,232,\frac
381,232,\log
382,232,\kappa_k
383,232,\right
384,233,\mbox
385,233,\quad
386,233,\widehat
387,233,\eta_k
388,233,\leq
389,233,\mathrm
390,233,\left
391,233,\frac
392,233,\log
393,233,\kappa_k
394,233,\right
395,233,\quad
396,233,\forall
397,233,\in
398,233,\ldots
399,233,\Bigg
400,235,\mathrm
401,235,\mathrm
402,235,\mathrm
403,235,\mathrm
404,238,remark
405,239,\mathrm
406,239,\mathrm
407,239,\mathrm
408,239,\mathrm
409,241,\mathrm
410,241,\mathrm
411,241,\mathrm
412,241,\mathrm
413,241,\mathrm
414,241,\mathrm
415,241,\mathrm
416,241,\mathrm
417,241,\mathrm
418,241,\mathrm
419,241,\mathrm
