,Line num,Command
0,1,\documentclass
1,2,\usepackage
2,8,\newcommand
3,8,\xcheck
4,8,\check
5,9,\newcommand
6,9,\ycheck
7,9,\check
8,10,\newcommand
9,10,\avec
10,10,\vec
11,11,\newcommand
12,11,\xvec
13,11,\vec
14,12,\newcommand
15,12,\yvec
16,12,\vec
17,14,\title
18,16,\author
19,17,\address
20,20,\email
21,21,\urladdr
22,23,\author
23,24,\address
24,27,\email
25,28,\urladdr
26,31,\DeclareRobustCommand
27,31,\okina
28,32,\raisebox
29,32,\dimexpr
30,32,\fontcharht
31,32,\font
32,32,\height
33,33,\scalebox
34,36,\author
35,37,\address
36,38,\okina
37,43,\email
38,44,\urladdr
39,48,\thanks
40,48,\href
41,49,\subjclass
42,50,\keywords
43,53,\date
44,53,\today
45,55,\usepackage
46,56,\usepackage
47,57,\usepackage
48,58,\usepackage
49,59,\usepackage
50,60,\usepackage
51,61,\usepackage
52,62,\usepackage
53,63,\newtheorem
54,64,\newtheorem
55,67,\include
56,70,\usepackage
57,71,\renewcommand
58,71,\UrlFont
59,71,\sffamily
60,71,\smaller
61,72,\renewbibmacro
62,72,\ifentrytype
63,72,\printtext
64,72,\bibstring
65,72,\intitlepunct
66,73,\DeclareFieldFormat
67,73,\relsize
68,73,\UrlFont
69,73,\url
70,74,\DeclareFieldFormat
71,75,\thefield
72,75,\addspace
73,76,\mkbibmonth
74,76,\thefield
75,76,\addspace
76,77,\thefield
77,77,\isdot
78,78,\DeclareFieldFormat
79,79,\ifhyperref
80,80,\href
81,81,\addcolon
82,81,\nolinkurl
83,81,\iffieldundef
84,81,\UrlFont
85,81,\mkbibbrackets
86,81,\thefield
87,82,\addcolon
88,82,\nolinkurl
89,82,\iffieldundef
90,82,\UrlFont
91,82,\mkbibbrackets
92,82,\thefield
93,83,\bibliography
94,87,document
95,90,abstract
96,91,\in
97,91,\of
98,91,\P
99,91,\in
100,91,\Delta_0
101,91,\Delta_0
102,96,\maketitle
103,99,\section
104,99,\label
105,102,\footnote
106,102,\ref
107,102,\cite
108,102,\cite
109,102,\cite
110,106,mainquestion
111,112,maintheorem
112,113,enumerate
113,114,\item
114,115,\P
115,115,\in
116,116,\of
117,116,\P
118,117,\item
119,117,\Delta_0
120,117,\footnote
