,Line num,Command,Notes
0,1,\documentclass,amsart
1,2,\usepackage,hyperref
2,3,\newcommand,\xcheck -> \check{x}
3,4,\newcommand,\ycheck -> \check{y}
4,5,\newcommand,\avec -> \vec{a}
5,6,\newcommand,\xvec -> \vec{x}
6,7,\newcommand,\yvec -> \vec{y}
7,8,\title,Forcing as a computational process
8,9,\author,Joel David Hamkins
9,10,\address,N/A
10,12,\email,joeldavid.hamkins@philosophy.ox.ac.uk
11,13,\urladdr,http://jdh.hamkins.org
12,14,\author,Russell Miller
13,15,\address,N/A
14,17,\email,Russell.Miller@qc.cuny.edu
15,18,\urladdr,Nested
16,19,\DeclareRobustCommand,N/A
17,19,\okina,N/A
18,19,\raisebox,N/A
19,19,\dimexpr,N/A
20,19,\fontcharht,N/A
21,19,\font,N/A
22,19,\height,N/A
23,19,\scalebox,N/A
24,20,\author,Kameryn J. Williams
25,21,\address,Nested
26,21,\okina,Nested
27,23,\email,kamerynw@hawaii.edu
28,24,\urladdr,http://kamerynjw.net
29,25,\thanks,N/A
30,25,\href,N/A
31,26,\subjclass,"03C57, 03E40"
32,27,\keywords,"Forcing, computable structure theory"
33,28,\usepackage,"latexsym,amsfonts,amsmath,amssymb,mathrsfs"
34,29,\usepackage,multicol
35,30,\usepackage,bbm
36,31,\usepackage,hyperref
37,32,\usepackage,relsize
38,33,\usepackage,xcolor
39,34,\usepackage,tikz
40,35,\usepackage,enumitem
41,36,\newtheorem,N/A
42,37,\newtheorem,N/A
43,38,\include,MathMacrosJDH
44,39,document,Environment
45,40,abstract,Environment
46,44,\maketitle,N/A
47,45,\section,N/A
48,45,\label,N/A
49,47,\footnote,Nested
50,47,\ref,Section.Computing-forcing-extensions
51,47,\cite,Shoenfield1971:UnramifiedForcing
52,47,\cite,Kunen1980:SetTheory
53,47,\cite,Chow2007:ABeginnersGuideToForcing
54,47,\ref,Nested
55,47,\ref,Section.Computing-forcing-extensions
56,47,\cite,Shoenfield1971:UnramifiedForcing
57,47,\cite,Kunen1980:SetTheory
58,47,\cite,Chow2007:ABeginnersGuideToForcing
59,47,\cite,Nested
60,47,\ref,Section.Computing-forcing-extensions
61,47,\cite,Shoenfield1971:UnramifiedForcing
62,47,\cite,Kunen1980:SetTheory
63,47,\cite,Chow2007:ABeginnersGuideToForcing
64,47,\cite,Nested
65,47,\ref,Section.Computing-forcing-extensions
66,47,\cite,Shoenfield1971:UnramifiedForcing
67,47,\cite,Kunen1980:SetTheory
68,47,\cite,Chow2007:ABeginnersGuideToForcing
69,47,\cite,Nested
70,47,\ref,Section.Computing-forcing-extensions
71,47,\cite,Shoenfield1971:UnramifiedForcing
72,47,\cite,Kunen1980:SetTheory
73,47,\cite,Chow2007:ABeginnersGuideToForcing
74,50,mainquestion,Environment
75,54,maintheorem,Environment
76,55,\item,N/A
77,58,\item,Nested
78,58,\footnote,Nested
79,58,\Levy,Nested
80,59,\item,N/A
81,62,\noindent,Nested
82,62,\ref,Theorem.Computing-generic-filter
83,62,\ref,Theorem.Computing-atomic-diagram-of-extension
84,62,\ref,Theorem.Computing-diagram-of-extension
85,62,\ref,Nested
86,62,\ref,Theorem.Computing-generic-filter
87,62,\ref,Theorem.Computing-atomic-diagram-of-extension
88,62,\ref,Theorem.Computing-diagram-of-extension
89,62,\ref,Nested
90,62,\ref,Theorem.Computing-generic-filter
91,62,\ref,Theorem.Computing-atomic-diagram-of-extension
92,62,\ref,Theorem.Computing-diagram-of-extension
93,62,\ref,Nested
94,62,\ref,Theorem.Computing-generic-filter
95,62,\ref,Theorem.Computing-atomic-diagram-of-extension
96,62,\ref,Theorem.Computing-diagram-of-extension
97,62,\ref,Nested
98,62,\ref,Theorem.Computing-generic-filter
99,62,\ref,Theorem.Computing-atomic-diagram-of-extension
100,62,\ref,Theorem.Computing-diagram-of-extension
101,62,\ref,Nested
102,62,\ref,Theorem.Computing-generic-filter
103,62,\ref,Theorem.Computing-atomic-diagram-of-extension
104,62,\ref,Theorem.Computing-diagram-of-extension
105,63,\ref,Section.Class-forcing
106,64,\emph,Nested
107,64,\Levy,
108,64,\ref,Section.Atomic-diagram-knows-little
109,64,\Levy,
110,64,\ref,Section.The-Levy-Diagram
111,64,\Levy,
112,64,\Levy,Nested
113,64,\Levy,
114,64,\ref,Section.Atomic-diagram-knows-little
115,64,\Levy,
116,64,\ref,Section.The-Levy-Diagram
117,64,\Levy,
118,64,\ref,Nested
119,64,\Levy,
120,64,\ref,Section.Atomic-diagram-knows-little
121,64,\Levy,
122,64,\ref,Section.The-Levy-Diagram
123,64,\Levy,
124,64,\Levy,Nested
125,64,\Levy,
126,64,\ref,Section.Atomic-diagram-knows-little
127,64,\Levy,
128,64,\ref,Section.The-Levy-Diagram
129,64,\Levy,
130,64,\ref,Nested
131,64,\Levy,
132,64,\ref,Section.Atomic-diagram-knows-little
133,64,\Levy,
134,64,\ref,Section.The-Levy-Diagram
135,64,\Levy,
136,64,\Levy,Nested
137,64,\Levy,
138,64,\ref,Section.Atomic-diagram-knows-little
139,64,\Levy,
140,64,\ref,Section.The-Levy-Diagram
141,64,\Levy,
142,64,\Levy,Nested
143,64,\Levy,
144,64,\ref,Section.Atomic-diagram-knows-little
145,64,\Levy,
146,64,\ref,Section.The-Levy-Diagram
147,64,\Levy,
148,65,\ref,Nested
149,65,\ref,Nested
150,69,\emph,presentation
151,72,maintheorem,Environment
152,73,\ref,MainTheorem
153,76,\section,N/A
154,76,\label,N/A
155,78,proposition,Environment
156,82,proof,Environment
157,86,theorem,Environment
158,88,enumerate,Environment
159,89,\item,N/A
160,91,\item,N/A
161,92,\Levy,N/A
162,93,\item,N/A
163,93,\Levy,N/A
164,93,\Levy,N/A
165,96,proof,Environment
166,97,\cite,AKMS
167,108,\ref,Nested
168,108,\ref,Nested
169,112,\section,N/A
170,112,\Levy,N/A
171,112,\label,N/A
172,114,\ZFC,Nested
173,114,\emph,Nested
174,114,\Levy,Nested
175,115,\Levy,
176,116,\Levy,
177,117,\Levy,Nested
178,117,\Levy,
179,117,\Levy,
180,117,\Levy,
181,117,\footnote,"As further evidence for the naturalness of this expansion of the language, we note that it has arisen in other contexts. Venturi and Viale \cite{Venture-Viale:submitted"
182,117,\cite,"As further evidence for the naturalness of this expansion of the language, we note that it has arisen in other contexts. Venturi and Viale \cite{Venture-Viale:submitted"
183,117,\emph,Nested
184,117,\Levy,
185,117,\Levy,
186,117,\Levy,
187,117,\footnote,"As further evidence for the naturalness of this expansion of the language, we note that it has arisen in other contexts. Venturi and Viale \cite{Venture-Viale:submitted"
188,117,\cite,"As further evidence for the naturalness of this expansion of the language, we note that it has arisen in other contexts. Venturi and Viale \cite{Venture-Viale:submitted"
189,117,\Levy,Nested
190,117,\Levy,
191,117,\Levy,
192,117,\Levy,
193,117,\footnote,"As further evidence for the naturalness of this expansion of the language, we note that it has arisen in other contexts. Venturi and Viale \cite{Venture-Viale:submitted"
194,117,\cite,"As further evidence for the naturalness of this expansion of the language, we note that it has arisen in other contexts. Venturi and Viale \cite{Venture-Viale:submitted"
195,117,\Levy,Nested
196,117,\Levy,
197,117,\Levy,
198,117,\Levy,
199,117,\footnote,"As further evidence for the naturalness of this expansion of the language, we note that it has arisen in other contexts. Venturi and Viale \cite{Venture-Viale:submitted"
200,117,\cite,"As further evidence for the naturalness of this expansion of the language, we note that it has arisen in other contexts. Venturi and Viale \cite{Venture-Viale:submitted"
201,117,\Levy,Nested
202,117,\Levy,
203,117,\Levy,
204,117,\Levy,
